UniprotID	Q8TDB4
Accession	Q8TDB4;Q9BZC3
EntryName	HUMMR_HUMAN
ProteinName	Protein MGARP (Corneal endothelium-specific protein 1) (CESP-1) (Hypoxia up-regulated mitochondrial movement regulator protein) (Mitochondria-localized glutamic acid-rich protein) (Ovary-specific acidic protein)
GeneName	MGARP C4orf49 CESP1 HUMMR OSAP GS3582
Length	240
Function	Plays a role in the trafficking of mitochondria along microtubules. Regulates the kinesin-mediated axonal transport of mitochondria to nerve terminals along microtubules during hypoxia. Participates in the translocation of TRAK2/GRIF1 from the cytoplasm to the mitochondrion. Also plays a role in steroidogenesis through maintenance of mitochondrial abundance and morphology (By similarity). Plays an inhibitory role during neocortex development by regulating mitochondrial morphology, distribution and motility in neocortical neurons (By similarity).
Subcellular Location	Mitochondrion; Mitochondrion outer membrane; Mitochondrion inner membrane
Disorder	0.2541,0.2609,0.2064,0.2849,0.2292,0.2752,0.2715,0.3286,0.3807,0.4149,0.4619,0.4685,0.5901,0.5854,0.5707,0.5533,0.6043,0.6427,0.6427,0.5620,0.5577,0.6427,0.6269,0.7080,0.6755,0.7718,0.7672,0.6755,0.6755,0.6427,0.6183,0.5854,0.6183,0.5807,0.6851,0.6482,0.5533,0.4541,0.3983,0.3392,0.3494,0.2951,0.2951,0.2715,0.2817,0.2258,0.2129,0.1914,0.2849,0.2609,0.1881,0.1298,0.1162,0.0734,0.0704,0.0676,0.0592,0.0967,0.1476,0.2258,0.2951,0.3215,0.3667,0.3774,0.4409,0.4507,0.5211,0.5098,0.5456,0.5577,0.4940,0.5707,0.7036,0.7163,0.8162,0.8125,0.7843,0.8596,0.7755,0.7916,0.8050,0.6906,0.7331,0.7459,0.7547,0.7331,0.7331,0.7331,0.6906,0.6531,0.6620,0.7415,0.7755,0.7369,0.7250,0.7163,0.7289,0.7799,0.7331,0.8462,0.8530,0.8462,0.8828,0.8162,0.7718,0.7718,0.7629,0.7672,0.6991,0.7080,0.7547,0.7080,0.7289,0.7331,0.7459,0.8013,0.8013,0.7881,0.7718,0.7415,0.6531,0.5665,0.4766,0.5098,0.6136,0.6482,0.6183,0.6183,0.5055,0.5951,0.6576,0.6531,0.6136,0.6183,0.5665,0.5493,0.5493,0.5807,0.6089,0.6089,0.6531,0.6531,0.7080,0.7629,0.8085,0.7916,0.8125,0.8462,0.8828,0.9013,0.8853,0.8966,0.8792,0.9039,0.8828,0.8853,0.9126,0.8966,0.8853,0.8966,0.8655,0.8828,0.9308,0.9433,0.9519,0.9433,0.9577,0.9657,0.9329,0.9230,0.9488,0.9415,0.9269,0.9057,0.9269,0.9457,0.9457,0.9081,0.9106,0.8681,0.8681,0.9039,0.9126,0.8741,0.8741,0.8741,0.8765,0.8198,0.8013,0.8713,0.8713,0.8655,0.8894,0.9151,0.9057,0.8828,0.8853,0.8565,0.9081,0.9211,0.9606,0.9534,0.9503,0.9547,0.9606,0.9621,0.9577,0.9657,0.9717,0.9703,0.9577,0.9577,0.9664,0.9657,0.9362,0.9657,0.9756,0.9751,0.9807,0.9762,0.9593,0.9488,0.9457,0.9577,0.9381,0.9396,0.9249,0.9211,0.9106,0.9151,0.9151,0.9230,0.9230,0.9057,0.8872,0.9249,0.9168,0.8920,0.8530,0.8713
ExposeBuried	1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
SurfaceAccessbility	0.755,0.448,0.317,0.410,0.461,0.225,0.178,0.384,0.491,0.262,0.132,0.286,0.162,0.301,0.150,0.464,0.252,0.312,0.503,0.567,0.402,0.322,0.379,0.224,0.369,0.553,0.505,0.295,0.403,0.167,0.413,0.446,0.241,0.442,0.570,0.544,0.418,0.136,0.394,0.404,0.506,0.554,0.365,0.360,0.282,0.081,0.033,0.050,0.042,0.032,0.038,0.058,0.082,0.085,0.158,0.147,0.341,0.297,0.407,0.209,0.183,0.150,0.085,0.130,0.303,0.255,0.158,0.313,0.456,0.584,0.481,0.292,0.508,0.304,0.336,0.607,0.345,0.441,0.415,0.520,0.125,0.504,0.611,0.467,0.267,0.530,0.299,0.521,0.160,0.293,0.368,0.210,0.546,0.389,0.587,0.520,0.605,0.464,0.180,0.377,0.551,0.235,0.504,0.571,0.237,0.494,0.580,0.621,0.232,0.245,0.541,0.482,0.094,0.147,0.233,0.452,0.146,0.500,0.274,0.226,0.441,0.247,0.662,0.635,0.411,0.387,0.483,0.117,0.169,0.075,0.085,0.072,0.056,0.339,0.434,0.251,0.533,0.341,0.128,0.419,0.421,0.310,0.218,0.570,0.288,0.240,0.421,0.595,0.306,0.326,0.300,0.226,0.389,0.289,0.612,0.380,0.303,0.385,0.566,0.139,0.286,0.472,0.335,0.252,0.262,0.463,0.524,0.303,0.349,0.632,0.208,0.434,0.395,0.691,0.276,0.269,0.392,0.566,0.133,0.212,0.519,0.328,0.204,0.154,0.484,0.501,0.226,0.157,0.359,0.128,0.448,0.532,0.520,0.570,0.508,0.311,0.383,0.516,0.550,0.562,0.350,0.375,0.637,0.511,0.194,0.319,0.578,0.128,0.460,0.693,0.641,0.622,0.435,0.428,0.358,0.585,0.466,0.495,0.551,0.545,0.398,0.368,0.593,0.485,0.150,0.444,0.597,0.404,0.238,0.555,0.261,0.353,0.511,0.595,0.265,0.373,0.619,0.541,0.638,0.925
SecondStructure	C,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,A,A,A,C,C,C,C,A,A,C,C,C,B,B,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C,C,C,C,C,A,A,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C,C,A,A,A,A,A,C,C,C
Hydropathy	1.9,-1.3,3.8,-4.5,-4.5,1.8,4.2,-0.8,-3.9,-0.7,3.8,1.8,3.8,-1.6,3.8,-4.5,1.8,-1.6,-1.6,-3.5,-1.6,1.8,-1.6,3.8,-0.4,-3.9,-3.5,1.8,-0.8,3.8,-4.5,-4.5,1.9,-0.8,-0.8,-3.5,-4.5,2.8,-1.6,-0.4,-0.8,-0.8,-0.4,-0.8,-3.5,1.9,4.5,-1.3,-1.3,3.8,4.2,4.2,-0.4,4.2,-0.7,4.2,-0.8,1.8,-0.4,-0.4,-1.3,-1.3,1.8,-1.3,-3.9,-0.7,4.2,-0.7,-0.8,-3.5,-3.5,1.8,-3.9,-3.2,-0.7,-3.5,-3.2,-3.9,-0.7,-3.5,3.8,-3.9,-3.5,-3.9,-0.7,-3.9,1.8,-3.5,4.5,-3.2,-1.6,2.8,-3.5,-0.4,-3.5,-3.9,-3.5,-3.5,4.2,1.8,-3.5,-0.7,-3.5,-3.9,1.8,-0.8,-0.8,-3.5,1.8,-1.6,-3.5,-3.5,3.8,4.5,4.2,-3.5,1.8,-3.5,4.2,4.2,-3.5,1.8,-3.5,-3.5,-0.8,-1.6,-0.8,1.8,-0.7,4.2,4.2,4.2,4.5,-3.9,-3.5,1.8,-0.8,1.8,2.5,-1.6,-0.4,-3.2,4.2,-3.5,1.8,1.8,-1.6,-3.5,-0.7,-0.7,1.8,4.2,-0.8,1.8,-3.5,-0.7,-0.4,-1.6,-3.5,4.2,-0.7,-3.5,1.8,1.8,1.8,-4.5,-3.5,-0.7,-0.7,-3.5,4.2,-3.5,-1.6,-3.5,-0.7,-0.7,-1.6,-3.5,4.2,-0.7,-3.5,1.8,1.8,3.8,-3.5,-3.5,1.8,4.2,-0.7,4.5,-3.5,-3.5,-3.5,-3.9,-3.5,-0.7,-0.7,-3.9,-3.5,-3.5,-0.7,-0.8,-3.5,-3.5,-1.3,1.8,-3.5,3.8,-3.5,-3.5,-3.5,-3.5,-0.8,-1.6,1.8,-3.5,-0.8,-3.5,-0.8,-0.8,1.8,-0.4,-3.5,-3.5,3.8,-3.5,-3.5,-3.5,1.8,-0.8,4.2,-0.4,-0.8,-3.5,1.8,1.8,-0.8,1.8,-3.5,-0.4
Polar	0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1
Charge	0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,1,0,-1,1,1,0,0,0,1,-1,1,0,1,0,-1,0,1,0,0,0,0,-1,1,-1,0,0,0,-1,0,-1,1,0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,0,1,0,-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
