UniprotID	Q7RTM1
Accession	Q7RTM1;A1L476
EntryName	OTOP1_HUMAN
ProteinName	Proton channel OTOP1 (Otopetrin-1) (hOtop1)
GeneName	OTOP1
Length	612
Function	Proton-selective ion channel (PubMed:29371428, PubMed:36266567). Biphasically modulated by acid and alkali, mediating proton influx and efflux in response to extracellular acid and base stimulation, respectively. Sour taste receptor, which carries inward currents in response to extracellular acidification (By similarity). Sensor for ammonium chloride (NH(4)Cl) in taste receptor cells (PubMed:37798269). NH(4)Cl acts by increasing the intracellular pH, thereby generating a driving force for proton entry through OTOP1 channel (PubMed:37798269). Might also participate in alkaline sensation. Plays a role in the regulation of Ca(2+) flux in response to purigenic (ATP, ADP and UDP) stimuli, leading to increase in cytosolic Ca(2+) due to influx of extracellular calcium. May play this role by inhibiting P2Y purinoceptor-mediated Ca(2+) release in a Ca(2+)-dependent manner and promote an influx of Ca(2+) in response to ATP. Through this mechanism and possibly others, plays a role in the formation and function of calcium carbonate-based structures in the vestibular system of the inner ear, called otoconia, that sense gravity and linear acceleration. In obesity, may attenuate adipose tissue inflammation, through the negative regulation of IFNG signaling, hence may play an adaptive role in the maintainance of metabolic homeostasis. Following alkali activation, may also be permeable Na(+), K(+), Cs(+) and Li(+) (By similarity).
Subcellular Location	Cell membrane; Cell projection; Microvillus
Disorder	0.4292,0.4652,0.4220,0.3910,0.3631,0.3807,0.3566,0.3740,0.3149,0.3019,0.3215,0.3494,0.4292,0.4051,0.4369,0.4864,0.4507,0.3774,0.3426,0.4119,0.4476,0.4119,0.4051,0.4369,0.4409,0.5098,0.5211,0.5577,0.6043,0.7209,0.7547,0.7916,0.7505,0.7951,0.7982,0.7672,0.8085,0.8421,0.8462,0.8565,0.7843,0.7369,0.6482,0.6948,0.7120,0.7595,0.5901,0.5342,0.5620,0.4766,0.3566,0.3566,0.3182,0.3667,0.2224,0.2164,0.1349,0.0734,0.0463,0.0327,0.0209,0.0205,0.0214,0.0191,0.0104,0.0073,0.0054,0.0054,0.0055,0.0038,0.0039,0.0042,0.0042,0.0038,0.0033,0.0046,0.0037,0.0047,0.0065,0.0080,0.0138,0.0120,0.0095,0.0072,0.0064,0.0064,0.0088,0.0107,0.0105,0.0102,0.0107,0.0087,0.0119,0.0083,0.0068,0.0056,0.0049,0.0046,0.0035,0.0025,0.0020,0.0019,0.0026,0.0034,0.0042,0.0054,0.0072,0.0071,0.0081,0.0080,0.0060,0.0082,0.0081,0.0079,0.0117,0.0202,0.0364,0.0372,0.0704,0.1070,0.1914,0.1583,0.0888,0.0870,0.0909,0.0909,0.0581,0.0631,0.0313,0.0146,0.0202,0.0269,0.0143,0.0258,0.0160,0.0092,0.0062,0.0064,0.0057,0.0041,0.0046,0.0033,0.0046,0.0044,0.0030,0.0022,0.0022,0.0020,0.0019,0.0028,0.0032,0.0026,0.0032,0.0039,0.0039,0.0052,0.0074,0.0082,0.0054,0.0073,0.0082,0.0082,0.0123,0.0117,0.0138,0.0269,0.0568,0.0294,0.0364,0.0398,0.0223,0.0209,0.0184,0.0115,0.0087,0.0085,0.0076,0.0066,0.0087,0.0163,0.0089,0.0081,0.0081,0.0081,0.0055,0.0070,0.0073,0.0052,0.0076,0.0113,0.0070,0.0090,0.0101,0.0115,0.0184,0.0349,0.0231,0.0125,0.0157,0.0168,0.0104,0.0109,0.0117,0.0076,0.0070,0.0120,0.0119,0.0088,0.0090,0.0089,0.0093,0.0165,0.0165,0.0240,0.0463,0.0253,0.0287,0.0531,0.1115,0.1070,0.1137,0.1914,0.1852,0.1759,0.2849,0.2129,0.1969,0.0985,0.1476,0.2503,0.1424,0.1323,0.1399,0.0909,0.0506,0.0518,0.1028,0.0929,0.0835,0.1028,0.1070,0.0555,0.0592,0.0662,0.1275,0.1424,0.2645,0.2715,0.3053,0.2224,0.2164,0.2817,0.1759,0.1671,0.2364,0.3286,0.2164,0.1229,0.0662,0.0334,0.0160,0.0181,0.0141,0.0141,0.0125,0.0136,0.0080,0.0074,0.0053,0.0053,0.0060,0.0059,0.0067,0.0080,0.0060,0.0045,0.0037,0.0038,0.0038,0.0052,0.0073,0.0073,0.0066,0.0107,0.0101,0.0117,0.0111,0.0184,0.0181,0.0349,0.0662,0.0888,0.0929,0.0646,0.0948,0.0780,0.1399,0.1969,0.2988,0.4087,0.3321,0.2680,0.2951,0.2951,0.2503,0.1823,0.1643,0.1528,0.0909,0.0948,0.0581,0.0313,0.0240,0.0191,0.0263,0.0143,0.0227,0.0153,0.0111,0.0083,0.0065,0.0060,0.0052,0.0047,0.0047,0.0039,0.0047,0.0064,0.0064,0.0087,0.0087,0.0111,0.0174,0.0244,0.0300,0.0227,0.0227,0.0160,0.0171,0.0130,0.0111,0.0100,0.0099,0.0127,0.0127,0.0134,0.0136,0.0090,0.0072,0.0053,0.0045,0.0044,0.0039,0.0035,0.0033,0.0024,0.0024,0.0032,0.0032,0.0038,0.0040,0.0040,0.0054,0.0054,0.0064,0.0096,0.0095,0.0148,0.0151,0.0218,0.0463,0.0662,0.0676,0.0967,0.1424,0.1184,0.2064,0.2470,0.1643,0.2783,0.2715,0.3910,0.3983,0.3053,0.3392,0.3249,0.3149,0.2752,0.2783,0.3774,0.3631,0.2470,0.1643,0.0948,0.0870,0.0389,0.0483,0.0473,0.0253,0.0263,0.0202,0.0125,0.0084,0.0089,0.0108,0.0168,0.0168,0.0165,0.0235,0.0240,0.0146,0.0153,0.0157,0.0157,0.0287,0.0181,0.0380,0.0227,0.0227,0.0244,0.0258,0.0275,0.0294,0.0356,0.0662,0.0817,0.0405,0.0248,0.0269,0.0244,0.0160,0.0153,0.0100,0.0097,0.0160,0.0151,0.0151,0.0133,0.0214,0.0240,0.0483,0.0888,0.1048,0.1070,0.1476,0.1449,0.1554,0.1583,0.2470,0.2399,0.1583,0.2258,0.2680,0.2884,0.4017,0.3215,0.2328,0.3321,0.3321,0.3392,0.3321,0.2752,0.2817,0.2064,0.2645,0.2645,0.2436,0.1501,0.2503,0.2364,0.2224,0.3087,0.3117,0.3087,0.3426,0.3321,0.4087,0.4330,0.3948,0.4149,0.4149,0.4087,0.4409,0.4292,0.4685,0.5211,0.5493,0.5176,0.5901,0.5665,0.5758,0.5951,0.5055,0.4087,0.4292,0.4582,0.4801,0.4582,0.5254,0.5807,0.5493,0.5577,0.5758,0.5992,0.5758,0.6482,0.6375,0.6269,0.6661,0.6991,0.5533,0.5493,0.5419,0.6269,0.7755,0.8162,0.8421,0.7415,0.7459,0.6375,0.6482,0.6531,0.4940,0.3910,0.3872,0.3910,0.3872,0.3426,0.3249,0.3249,0.3286,0.3631,0.2817,0.2817,0.2951,0.1942,0.1759,0.1349,0.1137,0.0719,0.0662,0.0341,0.0194,0.0389,0.0389,0.0349,0.0218,0.0130,0.0102,0.0115,0.0130,0.0113,0.0095,0.0136,0.0089,0.0087,0.0130,0.0163,0.0109,0.0198,0.0327,0.0631,0.0618,0.1229,0.1275,0.1275,0.0909,0.0765,0.1298,0.1092,0.1048,0.1070,0.0719,0.0835,0.0494,0.0631,0.0405,0.0380,0.0205,0.0313,0.0227,0.0240,0.0130,0.0194,0.0117,0.0073,0.0068,0.0082,0.0102,0.0099,0.0138,0.0109,0.0089,0.0125,0.0120,0.0102,0.0151,0.0146,0.0089,0.0090,0.0097,0.0081,0.0064,0.0076,0.0064,0.0072,0.0093,0.0125,0.0095,0.0091,0.0070,0.0062
ExposeBuried	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
SurfaceAccessbility	0.786,0.350,0.668,0.469,0.533,0.711,0.434,0.670,0.353,0.379,0.407,0.611,0.488,0.576,0.539,0.524,0.281,0.608,0.228,0.377,0.413,0.687,0.685,0.429,0.457,0.436,0.427,0.305,0.493,0.341,0.498,0.646,0.563,0.585,0.243,0.314,0.407,0.465,0.428,0.594,0.505,0.294,0.368,0.283,0.540,0.502,0.613,0.471,0.443,0.467,0.417,0.571,0.197,0.104,0.568,0.422,0.087,0.152,0.503,0.146,0.064,0.253,0.165,0.173,0.137,0.123,0.102,0.165,0.088,0.106,0.151,0.142,0.145,0.108,0.159,0.125,0.077,0.081,0.144,0.181,0.123,0.126,0.347,0.382,0.182,0.239,0.103,0.271,0.341,0.269,0.218,0.052,0.089,0.062,0.046,0.072,0.135,0.096,0.114,0.213,0.094,0.082,0.265,0.152,0.093,0.110,0.096,0.088,0.097,0.118,0.090,0.125,0.407,0.285,0.310,0.511,0.251,0.448,0.254,0.209,0.106,0.338,0.170,0.534,0.339,0.475,0.398,0.270,0.258,0.292,0.152,0.117,0.077,0.233,0.126,0.140,0.117,0.101,0.062,0.100,0.135,0.116,0.042,0.205,0.150,0.044,0.094,0.311,0.059,0.094,0.378,0.172,0.154,0.173,0.246,0.175,0.228,0.164,0.304,0.482,0.039,0.364,0.526,0.303,0.102,0.586,0.183,0.068,0.174,0.311,0.094,0.080,0.299,0.153,0.059,0.161,0.178,0.090,0.077,0.219,0.110,0.124,0.110,0.072,0.087,0.232,0.242,0.047,0.457,0.353,0.042,0.089,0.478,0.144,0.251,0.342,0.380,0.105,0.423,0.275,0.072,0.143,0.107,0.098,0.122,0.171,0.085,0.159,0.163,0.141,0.074,0.104,0.096,0.068,0.075,0.193,0.159,0.081,0.158,0.454,0.567,0.444,0.296,0.400,0.542,0.475,0.351,0.576,0.379,0.559,0.468,0.464,0.230,0.217,0.509,0.319,0.421,0.339,0.342,0.439,0.142,0.409,0.484,0.372,0.456,0.605,0.619,0.674,0.417,0.382,0.473,0.054,0.243,0.061,0.323,0.352,0.386,0.423,0.103,0.046,0.439,0.142,0.077,0.378,0.400,0.091,0.062,0.076,0.092,0.054,0.100,0.185,0.154,0.405,0.153,0.379,0.105,0.127,0.110,0.066,0.036,0.069,0.113,0.069,0.035,0.099,0.081,0.064,0.069,0.371,0.341,0.102,0.198,0.475,0.394,0.126,0.361,0.539,0.473,0.483,0.390,0.499,0.539,0.163,0.479,0.117,0.312,0.328,0.420,0.145,0.131,0.086,0.090,0.092,0.173,0.110,0.104,0.090,0.078,0.105,0.103,0.089,0.102,0.125,0.137,0.062,0.047,0.042,0.047,0.037,0.034,0.081,0.152,0.054,0.348,0.127,0.464,0.439,0.615,0.496,0.391,0.428,0.160,0.367,0.287,0.091,0.051,0.101,0.067,0.083,0.135,0.176,0.143,0.154,0.139,0.187,0.074,0.097,0.197,0.145,0.144,0.191,0.134,0.150,0.154,0.132,0.221,0.272,0.236,0.278,0.135,0.242,0.366,0.154,0.485,0.543,0.559,0.428,0.217,0.532,0.619,0.410,0.614,0.454,0.365,0.446,0.395,0.469,0.127,0.331,0.148,0.213,0.097,0.084,0.109,0.105,0.178,0.185,0.191,0.169,0.325,0.179,0.107,0.129,0.221,0.164,0.194,0.208,0.049,0.060,0.098,0.069,0.060,0.084,0.479,0.499,0.420,0.299,0.609,0.199,0.113,0.296,0.295,0.103,0.232,0.094,0.125,0.175,0.131,0.053,0.081,0.118,0.054,0.048,0.324,0.342,0.097,0.082,0.436,0.262,0.060,0.087,0.067,0.065,0.308,0.165,0.104,0.242,0.450,0.533,0.365,0.673,0.652,0.273,0.584,0.523,0.576,0.443,0.565,0.349,0.139,0.451,0.385,0.162,0.370,0.167,0.290,0.509,0.382,0.615,0.398,0.245,0.318,0.217,0.200,0.530,0.341,0.075,0.284,0.771,0.556,0.537,0.569,0.271,0.465,0.545,0.567,0.101,0.383,0.460,0.608,0.545,0.727,0.658,0.427,0.357,0.381,0.565,0.517,0.569,0.533,0.519,0.283,0.243,0.330,0.457,0.509,0.473,0.309,0.439,0.636,0.435,0.510,0.596,0.487,0.355,0.550,0.525,0.327,0.365,0.289,0.470,0.429,0.310,0.437,0.404,0.219,0.189,0.426,0.140,0.317,0.518,0.323,0.342,0.559,0.471,0.558,0.160,0.320,0.409,0.450,0.046,0.102,0.455,0.338,0.043,0.183,0.102,0.064,0.079,0.100,0.093,0.036,0.186,0.078,0.127,0.075,0.109,0.083,0.128,0.266,0.227,0.156,0.273,0.120,0.363,0.383,0.535,0.149,0.675,0.568,0.365,0.176,0.552,0.464,0.335,0.150,0.201,0.174,0.169,0.353,0.102,0.077,0.115,0.100,0.055,0.077,0.263,0.134,0.144,0.110,0.183,0.140,0.137,0.090,0.084,0.167,0.251,0.120,0.269,0.223,0.143,0.292,0.291,0.121,0.158,0.439,0.142,0.251,0.186,0.576,0.679
