UniprotID	Q6PCB7
Accession	Q6PCB7;A6NIH2;B7Z662
EntryName	S27A1_HUMAN
ProteinName	Long-chain fatty acid transport protein 1 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 1) (FATP-1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 1) (Very long-chain acyl-CoA synthetase) (EC 6.2.1.-)
GeneName	SLC27A1 ACSVL5 FATP1
Length	646
Function	Mediates the import of long-chain fatty acids (LCFA) into the cell by facilitating their transport at the plasma membrane (PubMed:12556534, PubMed:20530735, PubMed:21395585, PubMed:28178239). Also functions as an acyl-CoA ligase catalyzing the ATP-dependent formation of fatty acyl-CoA using LCFA and very-long-chain fatty acids (VLCFA) as substrates, which prevents fatty acid efflux from cells and might drive more fatty acid uptake. May act directly as a bona fide transporter, or alternatively, in a cytoplasmic or membrane-associated multimeric protein complex to trap and draw fatty acids towards accumulation. Plays a pivotal role in regulating available LCFA substrates from exogenous sources in tissues undergoing high levels of beta-oxidation or triglyceride synthesis. May be involved in regulation of cholesterol metabolism (By similarity). Probably involved in fatty acid transport across the blood barrier (PubMed:21395585).
Subcellular Location	Cell membrane; Endomembrane system; Cytoplasm
Disorder	0.2715,0.1791,0.2094,0.1184,0.1137,0.0646,0.0389,0.0258,0.0181,0.0134,0.0171,0.0125,0.0151,0.0109,0.0101,0.0071,0.0079,0.0070,0.0069,0.0069,0.0062,0.0059,0.0073,0.0059,0.0057,0.0049,0.0066,0.0091,0.0136,0.0231,0.0235,0.0231,0.0205,0.0104,0.0165,0.0096,0.0105,0.0084,0.0096,0.0115,0.0113,0.0133,0.0223,0.0235,0.0209,0.0194,0.0306,0.0168,0.0168,0.0113,0.0078,0.0075,0.0075,0.0088,0.0130,0.0088,0.0148,0.0133,0.0181,0.0174,0.0163,0.0205,0.0205,0.0171,0.0160,0.0281,0.0676,0.0334,0.0817,0.0817,0.0676,0.0581,0.1184,0.0967,0.0985,0.0618,0.1206,0.1092,0.1942,0.2292,0.2503,0.2503,0.1501,0.1275,0.0888,0.0543,0.0581,0.0424,0.0835,0.0734,0.0734,0.1528,0.1942,0.1137,0.1476,0.1137,0.1424,0.1399,0.0780,0.0799,0.0506,0.0231,0.0231,0.0463,0.0463,0.0531,0.0704,0.0704,0.0483,0.0227,0.0209,0.0223,0.0123,0.0181,0.0160,0.0127,0.0306,0.0380,0.0398,0.0473,0.0275,0.0281,0.0294,0.0160,0.0097,0.0120,0.0181,0.0223,0.0248,0.0518,0.0531,0.0334,0.0320,0.0334,0.0191,0.0227,0.0275,0.0138,0.0119,0.0113,0.0138,0.0205,0.0198,0.0414,0.0704,0.1007,0.0518,0.0294,0.0320,0.0174,0.0171,0.0194,0.0300,0.0306,0.0618,0.1349,0.1349,0.1115,0.0985,0.0749,0.0424,0.0531,0.0555,0.0704,0.0618,0.0618,0.0749,0.1048,0.1048,0.0518,0.0389,0.0356,0.0631,0.0719,0.0531,0.0294,0.0194,0.0263,0.0209,0.0334,0.0646,0.0719,0.0704,0.0646,0.0646,0.0364,0.0454,0.0454,0.0555,0.0555,0.0543,0.1137,0.0531,0.0300,0.0258,0.0341,0.0592,0.0405,0.0494,0.0948,0.1349,0.1162,0.0967,0.0543,0.0676,0.0734,0.1323,0.1349,0.0765,0.0433,0.0835,0.1731,0.1048,0.1229,0.1942,0.2164,0.1852,0.1702,0.2645,0.2258,0.2258,0.1251,0.1028,0.1914,0.1852,0.1823,0.1702,0.1611,0.1554,0.1942,0.2951,0.2951,0.2680,0.2715,0.2399,0.1501,0.0749,0.0506,0.0543,0.0506,0.0631,0.0543,0.1028,0.1251,0.0676,0.1424,0.1229,0.1007,0.0799,0.0454,0.0405,0.0244,0.0231,0.0223,0.0405,0.0473,0.0483,0.0929,0.1275,0.0985,0.0799,0.0389,0.0364,0.0349,0.0356,0.0506,0.0235,0.0240,0.0227,0.0300,0.0433,0.0531,0.0870,0.0568,0.0327,0.0184,0.0349,0.0349,0.0198,0.0300,0.0223,0.0165,0.0320,0.0320,0.0258,0.0253,0.0341,0.0356,0.0205,0.0263,0.0171,0.0205,0.0263,0.0141,0.0130,0.0133,0.0134,0.0125,0.0130,0.0214,0.0133,0.0148,0.0151,0.0157,0.0160,0.0191,0.0108,0.0102,0.0130,0.0202,0.0214,0.0165,0.0101,0.0100,0.0174,0.0153,0.0153,0.0248,0.0153,0.0263,0.0143,0.0209,0.0205,0.0235,0.0244,0.0148,0.0100,0.0168,0.0184,0.0138,0.0088,0.0087,0.0094,0.0100,0.0071,0.0069,0.0101,0.0174,0.0125,0.0205,0.0209,0.0313,0.0327,0.0518,0.0799,0.0749,0.1298,0.1424,0.1476,0.0817,0.1162,0.1476,0.1424,0.2328,0.3215,0.3215,0.3215,0.3426,0.2849,0.2680,0.1731,0.1702,0.2164,0.1162,0.1206,0.1275,0.1298,0.0676,0.1007,0.0662,0.1137,0.1424,0.1275,0.1275,0.1298,0.0719,0.0734,0.0719,0.0483,0.0631,0.1162,0.1070,0.1048,0.0473,0.0929,0.0531,0.0389,0.0405,0.0662,0.0719,0.1048,0.1048,0.0676,0.1115,0.1115,0.0555,0.1048,0.0909,0.0985,0.1184,0.1137,0.0646,0.0780,0.0870,0.1611,0.1162,0.1162,0.1611,0.1007,0.1206,0.0704,0.0483,0.0483,0.0494,0.0543,0.0592,0.1206,0.1275,0.1881,0.1914,0.1275,0.0817,0.1275,0.2034,0.1554,0.1643,0.2193,0.2292,0.1275,0.1251,0.1501,0.1476,0.2064,0.1852,0.2436,0.2503,0.2680,0.2575,0.1759,0.1424,0.0948,0.1476,0.2258,0.1554,0.1528,0.1852,0.1852,0.1969,0.3053,0.3182,0.3983,0.3667,0.3494,0.3529,0.3840,0.2988,0.2224,0.1942,0.2094,0.2884,0.3321,0.4017,0.4017,0.3872,0.4652,0.3704,0.3321,0.3249,0.3117,0.2193,0.1969,0.1969,0.1942,0.2951,0.2951,0.2951,0.3494,0.3249,0.2470,0.2258,0.2258,0.2715,0.2002,0.1349,0.0967,0.0799,0.1424,0.1823,0.1184,0.1184,0.1048,0.1554,0.0985,0.0518,0.0531,0.0531,0.0543,0.0662,0.1115,0.1823,0.1914,0.1092,0.1007,0.0817,0.1323,0.1852,0.2364,0.2364,0.1583,0.2328,0.2399,0.3321,0.3807,0.3983,0.5342,0.5342,0.4476,0.3667,0.3667,0.3631,0.2715,0.1881,0.2951,0.3019,0.4087,0.4220,0.3529,0.3087,0.2292,0.2094,0.2129,0.1501,0.1251,0.0749,0.1349,0.1251,0.0817,0.1323,0.1969,0.1942,0.1671,0.2399,0.2817,0.2503,0.2094,0.1476,0.1137,0.1731,0.2292,0.2951,0.3774,0.2951,0.2752,0.3149,0.4149,0.3948,0.3631,0.3426,0.2399,0.2503,0.2715,0.2193,0.2258,0.2609,0.2224,0.1759,0.2064,0.2715,0.1759,0.1251,0.1251,0.1501,0.1449,0.1229,0.0704,0.0568,0.0300,0.0223,0.0463,0.0851,0.0518,0.0506,0.0888,0.0870,0.0909,0.1399,0.1206,0.1399,0.0662,0.1184,0.1373,0.1449,0.1206,0.1251,0.2292,0.3117,0.3286,0.4149,0.3872,0.3631,0.3872,0.4582,0.4541,0.4541,0.4476,0.4619,0.4541,0.4864,0.3807,0.3631,0.2715,0.2884,0.1969,0.1942,0.2849,0.2752,0.2783,0.1759,0.1115,0.2292,0.1424,0.1298,0.1449,0.1162,0.0719,0.0398,0.0380,0.0380,0.0349,0.0443,0.0870,0.1424,0.1092,0.0948,0.0799,0.0454,0.0349,0.0258,0.0364,0.0518,0.0287,0.0433,0.0258,0.0153,0.0136,0.0171
ExposeBuried	1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1
SurfaceAccessbility	0.833,0.612,0.413,0.467,0.479,0.353,0.331,0.136,0.176,0.191,0.064,0.061,0.085,0.063,0.079,0.080,0.119,0.138,0.109,0.153,0.521,0.103,0.355,0.160,0.291,0.295,0.186,0.100,0.126,0.218,0.085,0.054,0.095,0.070,0.091,0.091,0.208,0.410,0.384,0.203,0.125,0.284,0.081,0.038,0.255,0.188,0.042,0.090,0.481,0.230,0.089,0.518,0.402,0.462,0.106,0.162,0.157,0.126,0.209,0.173,0.090,0.138,0.299,0.054,0.317,0.385,0.446,0.106,0.601,0.559,0.164,0.581,0.641,0.338,0.428,0.458,0.313,0.072,0.141,0.562,0.136,0.062,0.430,0.476,0.271,0.127,0.621,0.574,0.289,0.274,0.500,0.175,0.105,0.060,0.054,0.126,0.207,0.514,0.460,0.666,0.590,0.305,0.407,0.092,0.157,0.060,0.456,0.378,0.034,0.197,0.630,0.243,0.018,0.386,0.420,0.038,0.042,0.447,0.108,0.049,0.416,0.654,0.293,0.510,0.072,0.449,0.608,0.443,0.289,0.226,0.024,0.024,0.023,0.042,0.038,0.101,0.240,0.183,0.163,0.159,0.049,0.063,0.097,0.065,0.066,0.103,0.073,0.030,0.098,0.293,0.139,0.288,0.064,0.121,0.123,0.045,0.108,0.073,0.235,0.254,0.657,0.133,0.461,0.373,0.613,0.321,0.037,0.244,0.325,0.080,0.041,0.498,0.521,0.069,0.546,0.068,0.379,0.064,0.096,0.067,0.115,0.233,0.591,0.544,0.074,0.151,0.587,0.248,0.030,0.481,0.573,0.047,0.119,0.677,0.726,0.060,0.631,0.589,0.249,0.493,0.154,0.276,0.165,0.133,0.197,0.365,0.578,0.547,0.623,0.299,0.722,0.365,0.279,0.153,0.567,0.404,0.354,0.572,0.278,0.110,0.439,0.546,0.131,0.213,0.696,0.664,0.339,0.430,0.595,0.583,0.479,0.530,0.511,0.427,0.288,0.521,0.618,0.579,0.487,0.337,0.585,0.255,0.099,0.023,0.034,0.019,0.033,0.034,0.063,0.148,0.273,0.314,0.371,0.380,0.347,0.176,0.380,0.154,0.086,0.277,0.107,0.098,0.068,0.302,0.173,0.051,0.100,0.260,0.158,0.056,0.278,0.237,0.145,0.342,0.414,0.354,0.174,0.621,0.180,0.392,0.443,0.574,0.173,0.074,0.056,0.054,0.040,0.043,0.040,0.092,0.074,0.163,0.105,0.071,0.179,0.181,0.164,0.113,0.172,0.158,0.056,0.108,0.109,0.038,0.067,0.161,0.147,0.115,0.045,0.085,0.035,0.053,0.052,0.167,0.337,0.577,0.187,0.387,0.167,0.600,0.359,0.054,0.105,0.567,0.147,0.027,0.509,0.641,0.143,0.535,0.119,0.309,0.168,0.088,0.136,0.124,0.121,0.196,0.380,0.048,0.050,0.383,0.244,0.039,0.125,0.706,0.413,0.471,0.362,0.448,0.569,0.317,0.484,0.376,0.403,0.170,0.231,0.079,0.067,0.052,0.074,0.149,0.204,0.481,0.407,0.121,0.427,0.237,0.567,0.073,0.104,0.440,0.360,0.034,0.288,0.638,0.279,0.110,0.503,0.432,0.171,0.376,0.070,0.207,0.493,0.239,0.146,0.244,0.271,0.140,0.222,0.181,0.201,0.063,0.119,0.056,0.106,0.168,0.188,0.506,0.434,0.635,0.529,0.387,0.396,0.313,0.270,0.408,0.371,0.434,0.490,0.263,0.218,0.388,0.239,0.255,0.139,0.316,0.052,0.336,0.090,0.220,0.371,0.307,0.637,0.435,0.515,0.380,0.268,0.425,0.483,0.376,0.614,0.569,0.602,0.484,0.237,0.144,0.102,0.142,0.511,0.411,0.547,0.715,0.469,0.504,0.448,0.204,0.292,0.238,0.167,0.205,0.380,0.238,0.453,0.392,0.670,0.529,0.430,0.296,0.275,0.163,0.080,0.298,0.184,0.177,0.107,0.520,0.462,0.539,0.611,0.470,0.418,0.593,0.559,0.191,0.189,0.576,0.536,0.227,0.160,0.635,0.549,0.316,0.484,0.207,0.090,0.062,0.151,0.056,0.104,0.174,0.184,0.072,0.326,0.173,0.195,0.758,0.605,0.081,0.129,0.038,0.114,0.030,0.131,0.128,0.219,0.347,0.555,0.443,0.188,0.118,0.476,0.386,0.498,0.377,0.370,0.443,0.105,0.259,0.189,0.396,0.397,0.028,0.159,0.504,0.071,0.077,0.523,0.679,0.114,0.633,0.392,0.063,0.429,0.402,0.051,0.094,0.043,0.100,0.099,0.203,0.513,0.216,0.600,0.537,0.221,0.622,0.378,0.384,0.089,0.071,0.078,0.044,0.025,0.119,0.047,0.294,0.535,0.613,0.579,0.513,0.300,0.505,0.377,0.671,0.402,0.037,0.209,0.569,0.241,0.030,0.454,0.690,0.332,0.128,0.482,0.449,0.189,0.461,0.233,0.102,0.488,0.365,0.079,0.405,0.241,0.178,0.677,0.608,0.139,0.354,0.514,0.211,0.418,0.456,0.264,0.430,0.242,0.454,0.272,0.473,0.456,0.071,0.385,0.678,0.507,0.572,0.088,0.508,0.322,0.460,0.389,0.146,0.469,0.393,0.207,0.088,0.129,0.104,0.076,0.265,0.432,0.470,0.544,0.565,0.389,0.236,0.218,0.286,0.157,0.268,0.511,0.611,0.126,0.111,0.510,0.385,0.090,0.264,0.536,0.547,0.552,0.353,0.630,0.649
