UniprotID	Q96BT7
Accession	Q96BT7;B1Q2M0;B4DEF6;Q8N989
EntryName	ALKB8_HUMAN
ProteinName	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ALKBH8 (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (Alpha-ketoglutarate-dependent dioxygenase ALKBH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8)
GeneName	ALKBH8 ABH8
Length	664
Function	Catalyzes the methylation of 5-carboxymethyl uridine to 5-methylcarboxymethyl uridine at the wobble position of the anticodon loop in tRNA via its methyltransferase domain (PubMed:20123966, PubMed:20308323, PubMed:31079898). Catalyzes the last step in the formation of 5-methylcarboxymethyl uridine at the wobble position of the anticodon loop in target tRNA (PubMed:20123966, PubMed:20308323). Has a preference for tRNA(Arg) and tRNA(Glu), and does not bind tRNA(Lys) (PubMed:20308323). Binds tRNA and catalyzes the iron and alpha-ketoglutarate dependent hydroxylation of 5-methylcarboxymethyl uridine at the wobble position of the anticodon loop in tRNA via its dioxygenase domain, giving rise to 5-(S)-methoxycarbonylhydroxymethyluridine; has a preference for tRNA(Gly) (PubMed:21285950). Required for normal survival after DNA damage (PubMed:20308323). May inhibit apoptosis and promote cell survival and angiogenesis (PubMed:19293182).
Subcellular Location	Cytoplasm; Nucleus
Disorder	0.5342,0.5533,0.5758,0.5992,0.6375,0.6531,0.6620,0.5176,0.4476,0.4725,0.4831,0.5254,0.4256,0.4256,0.3807,0.3667,0.3704,0.3774,0.2884,0.2951,0.2988,0.3740,0.3840,0.3807,0.2918,0.2918,0.2951,0.2328,0.3321,0.3215,0.2884,0.2988,0.2951,0.3807,0.3087,0.2783,0.2164,0.1852,0.1969,0.2645,0.3356,0.2575,0.2470,0.2575,0.2575,0.2817,0.2715,0.2680,0.3426,0.3460,0.3566,0.3117,0.3356,0.2752,0.2064,0.2918,0.3460,0.3426,0.3740,0.2884,0.2328,0.2436,0.2918,0.2258,0.1528,0.1323,0.2129,0.2436,0.2575,0.2436,0.2680,0.2645,0.3321,0.2034,0.2364,0.3087,0.2193,0.2224,0.2918,0.2951,0.3704,0.4409,0.4292,0.4507,0.5211,0.5758,0.5176,0.4256,0.3983,0.3149,0.3321,0.3053,0.3774,0.3872,0.4330,0.4017,0.4087,0.4979,0.4220,0.4186,0.4186,0.4051,0.3117,0.3182,0.2503,0.1791,0.1349,0.2094,0.1671,0.1206,0.1823,0.1671,0.1206,0.1275,0.0646,0.0888,0.1349,0.0835,0.0780,0.1399,0.1449,0.1251,0.0851,0.1583,0.1791,0.2470,0.2541,0.2951,0.2224,0.2680,0.3392,0.3392,0.2645,0.2470,0.2364,0.3392,0.3566,0.3566,0.4441,0.4409,0.3807,0.3053,0.2575,0.3392,0.3117,0.2224,0.2328,0.2002,0.2364,0.3087,0.3774,0.3704,0.3704,0.4652,0.5665,0.5854,0.5854,0.5854,0.5577,0.5419,0.4685,0.4901,0.5758,0.6661,0.6482,0.5665,0.6427,0.6269,0.6322,0.6322,0.5098,0.5098,0.3983,0.3872,0.2951,0.2988,0.2988,0.3117,0.3149,0.2609,0.2752,0.3392,0.3599,0.3529,0.3840,0.3117,0.3667,0.3774,0.3774,0.4017,0.4256,0.5254,0.4256,0.4619,0.4766,0.5665,0.4409,0.3494,0.3494,0.3321,0.2884,0.2034,0.2034,0.1881,0.1942,0.1092,0.1092,0.1048,0.1028,0.0967,0.1731,0.1583,0.1583,0.2002,0.2715,0.1852,0.1942,0.3053,0.2988,0.2988,0.3321,0.4409,0.5342,0.5456,0.4652,0.4940,0.5620,0.6712,0.5758,0.5901,0.5992,0.5620,0.5456,0.5098,0.4369,0.4441,0.5342,0.5342,0.4409,0.4685,0.4507,0.3460,0.3392,0.2575,0.2575,0.3286,0.3117,0.2680,0.2164,0.2645,0.2645,0.1671,0.1643,0.1671,0.2094,0.3149,0.3053,0.2292,0.1969,0.2129,0.2951,0.2436,0.2918,0.2258,0.3215,0.3182,0.3215,0.3087,0.3053,0.2884,0.2609,0.2258,0.3249,0.3321,0.3460,0.3182,0.3117,0.2292,0.2292,0.1583,0.2094,0.1852,0.2399,0.1942,0.2680,0.1611,0.1583,0.1554,0.0909,0.1424,0.2034,0.2002,0.2364,0.2094,0.2034,0.2034,0.2034,0.1424,0.2064,0.2715,0.3774,0.3019,0.2292,0.2292,0.2988,0.3053,0.3321,0.3392,0.3566,0.3807,0.3774,0.2988,0.3529,0.3356,0.3599,0.3667,0.2783,0.2817,0.3599,0.3599,0.2609,0.2609,0.2258,0.3019,0.2918,0.2328,0.2224,0.2918,0.2918,0.3053,0.2884,0.2918,0.2680,0.2680,0.1914,0.2164,0.1476,0.1583,0.0909,0.0929,0.0929,0.1702,0.1643,0.2575,0.2715,0.2783,0.3631,0.3872,0.3740,0.2680,0.2645,0.3704,0.3529,0.4652,0.4619,0.5707,0.5055,0.5951,0.6755,0.7036,0.7080,0.7209,0.7250,0.6136,0.5419,0.5211,0.5254,0.4330,0.3182,0.3356,0.4541,0.3566,0.3149,0.3182,0.3087,0.2094,0.1942,0.2129,0.2224,0.2193,0.2988,0.2884,0.3087,0.2064,0.3149,0.3740,0.3019,0.2364,0.3087,0.2918,0.2002,0.1881,0.2258,0.1759,0.1969,0.1942,0.2951,0.2951,0.2224,0.1643,0.1399,0.1476,0.0929,0.0780,0.0690,0.0581,0.0618,0.0985,0.1349,0.0765,0.0888,0.1373,0.0909,0.1162,0.1759,0.1643,0.1115,0.0676,0.0592,0.0605,0.0888,0.0531,0.0531,0.0888,0.0870,0.1702,0.1759,0.1137,0.0817,0.0888,0.0948,0.0780,0.0780,0.1323,0.1275,0.1323,0.0690,0.1162,0.1554,0.1070,0.1162,0.0662,0.1399,0.1137,0.0719,0.0631,0.0405,0.0463,0.0506,0.0734,0.0676,0.1070,0.1881,0.1162,0.1137,0.0967,0.0518,0.0605,0.0581,0.0414,0.0662,0.0662,0.0734,0.0719,0.0870,0.0765,0.0765,0.1137,0.0817,0.1229,0.1251,0.1298,0.0929,0.0799,0.1206,0.0719,0.0888,0.1611,0.1611,0.1206,0.1823,0.1399,0.1275,0.1914,0.2129,0.2034,0.2951,0.3215,0.2884,0.2399,0.1611,0.1028,0.0704,0.0581,0.0581,0.0568,0.0948,0.0948,0.0948,0.0929,0.1349,0.1323,0.2002,0.2783,0.2752,0.2470,0.1759,0.1229,0.1251,0.1449,0.2193,0.2988,0.3872,0.4476,0.5577,0.5951,0.6322,0.6227,0.6269,0.6227,0.6991,0.7036,0.7036,0.7080,0.7163,0.7163,0.6375,0.7547,0.8343,0.8279,0.7505,0.6661,0.6755,0.6712,0.6375,0.6269,0.6482,0.6089,0.6089,0.5951,0.5901,0.6427,0.6227,0.5951,0.5758,0.5665,0.5055,0.6089,0.5992,0.5098,0.5211,0.6269,0.6991,0.6991,0.6991,0.7331,0.7331,0.6136,0.6712,0.6661,0.6712,0.6806,0.5854,0.5854,0.6375,0.6375,0.6375,0.6183,0.6227,0.5456,0.6531,0.5620,0.5620,0.5665,0.5620,0.5533,0.4541,0.3774,0.4541,0.4507,0.4619,0.4087,0.3356,0.3392,0.3704,0.2609,0.2715,0.2064,0.2715,0.2470,0.3117,0.3321,0.3983,0.3872,0.3872,0.3807,0.4119,0.4541,0.5419,0.5758,0.4652,0.4541,0.5456,0.5419,0.6136,0.5707,0.7163,0.7209,0.8279,0.8279,0.8530,0.7916,0.6482,0.6375,0.6375,0.5382,0.4582,0.4330,0.4330,0.3321,0.3087,0.4087,0.4087,0.3872,0.3840,0.3872,0.3948,0.3631,0.2680,0.2399,0.2436,0.1671,0.2094,0.3087,0.2503,0.2503,0.2575,0.2645,0.2715,0.3149,0.3321,0.2575,0.2609,0.2645,0.2575,0.3392,0.2292,0.1449,0.1206,0.1323,0.0888,0.0909,0.1229,0.1092,0.0817,0.0929,0.0719,0.0909,0.1162,0.0817,0.0605,0.0888,0.1373,0.0835
ExposeBuried	1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
SurfaceAccessbility	0.812,0.598,0.629,0.653,0.436,0.501,0.500,0.479,0.257,0.499,0.172,0.444,0.542,0.311,0.339,0.447,0.481,0.144,0.096,0.383,0.501,0.352,0.065,0.480,0.300,0.426,0.258,0.268,0.129,0.158,0.412,0.310,0.586,0.440,0.130,0.524,0.307,0.149,0.361,0.255,0.177,0.257,0.362,0.228,0.069,0.102,0.094,0.144,0.341,0.259,0.289,0.226,0.319,0.482,0.340,0.242,0.356,0.346,0.469,0.382,0.101,0.148,0.367,0.100,0.096,0.550,0.510,0.074,0.372,0.152,0.163,0.306,0.149,0.118,0.151,0.173,0.218,0.431,0.721,0.432,0.390,0.232,0.380,0.164,0.239,0.373,0.228,0.381,0.306,0.386,0.623,0.627,0.393,0.454,0.373,0.133,0.193,0.113,0.214,0.115,0.518,0.387,0.515,0.539,0.192,0.145,0.478,0.497,0.160,0.282,0.492,0.343,0.047,0.222,0.122,0.101,0.089,0.389,0.113,0.162,0.483,0.476,0.177,0.491,0.144,0.538,0.645,0.113,0.509,0.346,0.488,0.522,0.154,0.261,0.254,0.104,0.088,0.125,0.115,0.054,0.439,0.522,0.135,0.097,0.415,0.497,0.463,0.426,0.427,0.512,0.331,0.080,0.206,0.523,0.295,0.109,0.476,0.422,0.434,0.498,0.397,0.366,0.498,0.557,0.549,0.394,0.380,0.419,0.446,0.504,0.276,0.479,0.430,0.443,0.494,0.361,0.500,0.467,0.227,0.445,0.284,0.468,0.177,0.273,0.366,0.591,0.575,0.517,0.543,0.357,0.636,0.473,0.550,0.391,0.181,0.385,0.639,0.608,0.615,0.149,0.283,0.589,0.106,0.058,0.537,0.389,0.069,0.175,0.568,0.235,0.055,0.381,0.588,0.283,0.492,0.225,0.138,0.529,0.465,0.232,0.501,0.684,0.287,0.323,0.233,0.099,0.488,0.466,0.174,0.364,0.442,0.498,0.609,0.376,0.115,0.393,0.404,0.329,0.276,0.375,0.559,0.284,0.433,0.123,0.176,0.440,0.483,0.405,0.102,0.145,0.220,0.078,0.304,0.146,0.226,0.298,0.518,0.256,0.104,0.105,0.271,0.097,0.315,0.370,0.387,0.610,0.467,0.425,0.439,0.325,0.501,0.143,0.246,0.117,0.470,0.416,0.392,0.203,0.077,0.104,0.067,0.052,0.240,0.128,0.392,0.122,0.302,0.301,0.321,0.093,0.345,0.240,0.238,0.074,0.384,0.270,0.572,0.523,0.136,0.648,0.466,0.239,0.523,0.280,0.276,0.441,0.336,0.129,0.471,0.550,0.403,0.485,0.301,0.160,0.468,0.648,0.309,0.429,0.580,0.251,0.380,0.093,0.187,0.274,0.400,0.330,0.186,0.431,0.379,0.378,0.137,0.364,0.245,0.467,0.568,0.358,0.587,0.562,0.438,0.386,0.278,0.538,0.098,0.566,0.211,0.304,0.150,0.255,0.088,0.427,0.501,0.576,0.442,0.548,0.684,0.417,0.360,0.465,0.627,0.168,0.454,0.647,0.518,0.492,0.544,0.550,0.187,0.441,0.533,0.152,0.343,0.497,0.588,0.220,0.067,0.356,0.506,0.077,0.111,0.602,0.566,0.094,0.182,0.493,0.311,0.099,0.482,0.593,0.289,0.513,0.558,0.501,0.320,0.112,0.480,0.356,0.026,0.260,0.553,0.080,0.057,0.598,0.716,0.191,0.542,0.599,0.435,0.317,0.110,0.123,0.111,0.185,0.085,0.188,0.101,0.363,0.540,0.344,0.517,0.282,0.163,0.379,0.190,0.507,0.477,0.456,0.145,0.194,0.234,0.071,0.150,0.057,0.409,0.374,0.161,0.399,0.365,0.062,0.118,0.510,0.073,0.047,0.466,0.632,0.369,0.576,0.080,0.500,0.131,0.133,0.115,0.059,0.391,0.383,0.153,0.506,0.114,0.308,0.161,0.422,0.588,0.632,0.425,0.100,0.438,0.102,0.045,0.049,0.110,0.041,0.052,0.061,0.055,0.203,0.271,0.142,0.356,0.359,0.394,0.501,0.407,0.209,0.094,0.416,0.103,0.034,0.358,0.436,0.059,0.050,0.409,0.118,0.075,0.249,0.464,0.535,0.220,0.378,0.053,0.050,0.034,0.052,0.034,0.068,0.116,0.109,0.288,0.450,0.567,0.223,0.529,0.597,0.545,0.413,0.421,0.515,0.272,0.166,0.486,0.439,0.490,0.464,0.542,0.535,0.635,0.382,0.480,0.483,0.597,0.598,0.247,0.598,0.542,0.559,0.383,0.464,0.182,0.226,0.394,0.406,0.091,0.128,0.546,0.335,0.092,0.478,0.626,0.246,0.441,0.506,0.494,0.503,0.515,0.389,0.560,0.520,0.209,0.360,0.477,0.149,0.506,0.461,0.524,0.616,0.630,0.370,0.410,0.141,0.519,0.470,0.455,0.503,0.228,0.537,0.637,0.495,0.535,0.157,0.293,0.178,0.275,0.130,0.413,0.355,0.341,0.399,0.188,0.266,0.431,0.432,0.398,0.087,0.110,0.089,0.127,0.084,0.233,0.102,0.488,0.423,0.391,0.440,0.666,0.640,0.565,0.394,0.473,0.158,0.554,0.621,0.398,0.357,0.400,0.455,0.401,0.582,0.420,0.307,0.539,0.415,0.368,0.118,0.080,0.199,0.261,0.087,0.105,0.228,0.077,0.094,0.357,0.518,0.332,0.500,0.085,0.257,0.408,0.144,0.080,0.492,0.373,0.102,0.446,0.472,0.097,0.344,0.164,0.113,0.404,0.408,0.374,0.384,0.549,0.468,0.291,0.269,0.069,0.030,0.078,0.075,0.105,0.412,0.562,0.850
