UniprotID	Q96Q89-2
Accession	Q96Q89;A8MXM7;O43277;Q09471;Q2KQ73;Q32NE1;Q561V3;Q58EX8;Q5T9M8;Q5T9M9;Q5T9N0;Q5T9N1;Q7KZ68;Q7Z5E0;Q7Z5E1;Q7Z6M9;Q86X82;Q9H3R8;Q9H6Q9;Q9H755;Q9NTC1;Q9UFR5
EntryName	KI20B_HUMAN
ProteinName	Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1)
GeneName	KIF20B KRMP1 MPHOSPH1
Length	1853
Function	Plus-end-directed motor enzyme that is required for completion of cytokinesis (PubMed:11470801, PubMed:12740395). Required for proper midbody organization and abscission in polarized cortical stem cells. Plays a role in the regulation of neuronal polarization by mediating the transport of specific cargos. Participates in the mobilization of SHTN1 and in the accumulation of PIP3 in the growth cone of primary hippocampal neurons in a tubulin and actin-dependent manner. In the developing telencephalon, cooperates with SHTN1 to promote both the transition from the multipolar to the bipolar stage and the radial migration of cortical neurons from the ventricular zone toward the superficial layer of the neocortex. Involved in cerebral cortex growth (By similarity). Acts as an oncogene for promoting bladder cancer cells proliferation, apoptosis inhibition and carcinogenic progression (PubMed:17409436).
Subcellular Location	Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Nucleus; Nucleolus; Nucleus; Nucleoplasm; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Spindle pole; Midbody; Cell projection; Axon; Cell projection; Growth cone
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
