UniprotID	Q14839-2
Accession	Q14839;Q8IXZ5
EntryName	CHD4_HUMAN
ProteinName	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)
GeneName	CHD4
Length	1940
Function	ATP-dependent helicase that binds and distorts nucleosomal DNA (PubMed:28977666, PubMed:32543371). Acts as a component of the histone deacetylase NuRD complex which participates in the remodeling of chromatin (PubMed:16428440, PubMed:17626165, PubMed:28977666, PubMed:9804427). Localizes to acetylated damaged chromatin in a ZMYND8-dependent manner, to promote transcriptional repression and double-strand break repair by homologous recombination (PubMed:25593309). Involved in neurogenesis (By similarity).
Subcellular Location	Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	126...132;51...57;258...263;598...602;303...308
validnes_region	
nesbase_region	
