UniprotID	Q00839-2
Accession	Q00839;O75507;Q8N174;Q96HY9;Q9BQ09
EntryName	HNRPU_HUMAN
ProteinName	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)
GeneName	HNRNPU C1orf199 HNRPU SAFA U21.1
Length	806
Function	DNA- and RNA-binding protein involved in several cellular processes such as nuclear chromatin organization, telomere-length regulation, transcription, mRNA alternative splicing and stability, Xist-mediated transcriptional silencing and mitotic cell progression (PubMed:10490622, PubMed:18082603, PubMed:19029303, PubMed:22325991, PubMed:25986610, PubMed:28622508). Plays a role in the regulation of interphase large-scale gene-rich chromatin organization through chromatin-associated RNAs (caRNAs) in a transcription-dependent manner, and thereby maintains genomic stability (PubMed:1324173, PubMed:28622508, PubMed:8174554). Required for the localization of the long non-coding Xist RNA on the inactive chromosome X (Xi) and the subsequent initiation and maintenance of X-linked transcriptional gene silencing during X-inactivation (By similarity). Plays a role as a RNA polymerase II (Pol II) holoenzyme transcription regulator (PubMed:10490622, PubMed:15711563, PubMed:19617346, PubMed:23811339, PubMed:8174554, PubMed:9353307). Promotes transcription initiation by direct association with the core-TFIIH basal transcription factor complex for the assembly of a functional pre-initiation complex with Pol II in a actin-dependent manner (PubMed:10490622, PubMed:15711563). Blocks Pol II transcription elongation activity by inhibiting the C-terminal domain (CTD) phosphorylation of Pol II and dissociates from Pol II pre-initiation complex prior to productive transcription elongation (PubMed:10490622). Positively regulates CBX5-induced transcriptional gene silencing and retention of CBX5 in the nucleus (PubMed:19617346). Negatively regulates glucocorticoid-mediated transcriptional activation (PubMed:9353307). Key regulator of transcription initiation and elongation in embryonic stem cells upon leukemia inhibitory factor (LIF) signaling (By similarity). Involved in the long non-coding RNA H19-mediated Pol II transcriptional repression (PubMed:23811339). Participates in the circadian regulation of the core clock component BMAL1 transcription (By similarity). Plays a role in the regulation of telomere length (PubMed:18082603). Plays a role as a global pre-mRNA alternative splicing modulator by regulating U2 small nuclear ribonucleoprotein (snRNP) biogenesis (PubMed:22325991). Plays a role in mRNA stability (PubMed:17174306, PubMed:17289661, PubMed:19029303). Component of the CRD-mediated complex that promotes MYC mRNA stabilization (PubMed:19029303). Enhances the expression of specific genes, such as tumor necrosis factor TNFA, by regulating mRNA stability, possibly through binding to the 3'-untranslated region (UTR) (PubMed:17174306). Plays a role in mitotic cell cycle regulation (PubMed:21242313, PubMed:25986610). Involved in the formation of stable mitotic spindle microtubules (MTs) attachment to kinetochore, spindle organization and chromosome congression (PubMed:21242313). Phosphorylation at Ser-59 by PLK1 is required for chromosome alignement and segregation and progression through mitosis (PubMed:25986610). Also contributes to the targeting of AURKA to mitotic spindle MTs (PubMed:21242313). Binds to double- and single-stranded DNA and RNA, poly(A), poly(C) and poly(G) oligoribonucleotides (PubMed:1628625, PubMed:8068679, PubMed:8174554, PubMed:9204873, PubMed:9405365). Binds to chromatin-associated RNAs (caRNAs) (PubMed:28622508). Associates with chromatin to scaffold/matrix attachment region (S/MAR) elements in a chromatin-associated RNAs (caRNAs)-dependent manner (PubMed:10671544, PubMed:11003645, PubMed:11909954, PubMed:1324173, PubMed:28622508, PubMed:7509195, PubMed:9204873, PubMed:9405365). Binds to the Xist RNA (PubMed:26244333). Binds the long non-coding H19 RNA (PubMed:23811339). Binds to SMN1/2 pre-mRNAs at G/U-rich regions (PubMed:22325991). Binds to small nuclear RNAs (snRNAs) (PubMed:22325991). Binds to the 3'-UTR of TNFA mRNA (PubMed:17174306). Binds (via RNA-binding RGG-box region) to the long non-coding Xist RNA; this binding is direct and bridges the Xist RNA and the inactive chromosome X (Xi) (By similarity). Also negatively regulates embryonic stem cell differentiation upon LIF signaling (By similarity). Required for embryonic development (By similarity). Binds to brown fat long non-coding RNA 1 (Blnc1); facilitates the recruitment of Blnc1 by ZBTB7B required to drive brown and beige fat development and thermogenesis (By similarity).
Subcellular Location	Nucleus; Nucleus matrix; Chromosome; Nucleus speckle; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Chromosome; Centromere; Kinetochore; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Spindle pole; Midbody; Cytoplasm; Cell surface; Cytoplasmic granule
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	227...231
validnes_region	
nesbase_region	
