UniprotID	Q86WA9
Accession	Q86WA9;B2RCI7;Q86VX1;Q86YX7;Q8IV11;Q8N2I1;Q8NG03
EntryName	S2611_HUMAN
ProteinName	Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11)
GeneName	SLC26A11
Length	606
Function	Sodium-independent anion exchanger mediating bicarbonate, chloride, sulfate and oxalate transport (By similarity). Exhibits sodium-independent sulfate anion transporter activity that may cooperate with SLC26A2 to mediate DIDS-sensitive sulfate uptake into high endothelial venules endothelial cells (HEVEC) (PubMed:12626430). In the kidney, mediates chloride-bicarbonate exchange, facilitating V-ATPase-mediated acid secretion (By similarity). May function as a chloride channel, playing an important role in moderating chloride homeostasis and neuronal activity in the cerebellum (By similarity).
Subcellular Location	Cell membrane; Lysosome membrane; Apical cell membrane; Basolateral cell membrane
Disorder	0.1914,0.2436,0.2715,0.2918,0.3149,0.3740,0.3872,0.3392,0.3117,0.3566,0.3667,0.3774,0.2609,0.1914,0.1251,0.1759,0.1914,0.1881,0.2328,0.1449,0.1449,0.1881,0.1881,0.1162,0.1399,0.0749,0.0341,0.0258,0.0194,0.0146,0.0146,0.0146,0.0101,0.0151,0.0134,0.0223,0.0127,0.0078,0.0091,0.0087,0.0141,0.0076,0.0059,0.0049,0.0065,0.0044,0.0060,0.0062,0.0071,0.0072,0.0105,0.0081,0.0058,0.0093,0.0097,0.0123,0.0080,0.0100,0.0094,0.0080,0.0109,0.0076,0.0105,0.0153,0.0115,0.0136,0.0275,0.0306,0.0248,0.0248,0.0248,0.0130,0.0160,0.0227,0.0100,0.0080,0.0093,0.0096,0.0070,0.0080,0.0064,0.0039,0.0034,0.0028,0.0028,0.0040,0.0036,0.0034,0.0035,0.0038,0.0039,0.0039,0.0054,0.0060,0.0072,0.0097,0.0080,0.0066,0.0090,0.0100,0.0092,0.0101,0.0191,0.0184,0.0171,0.0181,0.0090,0.0089,0.0094,0.0097,0.0111,0.0071,0.0086,0.0064,0.0042,0.0030,0.0030,0.0027,0.0023,0.0023,0.0032,0.0035,0.0032,0.0033,0.0036,0.0044,0.0036,0.0055,0.0044,0.0030,0.0027,0.0023,0.0033,0.0025,0.0023,0.0024,0.0035,0.0026,0.0028,0.0039,0.0028,0.0031,0.0030,0.0031,0.0030,0.0041,0.0031,0.0038,0.0038,0.0042,0.0050,0.0044,0.0046,0.0047,0.0050,0.0070,0.0061,0.0059,0.0095,0.0095,0.0096,0.0181,0.0094,0.0088,0.0143,0.0090,0.0093,0.0198,0.0104,0.0120,0.0160,0.0240,0.0146,0.0113,0.0073,0.0120,0.0087,0.0097,0.0097,0.0099,0.0092,0.0065,0.0064,0.0062,0.0076,0.0085,0.0138,0.0136,0.0090,0.0148,0.0138,0.0109,0.0073,0.0084,0.0151,0.0157,0.0100,0.0107,0.0141,0.0093,0.0064,0.0072,0.0072,0.0055,0.0057,0.0065,0.0045,0.0037,0.0037,0.0050,0.0049,0.0037,0.0046,0.0065,0.0068,0.0068,0.0109,0.0191,0.0209,0.0349,0.0817,0.1476,0.1611,0.2645,0.2470,0.3460,0.3529,0.4541,0.4087,0.3215,0.2002,0.1671,0.2094,0.1914,0.1731,0.2164,0.2224,0.2064,0.1528,0.1229,0.0631,0.0313,0.0313,0.0244,0.0191,0.0269,0.0163,0.0108,0.0093,0.0092,0.0127,0.0117,0.0163,0.0134,0.0134,0.0125,0.0096,0.0097,0.0104,0.0076,0.0074,0.0071,0.0097,0.0097,0.0202,0.0263,0.0263,0.0568,0.0929,0.0676,0.1501,0.1759,0.2193,0.2034,0.1823,0.2002,0.2292,0.2129,0.2034,0.1162,0.2292,0.3460,0.4017,0.4051,0.4017,0.3910,0.2715,0.3087,0.1643,0.1731,0.2849,0.2034,0.1162,0.1823,0.1914,0.2399,0.2064,0.1449,0.2541,0.1702,0.2002,0.1275,0.0765,0.1162,0.0592,0.0433,0.0398,0.0443,0.0253,0.0662,0.0605,0.0263,0.0287,0.0287,0.0218,0.0194,0.0205,0.0109,0.0108,0.0107,0.0174,0.0235,0.0414,0.0341,0.0294,0.0263,0.0398,0.0300,0.0592,0.1092,0.1070,0.0592,0.0631,0.0605,0.0483,0.0618,0.0327,0.0454,0.1070,0.1007,0.0543,0.0506,0.0443,0.0218,0.0244,0.0231,0.0443,0.0209,0.0327,0.0188,0.0191,0.0163,0.0269,0.0223,0.0275,0.0581,0.0618,0.0888,0.0494,0.0494,0.0531,0.1048,0.1028,0.1048,0.1184,0.1229,0.1323,0.1611,0.2164,0.1852,0.2645,0.1611,0.1048,0.1137,0.2193,0.1501,0.0835,0.0473,0.0334,0.0300,0.0263,0.0194,0.0205,0.0119,0.0082,0.0113,0.0163,0.0097,0.0057,0.0047,0.0035,0.0025,0.0037,0.0046,0.0045,0.0040,0.0038,0.0044,0.0049,0.0052,0.0049,0.0036,0.0042,0.0036,0.0038,0.0045,0.0048,0.0037,0.0033,0.0051,0.0073,0.0105,0.0108,0.0062,0.0062,0.0065,0.0055,0.0054,0.0062,0.0056,0.0070,0.0105,0.0111,0.0151,0.0113,0.0105,0.0148,0.0086,0.0088,0.0104,0.0101,0.0062,0.0046,0.0048,0.0054,0.0037,0.0025,0.0037,0.0040,0.0040,0.0037,0.0037,0.0026,0.0026,0.0022,0.0030,0.0035,0.0024,0.0025,0.0033,0.0031,0.0022,0.0028,0.0027,0.0027,0.0036,0.0052,0.0064,0.0052,0.0066,0.0073,0.0115,0.0120,0.0218,0.0235,0.0294,0.0341,0.0443,0.1028,0.1007,0.0543,0.0605,0.0592,0.0799,0.1702,0.2258,0.2258,0.2292,0.1759,0.2129,0.1070,0.1070,0.0734,0.0518,0.0592,0.0817,0.0443,0.0380,0.0443,0.0405,0.0356,0.0372,0.0631,0.1184,0.0948,0.0414,0.0618,0.0372,0.0364,0.0870,0.1070,0.2129,0.1184,0.0851,0.0690,0.0334,0.0473,0.0518,0.0568,0.0494,0.0263,0.0300,0.0543,0.0275,0.0313,0.0218,0.0433,0.0235,0.0240,0.0148,0.0127,0.0076,0.0078,0.0117,0.0117,0.0109,0.0178,0.0178,0.0143,0.0138,0.0136,0.0209,0.0356,0.0227,0.0356,0.0191,0.0275,0.0136,0.0138,0.0209,0.0214,0.0223,0.0244,0.0300,0.0174,0.0184,0.0313,0.0198,0.0117,0.0146,0.0143,0.0125,0.0136,0.0094,0.0130,0.0153,0.0136,0.0165,0.0198,0.0165,0.0163,0.0287,0.0171,0.0294,0.0263,0.0349,0.0690,0.0676,0.1092,0.1048,0.1643,0.1671,0.2129,0.2292,0.3149,0.3286,0.3286,0.4831,0.3872,0.4901,0.5017,0.4979,0.5055,0.6375,0.6089,0.4685,0.4119,0.4087,0.4119,0.4017,0.4149,0.3840,0.2988,0.1942,0.1583,0.1323,0.1048,0.0851,0.0518,0.0780,0.0518,0.0929,0.0719,0.0424,0.0235,0.0157
ExposeBuried	1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
SurfaceAccessbility	0.802,0.465,0.649,0.519,0.250,0.423,0.413,0.225,0.318,0.580,0.485,0.370,0.609,0.494,0.218,0.542,0.677,0.322,0.179,0.345,0.581,0.263,0.095,0.479,0.069,0.364,0.485,0.584,0.312,0.078,0.488,0.590,0.247,0.093,0.292,0.110,0.172,0.441,0.107,0.090,0.314,0.515,0.172,0.510,0.197,0.557,0.284,0.125,0.176,0.292,0.327,0.128,0.150,0.247,0.124,0.103,0.203,0.197,0.091,0.094,0.201,0.259,0.082,0.141,0.277,0.116,0.105,0.093,0.129,0.192,0.186,0.130,0.305,0.637,0.161,0.395,0.279,0.199,0.225,0.204,0.093,0.103,0.210,0.221,0.106,0.087,0.156,0.110,0.086,0.058,0.092,0.077,0.091,0.092,0.169,0.227,0.240,0.327,0.264,0.074,0.179,0.150,0.092,0.169,0.150,0.145,0.083,0.082,0.111,0.124,0.108,0.107,0.314,0.256,0.298,0.441,0.330,0.476,0.477,0.408,0.172,0.169,0.243,0.095,0.108,0.106,0.164,0.090,0.106,0.199,0.133,0.099,0.148,0.200,0.129,0.132,0.171,0.217,0.171,0.129,0.304,0.170,0.179,0.155,0.097,0.168,0.290,0.171,0.111,0.270,0.466,0.300,0.126,0.125,0.433,0.160,0.125,0.229,0.253,0.144,0.157,0.143,0.113,0.269,0.109,0.082,0.143,0.272,0.194,0.064,0.376,0.247,0.077,0.127,0.365,0.133,0.494,0.426,0.394,0.461,0.243,0.341,0.131,0.060,0.209,0.214,0.062,0.081,0.278,0.101,0.045,0.339,0.510,0.080,0.485,0.696,0.259,0.407,0.094,0.175,0.322,0.091,0.087,0.146,0.149,0.145,0.127,0.095,0.113,0.116,0.073,0.086,0.140,0.066,0.117,0.430,0.272,0.067,0.399,0.667,0.448,0.061,0.561,0.724,0.297,0.472,0.288,0.655,0.153,0.374,0.392,0.657,0.308,0.428,0.270,0.432,0.313,0.324,0.230,0.421,0.270,0.246,0.214,0.478,0.410,0.262,0.462,0.498,0.230,0.172,0.239,0.234,0.177,0.153,0.261,0.334,0.246,0.271,0.495,0.284,0.481,0.153,0.584,0.172,0.517,0.466,0.508,0.209,0.475,0.284,0.386,0.213,0.335,0.436,0.619,0.319,0.549,0.634,0.491,0.127,0.381,0.300,0.452,0.582,0.266,0.294,0.633,0.230,0.540,0.344,0.498,0.481,0.428,0.528,0.402,0.480,0.505,0.401,0.148,0.408,0.556,0.222,0.124,0.433,0.487,0.213,0.241,0.190,0.300,0.195,0.179,0.179,0.117,0.225,0.169,0.165,0.203,0.188,0.181,0.177,0.172,0.138,0.204,0.148,0.124,0.430,0.270,0.122,0.185,0.571,0.514,0.327,0.702,0.166,0.534,0.128,0.587,0.450,0.336,0.351,0.381,0.073,0.075,0.114,0.121,0.070,0.061,0.114,0.221,0.134,0.090,0.204,0.238,0.118,0.140,0.382,0.109,0.107,0.279,0.218,0.203,0.180,0.273,0.156,0.129,0.369,0.327,0.135,0.167,0.503,0.573,0.536,0.503,0.399,0.244,0.424,0.352,0.280,0.064,0.140,0.137,0.055,0.065,0.140,0.087,0.099,0.128,0.103,0.078,0.137,0.142,0.094,0.168,0.246,0.127,0.123,0.374,0.140,0.113,0.296,0.341,0.076,0.199,0.394,0.115,0.055,0.061,0.125,0.073,0.079,0.082,0.099,0.166,0.288,0.104,0.349,0.393,0.161,0.201,0.522,0.287,0.621,0.409,0.118,0.396,0.503,0.162,0.095,0.515,0.478,0.491,0.506,0.211,0.416,0.116,0.140,0.141,0.121,0.061,0.178,0.185,0.100,0.138,0.186,0.081,0.103,0.183,0.237,0.167,0.399,0.188,0.158,0.145,0.099,0.120,0.126,0.117,0.077,0.091,0.134,0.067,0.075,0.092,0.067,0.069,0.221,0.385,0.233,0.552,0.388,0.419,0.611,0.281,0.528,0.139,0.536,0.702,0.339,0.239,0.152,0.116,0.108,0.065,0.279,0.246,0.361,0.534,0.531,0.192,0.505,0.187,0.434,0.216,0.195,0.505,0.310,0.105,0.263,0.584,0.481,0.067,0.137,0.516,0.394,0.153,0.212,0.663,0.219,0.492,0.405,0.435,0.322,0.057,0.090,0.104,0.083,0.407,0.056,0.323,0.257,0.211,0.074,0.388,0.114,0.407,0.147,0.267,0.118,0.097,0.128,0.200,0.115,0.222,0.529,0.102,0.092,0.522,0.407,0.074,0.472,0.630,0.492,0.350,0.103,0.150,0.099,0.122,0.104,0.120,0.207,0.124,0.336,0.123,0.230,0.102,0.082,0.284,0.121,0.100,0.128,0.403,0.276,0.519,0.125,0.578,0.407,0.165,0.514,0.241,0.146,0.451,0.304,0.132,0.601,0.568,0.078,0.471,0.603,0.318,0.087,0.525,0.675,0.509,0.550,0.677,0.406,0.541,0.393,0.230,0.502,0.115,0.431,0.578,0.576,0.453,0.199,0.215,0.511,0.493,0.414,0.198,0.430,0.353,0.347,0.653,0.859
