UniprotID	Q5VZ89-7
Accession	Q5VZ89;A2A3R1;A2A3R2;A2A3R3;A2A3R9;Q6AI48;Q6ZUB3;Q8NCY7;Q9H6N4;Q9NUT1;Q9NWA5;Q9NWT3;R4GN35;R4GNB2
EntryName	DEN4C_HUMAN
ProteinName	DENN domain-containing protein 4C
GeneName	DENND4C C9orf55 C9orf55B
Length	1958
Function	Guanine nucleotide exchange factor (GEF) activating RAB10. Promotes the exchange of GDP to GTP, converting inactive GDP-bound RAB10 into its active GTP-bound form. Thereby, stimulates SLC2A4/GLUT4 glucose transporter-enriched vesicles delivery to the plasma membrane in response to insulin.
Subcellular Location	Cytoplasmic vesicle membrane; Cell membrane; Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
