UniprotID	P21675-22
Accession	P21675;A5CVC8;A5CVC9;A5CVD0;A5CVD1;B1Q2X3;Q59FZ3;Q6IUZ1;Q70Q86;Q70Q87;Q70T00;Q70T01;Q70T02;Q70T03
EntryName	TAF1_HUMAN
ProteinName	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)
GeneName	TAF1 BA2R CCG1 CCGS TAF2A
Length	1858
Function	The TFIID basal transcription factor complex plays a major role in the initiation of RNA polymerase II (Pol II)-dependent transcription (PubMed:33795473). TFIID recognizes and binds promoters with or without a TATA box via its subunit TBP, a TATA-box-binding protein, and promotes assembly of the pre-initiation complex (PIC) (PubMed:33795473). The TFIID complex consists of TBP and TBP-associated factors (TAFs), including TAF1, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TAF10, TAF11, TAF12 and TAF13 (PubMed:33795473). TAF1 is the largest component and core scaffold of the TFIID complex, involved in nucleating complex assembly (PubMed:25412659, PubMed:27007846, PubMed:33795473). TAF1 forms a promoter DNA binding subcomplex of TFIID, together with TAF7 and TAF2 (PubMed:33795473). Contains novel N- and C-terminal Ser/Thr kinase domains which can autophosphorylate or transphosphorylate other transcription factors (PubMed:25412659, PubMed:8625415). Phosphorylates TP53 on 'Thr-55' which leads to MDM2-mediated degradation of TP53 (PubMed:25412659). Phosphorylates GTF2A1 and GTF2F1 on Ser residues (PubMed:25412659). Possesses DNA-binding activity (PubMed:25412659). Essential for progression of the G1 phase of the cell cycle (PubMed:11278496, PubMed:15053879, PubMed:2038334, PubMed:8450888, PubMed:8625415, PubMed:9660973, PubMed:9858607). Exhibits histone acetyltransferase activity towards histones H3 and H4 (PubMed:15870300).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	1372..1379
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	1374...1379;282...287;1372...1377;1372...1379
validnes_region	
nesbase_region	
