UniprotID	Q12873-2
Accession	Q12873;D3DTQ9;E9PG89;Q9Y4I0
EntryName	CHD3_HUMAN
ProteinName	Chromodomain-helicase-DNA-binding protein 3 (CHD-3) (EC 3.6.4.12) (ATP-dependent helicase CHD3) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase) (hZFH)
GeneName	CHD3
Length	1966
Function	ATP-dependent helicase that binds and distorts nucleosomal DNA (PubMed:28977666). Acts as a component of the histone deacetylase NuRD complex which participates in the remodeling of chromatin (PubMed:16428440, PubMed:28977666, PubMed:30397230, PubMed:9804427). Involved in transcriptional repression as part of the NuRD complex (PubMed:27068747). Required for anchoring centrosomal pericentrin in both interphase and mitosis, for spindle organization and centrosome integrity (PubMed:17626165).
Subcellular Location	Nucleus; PML body; Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	98...103;353...358;100...105;51...56;49...54;606...611;603...608;285...290;50...55;115...120;698...703
validnes_region	
nesbase_region	
