UniprotID	Q9UBP0
Accession	Q9UBP0;A7E2A7;Q9UPR9
EntryName	SPAST_HUMAN
ProteinName	Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)
GeneName	SPAST ADPSP FSP2 KIAA1083 SPG4
Length	616
Function	ATP-dependent microtubule severing protein that specifically recognizes and cuts microtubules that are polyglutamylated (PubMed:11809724, PubMed:15716377, PubMed:16219033, PubMed:17389232, PubMed:20530212, PubMed:22637577, PubMed:26875866). Preferentially recognizes and acts on microtubules decorated with short polyglutamate tails: severing activity increases as the number of glutamates per tubulin rises from one to eight, but decreases beyond this glutamylation threshold (PubMed:26875866). Severing activity is not dependent on tubulin acetylation or detyrosination (PubMed:26875866). Microtubule severing promotes reorganization of cellular microtubule arrays and the release of microtubules from the centrosome following nucleation. It is critical for the biogenesis and maintenance of complex microtubule arrays in axons, spindles and cilia. SPAST is involved in abscission step of cytokinesis and nuclear envelope reassembly during anaphase in cooperation with the ESCRT-III complex (PubMed:19000169, PubMed:21310966, PubMed:26040712). Recruited at the midbody, probably by IST1, and participates in membrane fission during abscission together with the ESCRT-III complex (PubMed:21310966). Recruited to the nuclear membrane by IST1 and mediates microtubule severing, promoting nuclear envelope sealing and mitotic spindle disassembly during late anaphase (PubMed:26040712). Required for membrane traffic from the endoplasmic reticulum (ER) to the Golgi and endosome recycling (PubMed:23897888). Recruited by IST1 to endosomes and regulates early endosomal tubulation and recycling by mediating microtubule severing (PubMed:23897888). Probably plays a role in axon growth and the formation of axonal branches (PubMed:15716377).
Subcellular Location	Membrane; Endoplasmic reticulum; Midbody; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Cytoplasm; Perinuclear region; Nucleus; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cell projection; Axon; Endoplasmic reticulum membrane; Nucleus membrane; Lipid droplet; Cytoplasm; Cytoskeleton; Endosome; Cytoplasm; Endosome; Nucleus membrane; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	0.9013,0.9039,0.8966,0.8991,0.9013,0.8713,0.8681,0.8792,0.8942,0.8343,0.8565,0.9039,0.9013,0.9168,0.9190,0.9269,0.9362,0.8713,0.7951,0.7505,0.7672,0.7163,0.7369,0.7629,0.7209,0.6755,0.7163,0.7459,0.6906,0.6948,0.7951,0.7982,0.7916,0.7755,0.7799,0.7629,0.7369,0.7209,0.8343,0.8343,0.7595,0.6043,0.5139,0.4901,0.3667,0.4186,0.3774,0.2752,0.1942,0.2258,0.1229,0.0929,0.0506,0.0287,0.0300,0.0174,0.0120,0.0107,0.0073,0.0073,0.0073,0.0104,0.0117,0.0136,0.0092,0.0105,0.0071,0.0071,0.0075,0.0097,0.0097,0.0099,0.0108,0.0160,0.0205,0.0138,0.0168,0.0202,0.0202,0.0372,0.0356,0.0568,0.0555,0.0870,0.1137,0.1643,0.2436,0.3019,0.3983,0.4582,0.4409,0.4087,0.5098,0.4801,0.5017,0.5017,0.6227,0.5807,0.6531,0.6948,0.6948,0.7080,0.6712,0.6906,0.6948,0.6375,0.6806,0.5577,0.4685,0.4476,0.4766,0.4901,0.4864,0.3774,0.4186,0.2988,0.2364,0.2094,0.1914,0.1449,0.0929,0.0929,0.0483,0.0631,0.0631,0.0662,0.1070,0.1048,0.1275,0.2193,0.2224,0.2224,0.2224,0.2609,0.3356,0.2575,0.3631,0.3494,0.2645,0.3494,0.3774,0.4582,0.3667,0.4685,0.4652,0.3740,0.3704,0.3599,0.3599,0.3087,0.2817,0.2094,0.1424,0.0948,0.0929,0.1115,0.1671,0.1583,0.2645,0.3667,0.2884,0.3019,0.3053,0.3667,0.3631,0.3566,0.3704,0.3667,0.3460,0.3460,0.4051,0.4087,0.4766,0.5854,0.5854,0.5139,0.4864,0.4582,0.4582,0.4582,0.4541,0.4766,0.4766,0.4119,0.3774,0.3840,0.3807,0.4256,0.4256,0.4831,0.4330,0.3983,0.4541,0.3631,0.3529,0.4149,0.4725,0.5055,0.5342,0.5419,0.4766,0.3910,0.4652,0.4619,0.5254,0.5992,0.5992,0.5296,0.5342,0.4441,0.4186,0.4831,0.5493,0.5342,0.5665,0.5807,0.5807,0.5901,0.5807,0.5758,0.5456,0.5493,0.6948,0.6755,0.6806,0.6806,0.6851,0.7080,0.7120,0.7331,0.8343,0.8279,0.8125,0.8279,0.8085,0.8050,0.8279,0.8375,0.8313,0.8313,0.8313,0.8013,0.8279,0.7951,0.7951,0.7881,0.7881,0.7547,0.7163,0.7120,0.7120,0.6906,0.7120,0.7289,0.7289,0.7036,0.8085,0.7755,0.6661,0.6661,0.6661,0.5854,0.6531,0.6482,0.5758,0.5758,0.5807,0.5176,0.5456,0.5620,0.6427,0.6427,0.6427,0.6661,0.6136,0.6427,0.6712,0.6269,0.6482,0.7505,0.7505,0.7505,0.8530,0.8530,0.8741,0.9168,0.9249,0.9249,0.9562,0.9562,0.9634,0.9634,0.9634,0.9717,0.9634,0.9703,0.9503,0.9503,0.9547,0.9488,0.9488,0.9488,0.9503,0.8966,0.8966,0.9039,0.8125,0.8125,0.8235,0.7547,0.7595,0.7163,0.7369,0.6531,0.5758,0.5951,0.5176,0.4582,0.4292,0.4330,0.4441,0.3667,0.3117,0.3117,0.3840,0.3840,0.3740,0.4409,0.3704,0.3566,0.3087,0.3117,0.3182,0.2224,0.2575,0.2817,0.2817,0.3494,0.3529,0.3494,0.3321,0.3321,0.3840,0.3667,0.3740,0.3740,0.2918,0.2328,0.1852,0.1731,0.2002,0.2951,0.2164,0.2129,0.3249,0.3667,0.2951,0.1881,0.1852,0.2541,0.2094,0.2129,0.1759,0.2328,0.2752,0.2645,0.2503,0.2575,0.2436,0.2541,0.2224,0.1942,0.2292,0.3321,0.3249,0.3087,0.2951,0.3631,0.4685,0.4369,0.3599,0.4051,0.3983,0.3983,0.3019,0.3019,0.2715,0.2849,0.3529,0.4369,0.4801,0.6043,0.4766,0.3321,0.3117,0.2193,0.2034,0.1759,0.1528,0.1449,0.1048,0.1643,0.1852,0.1852,0.1373,0.1298,0.1501,0.1881,0.1731,0.1914,0.1731,0.1298,0.0799,0.1424,0.2064,0.1251,0.1115,0.0948,0.0734,0.0734,0.0734,0.1323,0.0765,0.0799,0.1028,0.1611,0.1424,0.0817,0.0372,0.0209,0.0202,0.0227,0.0248,0.0414,0.0424,0.0306,0.0313,0.0405,0.0543,0.0851,0.1007,0.1137,0.1028,0.1759,0.1759,0.1528,0.1298,0.2064,0.2988,0.4087,0.4220,0.4087,0.4017,0.4901,0.3667,0.2918,0.2817,0.3774,0.3426,0.3356,0.3392,0.2752,0.2680,0.2680,0.2224,0.2164,0.2164,0.2609,0.2609,0.2002,0.1373,0.1528,0.1349,0.1275,0.1007,0.1852,0.2752,0.3631,0.3840,0.5017,0.5055,0.4220,0.5017,0.5017,0.4725,0.4369,0.3599,0.3460,0.3321,0.2292,0.2094,0.2817,0.3392,0.3019,0.2224,0.1914,0.1823,0.1137,0.1373,0.1229,0.1251,0.1229,0.1914,0.1791,0.1115,0.0851,0.0799,0.0799,0.0780,0.0870,0.1028,0.1070,0.0749,0.0749,0.1162,0.1759,0.2364,0.2715,0.2752,0.2470,0.2399,0.2258,0.2258,0.1554,0.1399,0.2129,0.2094,0.2609,0.3321,0.3117,0.3053,0.3910,0.4725,0.4619,0.4652,0.4582,0.4541,0.4652,0.3566,0.4369,0.4087,0.3286,0.3087,0.2951,0.3740,0.3740,0.3392,0.3426,0.3704,0.4119,0.3460,0.3392,0.3460,0.2680,0.3426,0.3774,0.3872,0.3983,0.3321,0.4017,0.4087,0.4087,0.4801,0.4801,0.4831,0.4831,0.4831,0.5098,0.6227,0.5139,0.4725,0.4864,0.4864,0.4831,0.4582,0.4685,0.4409,0.4256,0.3426,0.4017,0.3983,0.2988,0.3215,0.3182,0.3426,0.2817,0.2715,0.3286,0.3392,0.3249,0.3392,0.3494,0.3983,0.3182,0.2328,0.3321,0.2292,0.2328,0.2328,0.3117,0.2193,0.2224,0.3149,0.3215,0.3215,0.2680,0.3087,0.2884,0.2224,0.1852,0.1501,0.2034,0.1554,0.1501,0.2258,0.3321
ExposeBuried	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
SurfaceAccessbility	0.845,0.736,0.510,0.543,0.512,0.347,0.523,0.379,0.526,0.566,0.573,0.422,0.596,0.469,0.381,0.440,0.655,0.509,0.470,0.306,0.365,0.510,0.547,0.444,0.446,0.363,0.414,0.141,0.181,0.288,0.449,0.361,0.351,0.411,0.468,0.491,0.407,0.491,0.449,0.422,0.336,0.428,0.722,0.428,0.425,0.386,0.486,0.347,0.268,0.071,0.100,0.104,0.060,0.165,0.086,0.111,0.087,0.077,0.053,0.057,0.076,0.080,0.059,0.057,0.141,0.058,0.049,0.083,0.101,0.141,0.082,0.094,0.064,0.061,0.053,0.062,0.074,0.046,0.030,0.234,0.215,0.052,0.158,0.347,0.107,0.082,0.214,0.211,0.178,0.432,0.484,0.566,0.582,0.515,0.397,0.367,0.420,0.314,0.387,0.413,0.549,0.397,0.631,0.349,0.480,0.365,0.447,0.166,0.416,0.450,0.367,0.436,0.113,0.523,0.281,0.041,0.293,0.423,0.090,0.108,0.460,0.422,0.049,0.081,0.348,0.157,0.056,0.319,0.339,0.169,0.119,0.464,0.186,0.523,0.498,0.343,0.430,0.414,0.240,0.375,0.502,0.358,0.644,0.471,0.079,0.250,0.454,0.161,0.073,0.454,0.434,0.054,0.069,0.522,0.311,0.051,0.422,0.563,0.300,0.054,0.343,0.116,0.414,0.185,0.415,0.336,0.359,0.527,0.614,0.416,0.092,0.574,0.477,0.087,0.424,0.536,0.131,0.192,0.577,0.556,0.083,0.322,0.564,0.368,0.084,0.580,0.514,0.064,0.390,0.569,0.240,0.091,0.588,0.325,0.086,0.583,0.615,0.138,0.497,0.459,0.444,0.241,0.323,0.277,0.482,0.420,0.320,0.430,0.516,0.541,0.346,0.248,0.548,0.586,0.380,0.525,0.500,0.170,0.545,0.503,0.409,0.558,0.429,0.718,0.185,0.362,0.395,0.578,0.620,0.581,0.335,0.199,0.518,0.620,0.257,0.593,0.435,0.402,0.329,0.542,0.459,0.528,0.592,0.527,0.484,0.252,0.329,0.440,0.379,0.542,0.564,0.232,0.427,0.631,0.490,0.397,0.364,0.559,0.299,0.550,0.514,0.451,0.495,0.464,0.476,0.497,0.347,0.512,0.350,0.567,0.527,0.264,0.545,0.340,0.452,0.431,0.279,0.289,0.526,0.473,0.336,0.500,0.449,0.297,0.498,0.401,0.477,0.413,0.480,0.501,0.538,0.469,0.649,0.458,0.456,0.661,0.443,0.614,0.533,0.572,0.378,0.651,0.590,0.570,0.527,0.359,0.276,0.529,0.568,0.519,0.479,0.476,0.450,0.205,0.552,0.488,0.202,0.471,0.557,0.123,0.417,0.605,0.437,0.124,0.379,0.555,0.219,0.122,0.324,0.404,0.431,0.315,0.197,0.619,0.693,0.452,0.482,0.702,0.091,0.481,0.111,0.615,0.546,0.165,0.320,0.384,0.172,0.557,0.526,0.054,0.168,0.546,0.338,0.022,0.327,0.549,0.150,0.067,0.341,0.214,0.226,0.202,0.403,0.302,0.253,0.672,0.262,0.111,0.609,0.733,0.303,0.513,0.300,0.347,0.163,0.302,0.057,0.022,0.017,0.021,0.040,0.036,0.063,0.193,0.221,0.097,0.052,0.144,0.161,0.098,0.037,0.024,0.243,0.071,0.037,0.033,0.536,0.457,0.156,0.642,0.144,0.446,0.098,0.101,0.340,0.073,0.409,0.225,0.449,0.526,0.098,0.158,0.501,0.448,0.186,0.306,0.488,0.537,0.324,0.314,0.528,0.216,0.029,0.282,0.459,0.059,0.039,0.494,0.331,0.034,0.426,0.445,0.473,0.459,0.330,0.087,0.045,0.032,0.037,0.036,0.152,0.145,0.047,0.246,0.381,0.150,0.133,0.465,0.500,0.362,0.428,0.620,0.617,0.564,0.499,0.430,0.381,0.335,0.361,0.335,0.073,0.108,0.271,0.320,0.046,0.080,0.335,0.260,0.135,0.414,0.359,0.176,0.460,0.451,0.454,0.613,0.551,0.259,0.206,0.029,0.025,0.021,0.024,0.031,0.039,0.087,0.200,0.273,0.151,0.434,0.439,0.067,0.325,0.476,0.171,0.063,0.212,0.395,0.187,0.057,0.360,0.396,0.340,0.172,0.392,0.131,0.529,0.231,0.161,0.588,0.556,0.554,0.187,0.126,0.261,0.392,0.059,0.035,0.377,0.302,0.112,0.097,0.450,0.600,0.553,0.538,0.449,0.409,0.320,0.551,0.619,0.312,0.394,0.079,0.523,0.418,0.057,0.087,0.585,0.404,0.073,0.682,0.570,0.086,0.293,0.200,0.379,0.239,0.022,0.249,0.442,0.060,0.020,0.347,0.439,0.070,0.108,0.161,0.274,0.072,0.140,0.377,0.551,0.377,0.258,0.524,0.574,0.253,0.279,0.634,0.478,0.329,0.356,0.604,0.508,0.575,0.278,0.486,0.444,0.127,0.237,0.275,0.501,0.242,0.028,0.231,0.476,0.051,0.052,0.550,0.558,0.135,0.377,0.583,0.485,0.186,0.518,0.681,0.651,0.235,0.338,0.566,0.278,0.099,0.510,0.537,0.068,0.264,0.619,0.509,0.211,0.432,0.310,0.537,0.620,0.619
