UniprotID	Q9UGN5
Accession	Q9UGN5;Q8TEU4;Q9NUV2;Q9UMR4;Q9Y6C8
EntryName	PARP2_HUMAN
ProteinName	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)
GeneName	PARP2 ADPRT2 ADPRTL2
Length	583
Function	Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair (PubMed:10364231, PubMed:25043379, PubMed:27471034, PubMed:30104678, PubMed:32028527, PubMed:32939087, PubMed:34108479, PubMed:34486521, PubMed:34874266). Mediates glutamate, aspartate or serine ADP-ribosylation of proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of target residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units (PubMed:25043379, PubMed:30104678, PubMed:30321391). Serine ADP-ribosylation of proteins constitutes the primary form of ADP-ribosylation of proteins in response to DNA damage (PubMed:32939087). Mediates glutamate and aspartate ADP-ribosylation of target proteins in absence of HPF1 (PubMed:25043379). Following interaction with HPF1, catalyzes serine ADP-ribosylation of target proteins; HPF1 conferring serine specificity by completing the PARP2 active site (PubMed:28190768, PubMed:32028527, PubMed:34108479, PubMed:34486521, PubMed:34874266). PARP2 initiates the repair of double-strand DNA breaks: recognizes and binds DNA breaks within chromatin and recruits HPF1, licensing serine ADP-ribosylation of target proteins, such as histones, thereby promoting decompaction of chromatin and the recruitment of repair factors leading to the reparation of DNA strand breaks (PubMed:10364231, PubMed:32939087, PubMed:34108479). HPF1 initiates serine ADP-ribosylation but restricts the polymerase activity of PARP2 in order to limit the length of poly-ADP-ribose chains (PubMed:34732825, PubMed:34795260). Specifically mediates formation of branched poly-ADP-ribosylation (PubMed:30104678). Branched poly-ADP-ribose chains are specifically recognized by some factors, such as APLF (PubMed:30104678). In addition to proteins, also able to ADP-ribosylate DNA: preferentially acts on 5'-terminal phosphates at DNA strand breaks termini in nicked duplex (PubMed:27471034, PubMed:29361132).
Subcellular Location	Nucleus; Chromosome
Disorder	0.8942,0.8920,0.8966,0.8828,0.8872,0.8741,0.8198,0.8343,0.8343,0.8375,0.8421,0.8493,0.8198,0.8421,0.8421,0.8313,0.8313,0.8235,0.8050,0.8343,0.8343,0.8375,0.8375,0.8313,0.8713,0.8493,0.8623,0.8942,0.8894,0.8942,0.8966,0.8162,0.8235,0.8623,0.8655,0.8596,0.8596,0.8493,0.8493,0.8421,0.8421,0.7982,0.7755,0.7718,0.7718,0.7369,0.7369,0.7459,0.7505,0.7505,0.7505,0.7459,0.8421,0.8343,0.8313,0.8279,0.8279,0.8235,0.8013,0.8313,0.8493,0.8235,0.8655,0.8013,0.7843,0.7843,0.7843,0.8085,0.7459,0.7415,0.7369,0.7289,0.6661,0.6661,0.6375,0.5533,0.4801,0.4186,0.4220,0.4441,0.4149,0.4017,0.4256,0.3807,0.4619,0.5139,0.5139,0.4220,0.4186,0.4476,0.4476,0.4017,0.4017,0.4507,0.4292,0.4619,0.4725,0.4507,0.4220,0.4220,0.4220,0.4330,0.4541,0.3774,0.3460,0.3494,0.2783,0.2541,0.2817,0.2918,0.3182,0.3182,0.3740,0.3182,0.3249,0.2609,0.2609,0.3149,0.4051,0.4864,0.4051,0.3356,0.2715,0.2064,0.2575,0.2783,0.2164,0.2645,0.2918,0.3494,0.3215,0.3182,0.3182,0.3182,0.2849,0.2715,0.3053,0.2094,0.1759,0.1671,0.1092,0.1611,0.2258,0.2258,0.2849,0.2715,0.2988,0.3529,0.3566,0.3566,0.3494,0.3053,0.2436,0.2224,0.1449,0.2224,0.2224,0.2849,0.3019,0.3392,0.3321,0.3948,0.3910,0.4017,0.3774,0.2817,0.2918,0.3149,0.3117,0.2094,0.1476,0.1554,0.2094,0.2609,0.2783,0.3704,0.3807,0.2951,0.2918,0.3667,0.3566,0.3704,0.3910,0.2988,0.2988,0.3740,0.4119,0.4369,0.4369,0.4409,0.4507,0.5296,0.4831,0.4149,0.4220,0.3872,0.3840,0.2884,0.3494,0.3426,0.3460,0.3460,0.3426,0.3529,0.4619,0.4582,0.4725,0.5382,0.5017,0.5017,0.5176,0.6375,0.6269,0.5758,0.6661,0.6576,0.7415,0.6427,0.7459,0.8085,0.8162,0.8013,0.8085,0.7209,0.7209,0.6136,0.5992,0.5176,0.5254,0.5419,0.4652,0.3807,0.3667,0.2988,0.2951,0.2193,0.2328,0.1528,0.2224,0.2034,0.1554,0.1554,0.1643,0.1399,0.1759,0.1501,0.2224,0.1969,0.2470,0.1643,0.1671,0.2328,0.2988,0.2988,0.3460,0.4507,0.4619,0.4476,0.5055,0.4256,0.4541,0.4220,0.3872,0.3872,0.3356,0.3529,0.3566,0.3460,0.2918,0.3053,0.3872,0.3087,0.2988,0.2988,0.2292,0.2645,0.2470,0.2328,0.1611,0.1671,0.2064,0.2034,0.2680,0.2988,0.2884,0.3667,0.3460,0.3019,0.2715,0.3667,0.3321,0.2470,0.3286,0.3529,0.2609,0.2541,0.2470,0.2328,0.2364,0.3426,0.3494,0.3872,0.2884,0.2817,0.2034,0.2034,0.2064,0.2575,0.3566,0.3149,0.2193,0.2436,0.3286,0.3249,0.3053,0.4186,0.4220,0.4186,0.4369,0.5176,0.3983,0.4017,0.3117,0.3321,0.3460,0.3910,0.3117,0.3087,0.2884,0.1759,0.2609,0.2575,0.2328,0.1528,0.1449,0.0948,0.0592,0.0948,0.0967,0.0967,0.0618,0.1115,0.1048,0.1852,0.2752,0.2645,0.3182,0.3149,0.3249,0.3249,0.4149,0.3117,0.3948,0.4369,0.4369,0.4409,0.4409,0.4766,0.3948,0.3872,0.4017,0.3948,0.3910,0.3948,0.3807,0.3631,0.2680,0.2575,0.2224,0.2129,0.1501,0.0929,0.1501,0.1611,0.0909,0.0909,0.0985,0.1501,0.1759,0.2503,0.2224,0.2224,0.3087,0.2988,0.2951,0.2849,0.1969,0.2951,0.2364,0.3529,0.2752,0.2575,0.3494,0.2715,0.1528,0.2541,0.2715,0.2752,0.2752,0.2817,0.2817,0.3286,0.2988,0.3117,0.2849,0.1823,0.1759,0.2817,0.2849,0.2470,0.2436,0.3392,0.4186,0.3740,0.3774,0.4119,0.2817,0.3494,0.3286,0.3286,0.3182,0.2817,0.2575,0.2752,0.1528,0.1275,0.2164,0.1424,0.0835,0.0765,0.1251,0.1229,0.0734,0.0749,0.0555,0.0749,0.1399,0.2680,0.2849,0.2575,0.2918,0.2064,0.2503,0.2541,0.1583,0.2258,0.1823,0.1791,0.2609,0.3321,0.2503,0.1643,0.0888,0.1162,0.1206,0.1501,0.1702,0.1424,0.1206,0.1070,0.1028,0.0929,0.0909,0.0531,0.0263,0.0372,0.0473,0.0967,0.0592,0.0592,0.0646,0.1137,0.1791,0.2064,0.1643,0.1007,0.0817,0.0817,0.0929,0.0646,0.0531,0.0389,0.0349,0.0676,0.0690,0.1424,0.1852,0.1229,0.0734,0.1298,0.1092,0.1070,0.1229,0.1251,0.1583,0.2470,0.3215,0.3182,0.2436,0.2364,0.2988,0.3286,0.4087,0.4087,0.4017,0.4831,0.4652,0.3599,0.4409,0.5296,0.4582,0.4541,0.4685,0.4369,0.4292,0.4256,0.4087,0.3019,0.3149,0.3983,0.3019,0.3182,0.3117,0.3087,0.3182,0.2436,0.2715,0.1914,0.2680,0.2988,0.2609,0.3053,0.3529,0.3321,0.3321,0.2470,0.2064,0.2164,0.3566,0.4330,0.4220,0.4119,0.4017,0.3215,0.3426,0.2399,0.3215,0.3117,0.3053,0.2164,0.1373,0.1007,0.1115,0.1229,0.1275,0.1373,0.1583,0.2328,0.1823,0.1611,0.0929,0.0592,0.0662,0.0631,0.0704,0.0690,0.0618,0.0631,0.0281,0.0306,0.0592,0.0543,0.0483,0.0341,0.0218,0.0151,0.0108,0.0117,0.0088,0.0084,0.0061,0.0072,0.0083
ExposeBuried	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1
SurfaceAccessbility	0.775,0.554,0.495,0.525,0.469,0.424,0.450,0.496,0.428,0.446,0.388,0.335,0.385,0.250,0.413,0.254,0.210,0.478,0.535,0.424,0.480,0.431,0.195,0.544,0.603,0.481,0.560,0.363,0.290,0.351,0.631,0.559,0.510,0.533,0.376,0.343,0.552,0.396,0.261,0.464,0.444,0.094,0.474,0.502,0.502,0.603,0.489,0.593,0.612,0.214,0.387,0.225,0.424,0.413,0.448,0.679,0.488,0.503,0.578,0.484,0.480,0.565,0.537,0.288,0.477,0.661,0.630,0.572,0.215,0.544,0.485,0.455,0.427,0.269,0.337,0.293,0.509,0.495,0.247,0.354,0.618,0.296,0.192,0.463,0.498,0.086,0.333,0.221,0.622,0.593,0.598,0.178,0.542,0.199,0.364,0.461,0.737,0.134,0.455,0.188,0.648,0.448,0.427,0.555,0.237,0.292,0.100,0.173,0.296,0.567,0.538,0.516,0.630,0.295,0.126,0.398,0.091,0.236,0.108,0.426,0.297,0.276,0.347,0.160,0.382,0.462,0.518,0.589,0.439,0.309,0.129,0.098,0.115,0.041,0.203,0.063,0.104,0.430,0.452,0.481,0.506,0.602,0.349,0.205,0.071,0.105,0.030,0.051,0.181,0.250,0.124,0.254,0.368,0.181,0.228,0.529,0.207,0.267,0.492,0.456,0.454,0.347,0.117,0.557,0.450,0.213,0.481,0.530,0.245,0.669,0.492,0.049,0.315,0.623,0.245,0.034,0.291,0.545,0.206,0.055,0.479,0.594,0.313,0.411,0.646,0.542,0.340,0.151,0.443,0.344,0.320,0.569,0.364,0.079,0.371,0.603,0.223,0.454,0.557,0.472,0.211,0.344,0.239,0.158,0.431,0.160,0.483,0.330,0.393,0.513,0.633,0.236,0.592,0.565,0.468,0.424,0.504,0.525,0.448,0.218,0.399,0.521,0.279,0.188,0.534,0.449,0.547,0.239,0.418,0.450,0.531,0.496,0.548,0.086,0.522,0.618,0.460,0.046,0.423,0.553,0.048,0.040,0.467,0.158,0.043,0.119,0.290,0.155,0.419,0.214,0.087,0.378,0.434,0.091,0.106,0.189,0.363,0.163,0.462,0.254,0.527,0.268,0.579,0.533,0.212,0.295,0.190,0.394,0.470,0.160,0.273,0.365,0.563,0.304,0.060,0.453,0.421,0.052,0.212,0.507,0.062,0.056,0.447,0.325,0.028,0.418,0.568,0.085,0.087,0.640,0.606,0.341,0.627,0.495,0.220,0.627,0.331,0.042,0.314,0.563,0.068,0.066,0.458,0.402,0.054,0.137,0.383,0.200,0.049,0.227,0.385,0.530,0.223,0.487,0.359,0.641,0.494,0.261,0.269,0.431,0.350,0.419,0.425,0.443,0.696,0.305,0.088,0.497,0.483,0.170,0.168,0.539,0.071,0.035,0.433,0.155,0.053,0.236,0.283,0.052,0.369,0.140,0.051,0.148,0.430,0.125,0.124,0.464,0.557,0.370,0.455,0.696,0.326,0.433,0.614,0.400,0.379,0.329,0.436,0.481,0.383,0.130,0.551,0.496,0.089,0.527,0.185,0.587,0.079,0.517,0.356,0.153,0.471,0.617,0.686,0.423,0.652,0.345,0.082,0.529,0.370,0.028,0.272,0.614,0.205,0.064,0.480,0.608,0.226,0.377,0.425,0.515,0.426,0.317,0.335,0.607,0.305,0.126,0.280,0.368,0.074,0.189,0.297,0.045,0.163,0.333,0.087,0.397,0.484,0.427,0.392,0.624,0.445,0.555,0.498,0.224,0.351,0.631,0.599,0.266,0.503,0.421,0.340,0.240,0.079,0.040,0.076,0.116,0.102,0.185,0.345,0.167,0.299,0.190,0.070,0.176,0.106,0.043,0.045,0.222,0.380,0.258,0.072,0.488,0.251,0.329,0.310,0.600,0.431,0.235,0.433,0.193,0.271,0.152,0.139,0.131,0.097,0.085,0.261,0.067,0.060,0.105,0.071,0.068,0.359,0.405,0.333,0.335,0.497,0.302,0.310,0.501,0.181,0.134,0.301,0.448,0.472,0.623,0.357,0.352,0.459,0.175,0.157,0.060,0.066,0.027,0.078,0.031,0.241,0.050,0.169,0.093,0.243,0.423,0.274,0.225,0.386,0.101,0.394,0.372,0.566,0.386,0.243,0.423,0.208,0.513,0.555,0.208,0.194,0.438,0.303,0.346,0.397,0.243,0.100,0.391,0.222,0.374,0.390,0.506,0.401,0.349,0.515,0.424,0.378,0.494,0.571,0.348,0.256,0.532,0.258,0.574,0.449,0.469,0.473,0.150,0.395,0.197,0.358,0.599,0.412,0.342,0.537,0.442,0.539,0.308,0.340,0.463,0.264,0.586,0.349,0.448,0.348,0.215,0.383,0.298,0.273,0.186,0.060,0.040,0.041,0.089,0.323,0.283,0.625,0.446,0.101,0.332,0.120,0.298,0.107,0.091,0.070,0.315,0.091,0.326,0.117,0.387,0.167,0.344,0.489,0.251,0.564
