UniprotID	Q9NSA2
Accession	Q9NSA2;A6NEF1;B2RCG0;O75671
EntryName	KCND1_HUMAN
ProteinName	A-type voltage-gated potassium channel KCND1 (Potassium voltage-gated channel subfamily D member 1) (Shal-type potassium channel KCND1) (Voltage-gated potassium channel subunit Kv4.1)
GeneName	KCND1
Length	647
Function	A-type voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes in the brain (PubMed:15454437). Mediates A-type current I(SA) in suprachiasmatic nucleus (SCN) neurons. Exhibits a low-threshold A-type current with a hyperpolarized steady-state inactivation midpoint and the recovery process was steeply voltage-dependent, with recovery being markedly faster at more negative potentials. May regulates repetitive firing rates in the suprachiasmatic nucleus (SCN) neurons and circadian rhythms in neuronal excitability and behavior. Contributes to the regulation of the circadian rhythm of action potential firing in suprachiasmatic nucleus neurons, which regulates the circadian rhythm of locomotor activity. The regulatory subunit KCNIP1 modulates the kinetics of channel inactivation, increases the current amplitudes and accelerates recovery from inactivation, shifts activation in a depolarizing direction (By similarity). The regulatory subunit DPP10 decreases the voltage sensitivity of the inactivation channel gating (PubMed:15454437).
Subcellular Location	Cell membrane
Disorder	0.0269,0.0320,0.0454,0.0506,0.0555,0.0605,0.0494,0.0676,0.0414,0.0313,0.0483,0.0380,0.0380,0.0494,0.0531,0.1048,0.0734,0.0851,0.1791,0.2224,0.2224,0.3392,0.2988,0.2951,0.2951,0.3149,0.3286,0.3948,0.4017,0.5296,0.5493,0.4330,0.4582,0.4256,0.4186,0.3426,0.3087,0.3983,0.3566,0.3149,0.2364,0.2224,0.2292,0.1969,0.1969,0.2364,0.2503,0.1881,0.1969,0.1791,0.1028,0.1702,0.2541,0.3249,0.3117,0.2292,0.2951,0.2988,0.2918,0.3215,0.3249,0.4541,0.3321,0.2224,0.2364,0.2609,0.2224,0.2258,0.3019,0.2918,0.3182,0.3182,0.1914,0.1028,0.1048,0.1501,0.2258,0.2503,0.2680,0.2328,0.1251,0.1229,0.1092,0.1399,0.1554,0.2470,0.1373,0.0948,0.0835,0.0888,0.0888,0.0749,0.0780,0.1373,0.1501,0.1643,0.1611,0.1611,0.1501,0.0835,0.0618,0.1275,0.1162,0.0618,0.0985,0.1643,0.1643,0.1942,0.2609,0.1702,0.1048,0.1070,0.0719,0.0835,0.1028,0.1731,0.0985,0.0734,0.0690,0.0676,0.0676,0.0646,0.0364,0.0473,0.1007,0.0555,0.0473,0.0463,0.0704,0.0780,0.1349,0.2164,0.2193,0.2645,0.3356,0.2988,0.2064,0.2503,0.3215,0.3286,0.3321,0.4409,0.5017,0.6183,0.6136,0.5533,0.6712,0.6948,0.6806,0.7289,0.7036,0.5992,0.6183,0.5620,0.5992,0.5707,0.5758,0.5665,0.5951,0.5901,0.5665,0.4507,0.3249,0.3529,0.3019,0.1759,0.2193,0.2258,0.2436,0.2328,0.2164,0.2399,0.3321,0.2715,0.2680,0.1852,0.1349,0.0704,0.0676,0.0398,0.0240,0.0263,0.0454,0.0414,0.0214,0.0160,0.0248,0.0157,0.0146,0.0095,0.0072,0.0062,0.0065,0.0051,0.0046,0.0052,0.0070,0.0065,0.0104,0.0099,0.0146,0.0214,0.0198,0.0163,0.0306,0.0618,0.1028,0.1206,0.1731,0.1914,0.2645,0.3807,0.3117,0.3019,0.3872,0.4619,0.3215,0.3392,0.4409,0.3740,0.3566,0.2364,0.1528,0.1275,0.1611,0.1731,0.1449,0.0870,0.0555,0.0300,0.0163,0.0089,0.0084,0.0125,0.0136,0.0084,0.0061,0.0064,0.0059,0.0044,0.0033,0.0042,0.0052,0.0075,0.0084,0.0083,0.0059,0.0066,0.0059,0.0055,0.0075,0.0101,0.0125,0.0096,0.0094,0.0062,0.0064,0.0090,0.0096,0.0072,0.0088,0.0096,0.0076,0.0097,0.0062,0.0046,0.0034,0.0044,0.0032,0.0035,0.0037,0.0039,0.0039,0.0052,0.0062,0.0065,0.0069,0.0095,0.0092,0.0105,0.0088,0.0076,0.0115,0.0113,0.0104,0.0119,0.0107,0.0184,0.0123,0.0108,0.0188,0.0168,0.0085,0.0086,0.0054,0.0052,0.0052,0.0064,0.0064,0.0066,0.0076,0.0084,0.0115,0.0076,0.0076,0.0074,0.0067,0.0109,0.0073,0.0095,0.0171,0.0105,0.0136,0.0269,0.0306,0.0356,0.0364,0.0160,0.0101,0.0072,0.0046,0.0046,0.0046,0.0046,0.0054,0.0065,0.0047,0.0047,0.0035,0.0032,0.0027,0.0029,0.0031,0.0030,0.0021,0.0014,0.0017,0.0017,0.0028,0.0038,0.0052,0.0086,0.0089,0.0143,0.0151,0.0104,0.0133,0.0231,0.0235,0.0555,0.0985,0.1007,0.0443,0.0380,0.0287,0.0690,0.0704,0.0581,0.0543,0.0389,0.0414,0.0414,0.0214,0.0205,0.0120,0.0113,0.0231,0.0178,0.0125,0.0258,0.0214,0.0281,0.0209,0.0356,0.0690,0.1251,0.0690,0.0605,0.0967,0.0909,0.0690,0.0364,0.0341,0.0349,0.0341,0.0631,0.0405,0.0227,0.0194,0.0181,0.0130,0.0091,0.0100,0.0109,0.0153,0.0109,0.0081,0.0088,0.0143,0.0153,0.0095,0.0138,0.0240,0.0153,0.0153,0.0163,0.0168,0.0269,0.0494,0.0799,0.1115,0.1424,0.2193,0.1969,0.2715,0.2094,0.2849,0.3807,0.4507,0.3872,0.3872,0.4186,0.3948,0.3948,0.4017,0.5098,0.4220,0.3872,0.3740,0.3631,0.3566,0.3948,0.3910,0.4051,0.3704,0.2680,0.2258,0.2258,0.1476,0.1501,0.2129,0.2164,0.2951,0.3286,0.2436,0.3392,0.3392,0.4149,0.4441,0.4441,0.4476,0.4619,0.4685,0.4725,0.4330,0.3872,0.3840,0.4017,0.4017,0.4979,0.5055,0.4979,0.4582,0.3631,0.3704,0.4582,0.4541,0.4582,0.4766,0.4901,0.4220,0.3529,0.3566,0.2436,0.1731,0.2064,0.2817,0.3872,0.4507,0.3356,0.3356,0.3392,0.2470,0.2783,0.3807,0.3774,0.3019,0.2988,0.1942,0.1823,0.1759,0.2193,0.2224,0.2129,0.2951,0.3117,0.3019,0.3286,0.3249,0.3249,0.4409,0.4292,0.4220,0.5296,0.5211,0.5176,0.5055,0.5342,0.5296,0.6531,0.6712,0.7080,0.6755,0.7629,0.7982,0.8235,0.8713,0.8162,0.7120,0.7080,0.7036,0.5620,0.4476,0.4831,0.4831,0.4901,0.4685,0.4685,0.5254,0.5342,0.5139,0.4330,0.4051,0.3910,0.3704,0.3460,0.3392,0.3460,0.3840,0.4409,0.3983,0.3948,0.5017,0.6322,0.5807,0.5620,0.5758,0.6183,0.5456,0.5493,0.5342,0.4901,0.5382,0.5382,0.5382,0.5665,0.5620,0.5620,0.5665,0.5665,0.6136,0.6948,0.6948,0.6948,0.6851,0.6906,0.6183,0.6136,0.5665,0.6482,0.6712,0.6948,0.7799,0.7982,0.7250,0.8085,0.7331,0.7369,0.6089,0.6136,0.6375,0.5992,0.5992,0.5017,0.4507,0.4330,0.4149,0.4119,0.3392,0.3566,0.2951,0.2951,0.2918,0.3117,0.3460,0.3840,0.3807,0.4441,0.4685,0.5992,0.5992,0.5992,0.6136,0.6375,0.7459,0.7951,0.8462,0.8681,0.9168,0.9519,0.9547,0.9762,0.9634,0.9621,0.9473,0.9346,0.9106,0.9106,0.9126,0.8894,0.8792,0.8125,0.8198,0.8085,0.8125,0.7209,0.6531,0.5055,0.5382,0.5533,0.5533,0.4940,0.4864,0.4409,0.4330,0.4369,0.3740,0.4149,0.3910,0.3599,0.3356,0.3117,0.3631,0.3249,0.2817,0.1852,0.2849
ExposeBuried	1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
SurfaceAccessbility	0.767,0.446,0.411,0.409,0.270,0.287,0.351,0.248,0.338,0.325,0.190,0.445,0.415,0.189,0.387,0.582,0.272,0.497,0.328,0.277,0.255,0.383,0.493,0.594,0.592,0.618,0.281,0.192,0.507,0.614,0.488,0.601,0.469,0.602,0.544,0.554,0.571,0.420,0.529,0.509,0.302,0.035,0.323,0.052,0.139,0.110,0.363,0.316,0.365,0.318,0.151,0.324,0.104,0.261,0.287,0.524,0.127,0.036,0.473,0.564,0.136,0.382,0.578,0.195,0.195,0.093,0.234,0.513,0.417,0.529,0.538,0.361,0.538,0.336,0.229,0.511,0.582,0.598,0.566,0.363,0.246,0.081,0.059,0.046,0.087,0.276,0.409,0.341,0.661,0.167,0.037,0.366,0.230,0.034,0.082,0.283,0.072,0.112,0.334,0.368,0.417,0.572,0.114,0.556,0.209,0.180,0.715,0.699,0.224,0.440,0.413,0.577,0.287,0.095,0.438,0.548,0.220,0.150,0.608,0.353,0.251,0.517,0.206,0.502,0.533,0.560,0.272,0.337,0.650,0.509,0.225,0.485,0.462,0.502,0.549,0.344,0.448,0.569,0.518,0.515,0.578,0.619,0.361,0.374,0.584,0.387,0.181,0.438,0.632,0.319,0.450,0.572,0.385,0.384,0.538,0.570,0.425,0.590,0.570,0.399,0.287,0.446,0.599,0.503,0.333,0.526,0.456,0.281,0.199,0.413,0.254,0.193,0.091,0.280,0.077,0.078,0.339,0.407,0.322,0.534,0.342,0.389,0.247,0.165,0.240,0.313,0.156,0.106,0.270,0.163,0.114,0.105,0.140,0.142,0.098,0.111,0.091,0.166,0.138,0.099,0.068,0.150,0.133,0.035,0.091,0.324,0.136,0.121,0.411,0.429,0.175,0.407,0.477,0.412,0.426,0.474,0.356,0.364,0.465,0.494,0.363,0.639,0.567,0.414,0.572,0.413,0.127,0.326,0.425,0.079,0.055,0.253,0.149,0.039,0.103,0.170,0.096,0.036,0.104,0.124,0.089,0.051,0.151,0.097,0.082,0.049,0.052,0.040,0.131,0.041,0.113,0.147,0.158,0.567,0.350,0.321,0.189,0.376,0.048,0.060,0.368,0.304,0.148,0.160,0.133,0.111,0.086,0.095,0.071,0.104,0.113,0.104,0.094,0.177,0.219,0.199,0.135,0.289,0.156,0.145,0.154,0.431,0.383,0.230,0.409,0.519,0.180,0.220,0.256,0.120,0.082,0.155,0.058,0.055,0.105,0.056,0.058,0.094,0.040,0.082,0.132,0.052,0.095,0.238,0.069,0.188,0.458,0.320,0.187,0.449,0.228,0.098,0.304,0.244,0.051,0.073,0.286,0.071,0.044,0.208,0.324,0.057,0.089,0.406,0.254,0.087,0.105,0.193,0.137,0.162,0.161,0.190,0.211,0.204,0.234,0.226,0.143,0.176,0.187,0.129,0.061,0.110,0.069,0.069,0.107,0.117,0.168,0.480,0.542,0.581,0.428,0.496,0.490,0.635,0.429,0.057,0.478,0.205,0.049,0.073,0.190,0.032,0.065,0.090,0.079,0.057,0.070,0.052,0.088,0.057,0.088,0.124,0.120,0.097,0.185,0.304,0.307,0.121,0.240,0.172,0.344,0.156,0.217,0.093,0.092,0.194,0.116,0.065,0.100,0.152,0.153,0.169,0.188,0.142,0.168,0.244,0.207,0.159,0.149,0.158,0.217,0.173,0.140,0.122,0.162,0.116,0.049,0.126,0.400,0.136,0.062,0.313,0.462,0.215,0.318,0.570,0.456,0.457,0.567,0.584,0.390,0.567,0.580,0.420,0.464,0.434,0.418,0.435,0.554,0.430,0.457,0.263,0.445,0.470,0.421,0.548,0.390,0.507,0.583,0.491,0.583,0.451,0.385,0.553,0.523,0.500,0.328,0.561,0.342,0.471,0.587,0.557,0.411,0.376,0.366,0.392,0.623,0.445,0.492,0.348,0.384,0.564,0.544,0.569,0.565,0.445,0.225,0.595,0.479,0.488,0.399,0.576,0.410,0.337,0.623,0.576,0.317,0.410,0.507,0.428,0.137,0.416,0.533,0.232,0.212,0.456,0.431,0.488,0.478,0.557,0.473,0.557,0.390,0.394,0.638,0.617,0.514,0.417,0.438,0.461,0.593,0.572,0.360,0.443,0.601,0.318,0.420,0.707,0.661,0.312,0.429,0.362,0.472,0.450,0.417,0.422,0.599,0.468,0.571,0.552,0.535,0.415,0.554,0.557,0.546,0.560,0.557,0.295,0.256,0.493,0.507,0.464,0.255,0.656,0.553,0.370,0.460,0.446,0.565,0.535,0.300,0.373,0.605,0.262,0.455,0.542,0.598,0.533,0.358,0.533,0.591,0.436,0.614,0.601,0.418,0.374,0.550,0.615,0.362,0.477,0.449,0.617,0.524,0.427,0.396,0.443,0.537,0.622,0.568,0.269,0.570,0.550,0.407,0.418,0.431,0.651,0.349,0.518,0.585,0.509,0.338,0.630,0.523,0.319,0.217,0.545,0.327,0.666,0.435,0.571,0.333,0.420,0.619,0.352,0.401,0.709,0.432,0.379,0.328,0.552,0.323,0.497,0.403,0.347,0.495,0.638,0.515,0.451,0.476,0.621,0.630,0.640,0.383,0.216,0.764,0.694,0.455,0.559,0.589,0.685,0.461,0.497,0.339,0.413,0.537,0.210,0.311,0.482,0.469,0.505,0.542,0.208,0.396,0.384,0.341,0.335,0.467,0.366,0.595,0.547,0.426,0.382,0.568,0.231,0.557,0.657,0.654
