UniprotID	Q96PZ0
Accession	Q96PZ0;Q75MG4;Q9NX19
EntryName	PUS7_HUMAN
ProteinName	Pseudouridylate synthase 7 homolog (EC 5.4.99.-)
GeneName	PUS7 KIAA1897
Length	661
Function	Pseudouridylate synthase that catalyzes pseudouridylation of RNAs (PubMed:28073919, PubMed:29628141, PubMed:30778726, PubMed:31477916, PubMed:34718722, PubMed:35051350). Acts as a regulator of protein synthesis in embryonic stem cells by mediating pseudouridylation of RNA fragments derived from tRNAs (tRFs): pseudouridylated tRFs inhibit translation by targeting the translation initiation complex (PubMed:29628141). Also catalyzes pseudouridylation of mRNAs: mediates pseudouridylation of mRNAs with the consensus sequence 5'-UGUAG-3' (PubMed:28073919, PubMed:31477916, PubMed:35051350). Acts as a regulator of pre-mRNA splicing by mediating pseudouridylation of pre-mRNAs at locations associated with alternatively spliced regions (PubMed:35051350). Pseudouridylation of pre-mRNAs near splice sites directly regulates mRNA splicing and mRNA 3'-end processing (PubMed:35051350). In addition to mRNAs and tRNAs, binds other types of RNAs, such as snRNAs, Y RNAs and vault RNAs, suggesting that it can catalyze pseudouridylation of many RNA types (PubMed:29628141).
Subcellular Location	Nucleus
Disorder	0.8198,0.7799,0.7547,0.7755,0.7672,0.7036,0.6531,0.6043,0.6482,0.6851,0.7036,0.7209,0.6991,0.7036,0.6375,0.6620,0.6043,0.6227,0.6427,0.7036,0.6755,0.7036,0.7415,0.7369,0.6661,0.6806,0.7595,0.7163,0.7672,0.6755,0.6620,0.6227,0.6089,0.6183,0.6269,0.6906,0.5665,0.6375,0.6183,0.6089,0.5017,0.4652,0.4901,0.4186,0.4409,0.5139,0.5254,0.4507,0.5665,0.5533,0.6755,0.7163,0.7547,0.7595,0.6906,0.6712,0.6755,0.7505,0.7163,0.7120,0.7036,0.7755,0.8421,0.8421,0.9057,0.8966,0.8894,0.8279,0.8894,0.8713,0.8942,0.8828,0.8681,0.8713,0.8828,0.9249,0.9329,0.9329,0.8942,0.9057,0.9151,0.9230,0.8920,0.8991,0.9106,0.9106,0.9308,0.9249,0.9621,0.9547,0.8991,0.8765,0.8713,0.8462,0.8162,0.7755,0.7595,0.7505,0.6661,0.7415,0.7629,0.7209,0.7120,0.7289,0.7120,0.5992,0.5807,0.5382,0.4476,0.3774,0.3740,0.4582,0.4801,0.4725,0.4864,0.4119,0.4330,0.4330,0.3667,0.3704,0.3494,0.3494,0.3529,0.2752,0.3286,0.3356,0.3117,0.2575,0.2224,0.3117,0.3774,0.3117,0.3149,0.2951,0.2988,0.2988,0.3704,0.3053,0.2988,0.3631,0.3566,0.3840,0.3807,0.3286,0.3948,0.3321,0.3529,0.3872,0.4507,0.5211,0.5296,0.5211,0.6427,0.6375,0.6755,0.6712,0.5758,0.4831,0.5620,0.4979,0.4256,0.4979,0.4652,0.4685,0.5533,0.5382,0.6322,0.5758,0.5533,0.5577,0.5577,0.4619,0.4652,0.3631,0.2715,0.2470,0.2470,0.3019,0.4051,0.4017,0.4541,0.4582,0.4292,0.3740,0.3704,0.2988,0.2364,0.2364,0.2503,0.3182,0.2988,0.2988,0.3599,0.3529,0.4220,0.4409,0.3704,0.3667,0.3840,0.3426,0.2609,0.2575,0.3149,0.2609,0.2292,0.2470,0.3019,0.2988,0.2951,0.2951,0.2884,0.2951,0.2918,0.3019,0.3053,0.3117,0.3872,0.4652,0.4507,0.3599,0.3087,0.3249,0.3053,0.2258,0.3117,0.3872,0.3321,0.3321,0.4087,0.3948,0.3631,0.2918,0.2645,0.2680,0.2951,0.2951,0.2817,0.2884,0.2918,0.1942,0.3019,0.3774,0.4369,0.4685,0.5577,0.5456,0.4831,0.4409,0.4507,0.3529,0.2988,0.2470,0.2436,0.2680,0.2609,0.2503,0.2436,0.2503,0.2470,0.2164,0.3182,0.2645,0.1881,0.2034,0.1449,0.0948,0.0948,0.1476,0.1373,0.0817,0.1501,0.1476,0.2094,0.3182,0.3356,0.2436,0.1399,0.1399,0.0835,0.0646,0.0780,0.0765,0.0909,0.1501,0.1373,0.2002,0.2436,0.1702,0.1702,0.1881,0.2752,0.2752,0.2541,0.2224,0.1424,0.0817,0.1323,0.1424,0.1449,0.1881,0.2328,0.2436,0.1702,0.1424,0.1449,0.0929,0.0967,0.1162,0.1206,0.0749,0.0851,0.0888,0.0424,0.0734,0.0531,0.0780,0.1373,0.0719,0.1184,0.0676,0.0870,0.0835,0.0851,0.1554,0.1206,0.1184,0.1162,0.1048,0.1092,0.1070,0.1702,0.2034,0.2034,0.3149,0.2094,0.2918,0.2328,0.1643,0.1881,0.1969,0.2988,0.2034,0.2064,0.1881,0.1671,0.2436,0.2470,0.3286,0.2715,0.2680,0.3494,0.3117,0.2752,0.2752,0.2680,0.2884,0.2884,0.3631,0.3321,0.4087,0.2988,0.1969,0.2951,0.2064,0.1349,0.1298,0.0985,0.0985,0.1007,0.0780,0.0734,0.0734,0.0909,0.0948,0.0568,0.0690,0.1162,0.0646,0.0631,0.0734,0.0734,0.1424,0.1914,0.1115,0.1162,0.1914,0.2064,0.2470,0.1476,0.1449,0.2503,0.1914,0.1501,0.1528,0.1184,0.1048,0.0543,0.0531,0.1115,0.1115,0.1583,0.1583,0.1275,0.1611,0.2399,0.3182,0.2258,0.1476,0.1048,0.1823,0.1229,0.1184,0.1791,0.2328,0.1349,0.1759,0.2575,0.3426,0.3392,0.3215,0.3426,0.3494,0.3249,0.3249,0.2328,0.2364,0.2364,0.2399,0.3460,0.3460,0.3426,0.4186,0.3460,0.2680,0.2680,0.3704,0.4087,0.3286,0.2436,0.2503,0.2364,0.1399,0.1373,0.1583,0.1184,0.1791,0.1373,0.1373,0.2193,0.1251,0.1275,0.1275,0.1048,0.0817,0.1184,0.0646,0.0380,0.0424,0.0719,0.1275,0.1323,0.1373,0.1399,0.1070,0.0646,0.0646,0.0676,0.0909,0.0518,0.0518,0.0888,0.0780,0.0531,0.0320,0.0704,0.0780,0.1007,0.1137,0.0985,0.0967,0.0888,0.0463,0.0494,0.0870,0.0676,0.1137,0.1162,0.1137,0.1275,0.1449,0.1554,0.1528,0.2364,0.2193,0.2680,0.1759,0.1643,0.2002,0.2328,0.2399,0.2094,0.2129,0.2193,0.1349,0.1373,0.2224,0.2328,0.3249,0.2645,0.2575,0.3321,0.2258,0.2292,0.1449,0.2164,0.2884,0.3053,0.2470,0.2002,0.2541,0.1731,0.2224,0.2164,0.1881,0.2849,0.2094,0.1275,0.0704,0.0765,0.1115,0.1028,0.0929,0.0888,0.0985,0.1731,0.1449,0.0817,0.1229,0.1852,0.1823,0.1028,0.1671,0.1229,0.1323,0.2436,0.1583,0.2258,0.2258,0.3249,0.3149,0.2680,0.2715,0.2752,0.3599,0.2575,0.2436,0.2884,0.2918,0.2884,0.1942,0.2436,0.3249,0.2918,0.2364,0.2258,0.2094,0.2064,0.1298,0.1323,0.1251,0.1323,0.1852,0.1942,0.1449,0.1501,0.1323,0.1449,0.0967,0.1137,0.0948,0.0929,0.0985,0.1070,0.1449,0.2164,0.1424,0.1671,0.1759,0.1554,0.2470,0.2503,0.2328,0.1643,0.1611,0.2292,0.1554,0.2752,0.2575,0.3117,0.3774,0.4292,0.5493,0.4725,0.3529,0.3019,0.3053,0.4087,0.3807,0.4582,0.4766,0.4619,0.4256,0.3356,0.3948,0.3392,0.3356,0.3087,0.2918,0.2129,0.2436,0.2680,0.2399,0.2164,0.1942,0.2680,0.2988,0.2541,0.2129,0.1449,0.1476,0.2399,0.1852,0.1449,0.2094,0.1731,0.2224,0.2164,0.3215,0.2399,0.3149,0.3019,0.2918,0.2951,0.3087,0.3182,0.3599,0.3599,0.4051,0.3249,0.3286,0.3286,0.2918,0.3321,0.3983,0.3807,0.4149,0.3807,0.3494,0.3182,0.4256,0.4017
ExposeBuried	1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1
SurfaceAccessbility	0.780,0.700,0.355,0.460,0.596,0.250,0.390,0.385,0.221,0.318,0.140,0.406,0.389,0.189,0.108,0.090,0.133,0.094,0.378,0.340,0.527,0.633,0.574,0.447,0.200,0.332,0.209,0.555,0.530,0.351,0.434,0.532,0.512,0.375,0.150,0.532,0.597,0.112,0.457,0.182,0.375,0.522,0.386,0.509,0.516,0.271,0.165,0.423,0.500,0.350,0.144,0.192,0.421,0.125,0.390,0.651,0.578,0.168,0.462,0.498,0.332,0.445,0.584,0.363,0.214,0.472,0.452,0.346,0.585,0.485,0.338,0.571,0.499,0.418,0.590,0.297,0.520,0.172,0.609,0.562,0.599,0.645,0.563,0.546,0.608,0.635,0.599,0.397,0.170,0.436,0.692,0.538,0.070,0.582,0.683,0.530,0.451,0.377,0.644,0.394,0.088,0.229,0.410,0.127,0.156,0.541,0.362,0.309,0.109,0.369,0.508,0.266,0.425,0.178,0.238,0.100,0.269,0.357,0.127,0.133,0.348,0.371,0.294,0.460,0.281,0.098,0.368,0.297,0.148,0.108,0.420,0.545,0.343,0.154,0.407,0.414,0.097,0.117,0.120,0.244,0.371,0.120,0.266,0.587,0.598,0.305,0.409,0.137,0.422,0.345,0.170,0.494,0.484,0.167,0.536,0.140,0.373,0.218,0.495,0.625,0.715,0.393,0.337,0.508,0.543,0.354,0.076,0.124,0.250,0.118,0.104,0.251,0.249,0.559,0.367,0.415,0.536,0.334,0.119,0.566,0.435,0.115,0.481,0.245,0.129,0.502,0.525,0.517,0.596,0.242,0.338,0.143,0.111,0.094,0.344,0.130,0.117,0.521,0.465,0.241,0.587,0.611,0.185,0.218,0.440,0.079,0.027,0.213,0.403,0.110,0.047,0.456,0.625,0.357,0.119,0.560,0.589,0.143,0.594,0.394,0.453,0.445,0.362,0.492,0.554,0.676,0.589,0.389,0.439,0.208,0.043,0.066,0.052,0.069,0.188,0.461,0.438,0.420,0.539,0.528,0.226,0.167,0.456,0.488,0.103,0.519,0.696,0.422,0.569,0.255,0.539,0.602,0.293,0.381,0.109,0.109,0.072,0.037,0.058,0.044,0.059,0.037,0.201,0.370,0.587,0.525,0.326,0.603,0.156,0.123,0.477,0.108,0.059,0.228,0.130,0.054,0.131,0.349,0.285,0.085,0.437,0.136,0.281,0.308,0.549,0.294,0.144,0.406,0.259,0.256,0.403,0.252,0.559,0.507,0.483,0.443,0.214,0.107,0.259,0.145,0.346,0.280,0.167,0.103,0.143,0.281,0.448,0.095,0.281,0.351,0.660,0.208,0.077,0.495,0.435,0.046,0.394,0.535,0.199,0.086,0.395,0.544,0.332,0.424,0.185,0.446,0.329,0.151,0.427,0.205,0.486,0.568,0.564,0.410,0.141,0.425,0.188,0.255,0.523,0.153,0.547,0.495,0.483,0.315,0.076,0.209,0.040,0.060,0.039,0.231,0.257,0.113,0.352,0.514,0.223,0.435,0.697,0.350,0.033,0.344,0.559,0.055,0.103,0.599,0.413,0.057,0.498,0.700,0.313,0.311,0.134,0.124,0.318,0.204,0.242,0.190,0.210,0.471,0.360,0.204,0.377,0.497,0.503,0.449,0.095,0.296,0.245,0.319,0.365,0.060,0.045,0.202,0.162,0.073,0.066,0.336,0.451,0.303,0.091,0.281,0.483,0.059,0.072,0.472,0.112,0.091,0.082,0.352,0.237,0.623,0.587,0.331,0.538,0.577,0.495,0.390,0.168,0.062,0.327,0.425,0.032,0.258,0.601,0.305,0.067,0.189,0.601,0.254,0.623,0.516,0.252,0.561,0.278,0.204,0.112,0.505,0.412,0.130,0.369,0.443,0.377,0.412,0.105,0.359,0.435,0.360,0.331,0.096,0.091,0.427,0.087,0.062,0.268,0.490,0.190,0.277,0.164,0.552,0.255,0.040,0.081,0.445,0.123,0.106,0.168,0.219,0.064,0.261,0.392,0.476,0.199,0.205,0.047,0.059,0.059,0.031,0.127,0.120,0.118,0.131,0.228,0.334,0.068,0.067,0.350,0.416,0.103,0.067,0.377,0.390,0.230,0.078,0.603,0.545,0.225,0.512,0.137,0.497,0.286,0.141,0.546,0.403,0.431,0.100,0.146,0.076,0.380,0.343,0.124,0.288,0.132,0.181,0.231,0.294,0.530,0.593,0.582,0.526,0.213,0.461,0.340,0.182,0.203,0.078,0.143,0.238,0.047,0.071,0.060,0.121,0.065,0.212,0.271,0.160,0.442,0.124,0.379,0.204,0.280,0.481,0.524,0.386,0.062,0.319,0.562,0.114,0.071,0.381,0.490,0.077,0.090,0.480,0.413,0.557,0.510,0.128,0.507,0.223,0.277,0.427,0.147,0.473,0.206,0.462,0.301,0.313,0.585,0.164,0.560,0.112,0.469,0.374,0.130,0.134,0.314,0.407,0.061,0.088,0.424,0.327,0.382,0.366,0.553,0.113,0.375,0.163,0.432,0.154,0.179,0.419,0.371,0.489,0.520,0.244,0.651,0.085,0.463,0.247,0.399,0.477,0.419,0.425,0.122,0.492,0.523,0.255,0.568,0.490,0.548,0.467,0.381,0.510,0.301,0.246,0.359,0.544,0.586,0.366,0.441,0.210,0.178,0.130,0.052,0.194,0.084,0.320,0.096,0.565,0.105,0.424,0.297,0.393,0.101,0.138,0.054,0.145,0.108,0.037,0.034,0.301,0.326,0.045,0.106,0.562,0.294,0.406,0.233,0.481,0.140,0.482,0.541,0.410,0.378,0.456,0.191,0.470,0.374,0.425,0.257,0.333,0.754
