UniprotID	Q2KHR2-1
Accession	Q2KHR2;Q6ZRR1;Q6ZTY6;Q8N3J0;Q9H7A9;Q9H956
EntryName	RFX7_HUMAN
ProteinName	DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2)
GeneName	RFX7 RFXDC2
Length	1363
Function	Transcription factor (PubMed:29967452). Acts as a transcriptional activator by binding to promoter regions of target genes, such as PDCD4, PIK3IP1, MXD4, PNRC1, and RFX5 (PubMed:29967452, PubMed:34197623). Plays a role in natural killer (NK) cell maintenance and immunity (PubMed:29967452). May play a role in the process of ciliogenesis in the neural tube and neural tube closure (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7707432
pNuLoCRegion	278...298;566...578
