UniprotID	Q9UKV0-2
Accession	Q9UKV0;A7E2F3;B7Z4I4;B7Z917;B7Z928;B7Z940;C9JS87;E7EX34;F8W9E0;O94845;O95028;Q2M2R6;Q86SL1;Q86US3
EntryName	HDAC9_HUMAN
ProteinName	Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR)
GeneName	HDAC9 HDAC7 HDAC7B HDRP KIAA0744 MITR
Length	923
Function	Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Represses MEF2-dependent transcription.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84031355
pNuLoCRegion	12...47
