UniprotID	Q96AX9-5
Accession	Q96AX9;A2AGM5;A2AGM6;B3KV93;B3KVF4;B3KXY1;B4DZ57;E9PGU1;E9PHQ1;F8WA73;J3KNZ7;Q7Z437;Q8IY62;Q8N786;Q8N897;Q8N8R2;Q8N911;Q8NB36;Q8NCY1;Q8NG59;Q8NG60;Q8NG61;Q8NI59;Q8WYN1
EntryName	MIB2_HUMAN
ProteinName	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)
GeneName	MIB2 SKD ZZANK1
Length	920
Function	E3 ubiquitin-protein ligase that mediates ubiquitination of Delta receptors, which act as ligands of Notch proteins. Positively regulates the Delta-mediated Notch signaling by ubiquitinating the intracellular domain of Delta, leading to endocytosis of Delta receptors.
Subcellular Location	Cytoplasm; Endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7589787
pNuLoCRegion	29...37;827...834;895...914
