UniprotID	Q9BTX1-2
Accession	Q9BTX1;B4DHA3;B4DQQ5;G3XA81;Q8NB76;Q9H9T6;Q9NSG3;Q9NSG4;Q9NVZ7
EntryName	NDC1_HUMAN
ProteinName	Nucleoporin NDC1 (hNDC1) (Transmembrane protein 48)
GeneName	NDC1 TMEM48
Length	673
Function	Component of the nuclear pore complex (NPC), which plays a key role in de novo assembly and insertion of NPC in the nuclear envelope. Required for NPC and nuclear envelope assembly, possibly by forming a link between the nuclear envelope membrane and soluble nucleoporins, thereby anchoring the NPC in the membrane.
Subcellular Location	Nucleus; Nuclear pore complex; Nucleus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.019854184
pNuLoCRegion	
