UniprotID	Q5XX13-2
Accession	Q5XX13;C9JRY8;C9JZD7;Q8TC00;Q9H0F0
EntryName	FBW10_HUMAN
ProteinName	F-box/WD repeat-containing protein 10 (F-box and WD-40 domain-containing protein 10) (Ubiquitin ligase-specificity factor)
GeneName	FBXW10
Length	1061
Function	Probable substrate-recognition component of a SCF (SKP1-CUL1-F-box protein)-type E3 ubiquitin ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. Overexpression is leading to degradation of CBX5 and CBX1.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6641121
pNuLoCRegion	47...65;127...129;309...325;337...364
