UniprotID	A8MT70-3
Accession	A8MT70;A8MV69;B3KSC1;B5MDJ6;F2Z370;Q9H5T8
EntryName	ZBBX_HUMAN
ProteinName	Zinc finger B-box domain-containing protein 1
GeneName	ZBBX
Length	771
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.51373553
pNuLoCRegion	
