UniprotID	Q86UW6-2
Accession	Q86UW6;A0AVR3;Q9NVK2;Q9P2D4
EntryName	N4BP2_HUMAN
ProteinName	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)
GeneName	N4BP2 B3BP KIAA1413
Length	1753
Function	Has 5'-polynucleotide kinase and nicking endonuclease activity. May play a role in DNA repair or recombination.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8727686
pNuLoCRegion	24...34;50...64;81...105;353...357
