UniprotID	Q24JP5-2
Accession	Q24JP5;Q69YU7;Q86VZ8;Q86W97;Q9H8K3;Q9HCI9;Q9NWY0
EntryName	T132A_HUMAN
ProteinName	Transmembrane protein 132A (HSPA5-binding protein 1)
GeneName	TMEM132A HSPA5BP1 KIAA1583
Length	1024
Function	May play a role in embryonic and postnatal development of the brain. Increased resistance to cell death induced by serum starvation in cultured cells. Regulates cAMP-induced GFAP gene expression via STAT3 phosphorylation (By similarity).
Subcellular Location	Golgi apparatus membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.095300145
pNuLoCRegion	
