UniprotID	Q9H0E3-3
Accession	Q9H0E3;B7ZLM3;C9K0X9;Q4ZFV4;Q53T46;Q8WVW4;Q9H9G8
EntryName	SP130_HUMAN
ProteinName	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)
GeneName	SAP130
Length	1083
Function	Acts as a transcriptional repressor. May function in the assembly and/or enzymatic activity of the mSin3A corepressor complex or in mediating interactions between the complex and other regulatory complexes.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8170822
pNuLoCRegion	501...518;863...884
