UniprotID	Q8N3U4-2
Accession	Q8N3U4;B1AMT5;D3DTF5;O00540;Q5JTI6;Q68DE9;Q9H1N8
EntryName	STAG2_HUMAN
ProteinName	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)
GeneName	STAG2 SA2
Length	1268
Function	Component of cohesin complex, a complex required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At anaphase, the complex is cleaved and dissociates from chromatin, allowing sister chromatids to segregate. The cohesin complex may also play a role in spindle pole assembly during mitosis.
Subcellular Location	Nucleus; Chromosome; Chromosome; Centromere
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.64621776
pNuLoCRegion	7...34;51...79;209...215
