UniprotID	Q9P2N6-6
Accession	Q9P2N6;A1L184;D3DXH3;D3DXH4;Q05BU4;Q6P3X2;Q6PJH6;Q86T19;Q96L64;Q9H0C9;Q9H8C9;Q9HAP8;Q9NWE5
EntryName	KANL3_HUMAN
ProteinName	KAT8 regulatory NSL complex subunit 3 (NSL complex protein NSL3) (Non-specific lethal 3 homolog) (Serum inhibited-related protein) (Testis development protein PRTD)
GeneName	KANSL3 KIAA1310 NSL3 PRTD SI1
Length	764
Function	Non-catalytic component of the NSL histone acetyltransferase complex, a multiprotein complex that mediates histone H4 acetylation at 'Lys-5'- and 'Lys-8' (H4K5ac and H4K8ac) at transcription start sites and promotes transcription initiation (PubMed:20018852, PubMed:33657400). The NSL complex also acts as a regulator of gene expression in mitochondria (PubMed:27768893). Within the NSL complex, KANSL3 is required to promote KAT8 association with mitochondrial DNA (PubMed:27768893).
Subcellular Location	Nucleus; Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8559962
pNuLoCRegion	1...13;93...101;179...199;422...431
