UniprotID	Q3B820-3
Accession	Q3B820;B4DJV7;Q9H8R2
EntryName	F161A_HUMAN
ProteinName	Protein FAM161A
GeneName	FAM161A
Length	716
Function	Involved in ciliogenesis.
Subcellular Location	Cytoplasm; Cytoskeleton; Cilium basal body; Cell projection; Cilium; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3454675
pNuLoCRegion	216...231
