UniprotID	Q9UKV5
Accession	Q9UKV5;P26442;Q8IZ70
EntryName	AMFR_HUMAN
ProteinName	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78)
GeneName	AMFR RNF45
Length	643
Function	E3 ubiquitin-protein ligase that mediates the polyubiquitination of lysine and cysteine residues on target proteins, such as CD3D, CYP3A4, CFTR, INSIG1, SOAT2/ACAT2 and APOB for proteasomal degradation (PubMed:10456327, PubMed:11724934, PubMed:12670940, PubMed:19103148, PubMed:24424410, PubMed:28604676). Component of a VCP/p97-AMFR/gp78 complex that participates in the final step of endoplasmic reticulum-associated degradation (ERAD) (PubMed:10456327, PubMed:11724934, PubMed:19103148, PubMed:24424410). The VCP/p97-AMFR/gp78 complex is involved in the sterol-accelerated ERAD degradation of HMGCR through binding to the HMGCR-INSIG1 complex at the ER membrane (PubMed:16168377, PubMed:22143767). In addition, interaction of AMFR with AUP1 facilitates interaction of AMFR with ubiquitin-conjugating enzyme UBE2G2 and ubiquitin ligase RNF139, leading to sterol-induced HMGCR ubiquitination (PubMed:23223569). The ubiquitinated HMGCR is then released from the ER into the cytosol for subsequent destruction (PubMed:16168377, PubMed:22143767, PubMed:23223569). In addition to ubiquitination on lysine residues, catalyzes ubiquitination on cysteine residues: together with INSIG1, mediates polyubiquitination of SOAT2/ACAT2 at 'Cys-277', leading to its degradation when the lipid levels are low (PubMed:28604676). Catalyzes ubiquitination and subsequent degradation of INSIG1 when cells are depleted of sterols (PubMed:17043353). Mediates polyubiquitination of INSIG2 at 'Cys-215' in some tissues, leading to its degradation (PubMed:31953408). Also regulates ERAD through the ubiquitination of UBL4A a component of the BAG6/BAT3 complex (PubMed:21636303). Also acts as a scaffold protein to assemble a complex that couples ubiquitination, retranslocation and deglycosylation (PubMed:21636303). Mediates tumor invasion and metastasis as a receptor for the GPI/autocrine motility factor (PubMed:10456327). In association with LMBR1L and UBAC2, negatively regulates the canonical Wnt signaling pathway in the lymphocytes by promoting the ubiquitin-mediated degradation of CTNNB1 and Wnt receptors FZD6 and LRP6 (PubMed:31073040). Regulates NF-kappa-B and MAPK signaling pathways by mediating 'Lys-27'-linked polyubiquitination of TAB3 and promoting subsequent TAK1/MAP3K7 activation (PubMed:36593296). Required for proper lipid homeostasis (PubMed:37119330).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	0.0101,0.0202,0.0294,0.0194,0.0269,0.0424,0.0258,0.0380,0.0518,0.0364,0.0463,0.0618,0.0287,0.0405,0.0389,0.0454,0.0817,0.0749,0.0389,0.0443,0.0349,0.0555,0.0235,0.0235,0.0320,0.0181,0.0165,0.0306,0.0334,0.0364,0.0494,0.0506,0.0592,0.1028,0.1373,0.2364,0.3426,0.3426,0.2328,0.3426,0.4087,0.4051,0.3356,0.4541,0.4831,0.5456,0.7163,0.7547,0.6906,0.6906,0.6089,0.6576,0.6906,0.6427,0.5854,0.5620,0.5296,0.5419,0.5296,0.6089,0.5901,0.6620,0.5577,0.6427,0.6427,0.4685,0.3460,0.2164,0.1852,0.2364,0.2064,0.1528,0.0734,0.0372,0.0198,0.0163,0.0100,0.0076,0.0073,0.0076,0.0076,0.0060,0.0045,0.0046,0.0038,0.0033,0.0034,0.0036,0.0044,0.0044,0.0032,0.0023,0.0032,0.0035,0.0032,0.0036,0.0031,0.0040,0.0054,0.0039,0.0038,0.0034,0.0042,0.0056,0.0072,0.0104,0.0125,0.0125,0.0188,0.0253,0.0253,0.0214,0.0214,0.0223,0.0184,0.0188,0.0141,0.0153,0.0157,0.0080,0.0079,0.0052,0.0048,0.0034,0.0032,0.0025,0.0017,0.0019,0.0020,0.0021,0.0020,0.0015,0.0025,0.0037,0.0027,0.0033,0.0038,0.0040,0.0041,0.0031,0.0033,0.0029,0.0038,0.0051,0.0056,0.0044,0.0037,0.0037,0.0034,0.0032,0.0026,0.0019,0.0025,0.0016,0.0011,0.0014,0.0019,0.0023,0.0021,0.0030,0.0028,0.0028,0.0042,0.0030,0.0029,0.0042,0.0054,0.0086,0.0148,0.0115,0.0191,0.0248,0.0372,0.0356,0.0719,0.0799,0.0380,0.0349,0.0181,0.0223,0.0130,0.0188,0.0248,0.0141,0.0168,0.0171,0.0102,0.0075,0.0073,0.0048,0.0050,0.0045,0.0036,0.0029,0.0029,0.0020,0.0027,0.0038,0.0026,0.0038,0.0050,0.0065,0.0061,0.0072,0.0109,0.0111,0.0097,0.0076,0.0081,0.0070,0.0089,0.0115,0.0138,0.0123,0.0109,0.0084,0.0141,0.0094,0.0095,0.0174,0.0134,0.0136,0.0097,0.0083,0.0062,0.0061,0.0060,0.0054,0.0062,0.0074,0.0062,0.0048,0.0046,0.0035,0.0050,0.0067,0.0096,0.0093,0.0138,0.0082,0.0086,0.0099,0.0105,0.0151,0.0294,0.0275,0.0181,0.0188,0.0157,0.0300,0.0334,0.0269,0.0389,0.0263,0.0592,0.0294,0.0334,0.0168,0.0107,0.0101,0.0115,0.0108,0.0078,0.0065,0.0064,0.0061,0.0064,0.0078,0.0096,0.0102,0.0072,0.0047,0.0070,0.0093,0.0079,0.0051,0.0052,0.0049,0.0057,0.0069,0.0069,0.0070,0.0056,0.0057,0.0046,0.0041,0.0044,0.0044,0.0046,0.0039,0.0040,0.0037,0.0054,0.0058,0.0046,0.0065,0.0095,0.0146,0.0097,0.0120,0.0143,0.0143,0.0240,0.0389,0.0380,0.0473,0.0631,0.0398,0.0463,0.0473,0.0985,0.1251,0.2436,0.2193,0.2002,0.1528,0.1251,0.0870,0.0749,0.1373,0.1583,0.1731,0.1914,0.1206,0.0948,0.1162,0.1969,0.2094,0.2849,0.3529,0.2609,0.2224,0.1852,0.1007,0.0592,0.0631,0.1275,0.1162,0.1731,0.1731,0.1424,0.1229,0.1162,0.0618,0.1251,0.0835,0.1229,0.1137,0.0631,0.0294,0.0281,0.0555,0.0646,0.0605,0.0646,0.1323,0.1251,0.0662,0.0506,0.0518,0.0676,0.0870,0.0909,0.0888,0.0835,0.0835,0.1528,0.0870,0.0888,0.1184,0.2064,0.1373,0.1373,0.0851,0.1298,0.2094,0.2193,0.2364,0.3494,0.3704,0.3529,0.3599,0.3631,0.3566,0.3704,0.4725,0.4582,0.4619,0.4831,0.4940,0.5533,0.5758,0.5901,0.5017,0.6482,0.6043,0.5620,0.5211,0.4831,0.4979,0.5758,0.5758,0.5992,0.5758,0.4831,0.4864,0.4979,0.4864,0.4831,0.5807,0.4619,0.3494,0.3426,0.3182,0.3948,0.3667,0.4256,0.4476,0.3948,0.4017,0.3840,0.2884,0.2193,0.2224,0.2224,0.2094,0.1969,0.1449,0.1554,0.1092,0.0948,0.1643,0.2609,0.2645,0.3740,0.2884,0.2193,0.2258,0.1643,0.2364,0.2680,0.2503,0.3426,0.4256,0.3948,0.4051,0.4292,0.4441,0.4831,0.4476,0.4901,0.5176,0.5254,0.4409,0.4441,0.4476,0.5055,0.4801,0.5098,0.6183,0.5342,0.5620,0.4979,0.5055,0.4256,0.3704,0.2951,0.3774,0.3807,0.3321,0.3599,0.3087,0.3149,0.3019,0.3740,0.3087,0.3053,0.2541,0.3529,0.3286,0.3356,0.4087,0.3019,0.3087,0.3149,0.3910,0.4409,0.4292,0.4292,0.3529,0.4541,0.3460,0.4507,0.4507,0.4685,0.4619,0.5211,0.5254,0.6136,0.5139,0.4940,0.5139,0.4801,0.4831,0.5807,0.5577,0.5951,0.5296,0.6531,0.6269,0.7547,0.7080,0.8198,0.8013,0.8013,0.8050,0.8279,0.8375,0.8375,0.8462,0.9039,0.8942,0.8765,0.8942,0.9457,0.9346,0.9013,0.9013,0.8991,0.8966,0.8530,0.8162,0.8565,0.8530,0.7629,0.7672,0.7672,0.7595,0.6712,0.6712,0.5456,0.5533,0.5951,0.5139,0.5176,0.4409,0.4619,0.5665,0.5254,0.6227,0.5296,0.6269,0.6531,0.4901,0.5098,0.5707,0.5419,0.5419,0.5342,0.5992,0.4766,0.5807,0.5577,0.5456,0.5992,0.6043,0.6948,0.6661,0.6269,0.6136,0.5951,0.5951,0.5176,0.5139,0.6089,0.5807,0.6227,0.6482,0.5620,0.4979,0.5211,0.6482,0.6269,0.6227,0.6089,0.6136,0.4979,0.4330,0.4541,0.4369,0.4507,0.4541,0.5254,0.6043,0.6089,0.6089,0.6043,0.5901,0.5854,0.6661,0.6322,0.5493,0.5854,0.6043,0.6322,0.6576,0.6576,0.7629,0.8235,0.8198,0.8713,0.8198,0.8279,0.7547,0.7250,0.6906,0.6851,0.6948,0.6183,0.5901,0.5665,0.6576,0.7080,0.6661,0.6531,0.6227,0.5296,0.5577,0.5456,0.5577,0.5533,0.5176,0.5807,0.5533,0.6183,0.6227,0.6269,0.6322,0.6183,0.7120,0.7250,0.7369,0.7547
ExposeBuried	1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
SurfaceAccessbility	0.681,0.416,0.229,0.230,0.171,0.144,0.482,0.457,0.142,0.439,0.156,0.410,0.469,0.145,0.333,0.384,0.213,0.296,0.264,0.152,0.298,0.127,0.101,0.178,0.094,0.055,0.136,0.172,0.048,0.063,0.296,0.092,0.128,0.413,0.294,0.146,0.502,0.504,0.407,0.739,0.432,0.342,0.557,0.452,0.570,0.414,0.573,0.504,0.155,0.414,0.340,0.525,0.181,0.513,0.458,0.672,0.418,0.491,0.325,0.458,0.414,0.445,0.376,0.624,0.496,0.565,0.306,0.418,0.427,0.125,0.401,0.350,0.070,0.109,0.456,0.206,0.074,0.217,0.542,0.587,0.320,0.198,0.182,0.113,0.089,0.099,0.079,0.091,0.120,0.233,0.094,0.063,0.060,0.069,0.066,0.105,0.085,0.085,0.123,0.372,0.092,0.121,0.373,0.176,0.082,0.126,0.168,0.199,0.410,0.146,0.362,0.236,0.434,0.399,0.308,0.578,0.403,0.089,0.255,0.610,0.376,0.129,0.096,0.248,0.133,0.074,0.079,0.099,0.202,0.101,0.045,0.081,0.219,0.145,0.159,0.124,0.229,0.542,0.190,0.534,0.214,0.272,0.412,0.268,0.067,0.075,0.167,0.072,0.084,0.170,0.187,0.099,0.083,0.108,0.082,0.072,0.071,0.065,0.205,0.082,0.066,0.119,0.289,0.138,0.058,0.434,0.564,0.204,0.125,0.462,0.332,0.181,0.541,0.427,0.274,0.388,0.623,0.250,0.292,0.187,0.240,0.312,0.292,0.079,0.326,0.097,0.068,0.141,0.085,0.158,0.150,0.153,0.074,0.222,0.187,0.189,0.090,0.178,0.221,0.089,0.102,0.176,0.068,0.091,0.328,0.132,0.203,0.189,0.165,0.310,0.205,0.129,0.235,0.247,0.151,0.140,0.156,0.107,0.190,0.199,0.356,0.474,0.250,0.294,0.165,0.140,0.128,0.167,0.307,0.143,0.210,0.315,0.131,0.149,0.103,0.183,0.068,0.050,0.058,0.164,0.120,0.152,0.462,0.284,0.431,0.342,0.547,0.449,0.334,0.305,0.703,0.521,0.501,0.377,0.194,0.082,0.071,0.061,0.083,0.124,0.351,0.124,0.097,0.198,0.313,0.127,0.190,0.279,0.273,0.313,0.269,0.416,0.165,0.247,0.293,0.263,0.121,0.179,0.155,0.142,0.121,0.148,0.203,0.344,0.305,0.204,0.151,0.199,0.116,0.107,0.107,0.057,0.068,0.090,0.077,0.061,0.195,0.157,0.215,0.137,0.282,0.192,0.492,0.541,0.390,0.368,0.648,0.506,0.316,0.527,0.480,0.245,0.559,0.568,0.188,0.298,0.631,0.357,0.122,0.549,0.672,0.206,0.578,0.490,0.490,0.496,0.305,0.583,0.541,0.580,0.360,0.668,0.533,0.374,0.488,0.576,0.667,0.642,0.311,0.415,0.018,0.246,0.079,0.026,0.218,0.555,0.431,0.129,0.582,0.514,0.155,0.264,0.538,0.071,0.429,0.027,0.353,0.099,0.383,0.088,0.037,0.328,0.419,0.014,0.039,0.425,0.333,0.049,0.177,0.628,0.652,0.631,0.561,0.443,0.028,0.163,0.395,0.034,0.319,0.447,0.561,0.088,0.534,0.530,0.702,0.653,0.488,0.357,0.460,0.310,0.375,0.539,0.537,0.341,0.465,0.235,0.558,0.578,0.190,0.229,0.531,0.596,0.169,0.333,0.443,0.593,0.553,0.383,0.643,0.761,0.540,0.384,0.564,0.513,0.209,0.649,0.617,0.359,0.526,0.344,0.265,0.099,0.272,0.334,0.666,0.539,0.365,0.391,0.064,0.068,0.119,0.120,0.044,0.217,0.602,0.211,0.359,0.460,0.641,0.317,0.440,0.520,0.489,0.462,0.491,0.197,0.352,0.354,0.130,0.389,0.507,0.188,0.172,0.472,0.325,0.261,0.220,0.496,0.474,0.077,0.218,0.546,0.399,0.054,0.490,0.630,0.277,0.124,0.547,0.558,0.237,0.393,0.211,0.518,0.349,0.098,0.205,0.535,0.464,0.156,0.533,0.437,0.170,0.463,0.533,0.141,0.568,0.263,0.329,0.347,0.625,0.489,0.097,0.316,0.614,0.441,0.437,0.120,0.542,0.113,0.558,0.252,0.454,0.565,0.609,0.509,0.303,0.594,0.519,0.155,0.335,0.251,0.204,0.174,0.646,0.464,0.649,0.536,0.581,0.392,0.563,0.339,0.612,0.588,0.324,0.679,0.667,0.375,0.626,0.336,0.528,0.347,0.533,0.379,0.594,0.533,0.190,0.402,0.193,0.588,0.175,0.417,0.477,0.446,0.114,0.551,0.603,0.320,0.156,0.614,0.205,0.456,0.602,0.238,0.602,0.218,0.533,0.384,0.589,0.614,0.186,0.645,0.498,0.138,0.618,0.418,0.424,0.393,0.508,0.461,0.174,0.478,0.583,0.498,0.345,0.619,0.555,0.308,0.320,0.463,0.252,0.133,0.221,0.535,0.329,0.261,0.494,0.599,0.106,0.104,0.538,0.475,0.079,0.271,0.552,0.437,0.115,0.199,0.610,0.502,0.510,0.498,0.672,0.582,0.546,0.377,0.329,0.485,0.616,0.521,0.173,0.199,0.326,0.586,0.682,0.460,0.292,0.576,0.526,0.511,0.305,0.246,0.288,0.110,0.223,0.314,0.329,0.130,0.097,0.190,0.211,0.161,0.139,0.502,0.435,0.371,0.185,0.537,0.594,0.581,0.651,0.635,0.923
