UniprotID	Q7Z412-2
Accession	Q7Z412;F6UBB5;Q7Z413;Q7Z414;Q7Z415;Q7Z416;Q96B12;Q9NWQ0;Q9NXU0
EntryName	PEX26_HUMAN
ProteinName	Peroxisome assembly protein 26 (Peroxin-26)
GeneName	PEX26
Length	256
Function	Peroxisomal docking factor that anchors PEX1 and PEX6 to peroxisome membranes (PubMed:12717447, PubMed:12851857, PubMed:16257970, PubMed:16763195, PubMed:16854980, PubMed:21362118). PEX26 is therefore required for the formation of the PEX1-PEX6 AAA ATPase complex, a complex that mediates the extraction of the PEX5 receptor from peroxisomal membrane (PubMed:12717447, PubMed:12851857, PubMed:16257970, PubMed:16763195, PubMed:16854980, PubMed:21362118).
Subcellular Location	Peroxisome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.64711857
pNuLoCRegion	
pNuLoCScore	0.4847008733333333,0.46865936999999996,0.45750265909090904,0.4458356483333333,0.43490154076923077,0.4247560721428571,0.41432414333333334,0.4052662375,0.3977046294117647,0.3885054788235294,0.3845969805882353,0.37970974705882354,0.36012715176470594,0.3415161235294118,0.3237546623529412,0.3124462770588236,0.3031297094117647,0.29760737941176474,0.29661483352941176,0.29431006,0.29396130647058827,0.2944314523529411,0.2954598711764705,0.2979762923529411,0.3017088658823529,0.3050477982352941,0.30735195470588234,0.31164468764705877,0.31606531,0.3188495129411764,0.32285683529411763,0.32722397294117644,0.33117969941176467,0.33494687470588236,0.339682034117647,0.3442055623529412,0.34804108,0.3516452835294117,0.3555630564705883,0.3595323729411765,0.3635122964705882,0.3668179964705882,0.3705850976470588,0.37460236058823526,0.3771787835294117,0.3797828282352941,0.38382288529411757,0.38735667941176466,0.38996463470588233,0.39142941705882356,0.3941451329411764,0.39627302235294115,0.39876217,0.3997949952941177,0.4025013670588236,0.4050725688235295,0.40995079352941177,0.413357735882353,0.4173994429411765,0.42232774588235295,0.4277993052941177,0.4333071788235294,0.43821691294117643,0.4439816164705882,0.44953230999999994,0.4557538194117647,0.46291364882352937,0.4693302694117647,0.47568076764705886,0.4820243588235294,0.4904176429411765,0.49737283705882357,0.5042209370588235,0.5083958288235294,0.5129341217647058,0.516524555882353,0.5186648988235295,0.5200736941176471,0.5205221617647059,0.5216801747058825,0.5223665888235294,0.5224756564705882,0.5217501035294118,0.5205836270588237,0.5183954052941177,0.5154575164705882,0.5129207494117648,0.5107819247058822,0.5161378541176471,0.519685604117647,0.5186219770588236,0.5203254947058824,0.5228688852941177,0.5257081841176471,0.5284988235294118,0.5323137970588236,0.5354151005882354,0.5381532888235294,0.5408768770588236,0.5440613505882353,0.5452122605882354,0.5464187058823531,0.5494033100000001,0.5521148005882354,0.554976531764706,0.5505714576470588,0.5477686405882354,0.5496474876470587,0.5500460464705882,0.5502148888235293,0.5498453458823528,0.5496813005882353,0.549376524117647,0.5500533417647059,0.5507595064705882,0.5512388105882353,0.5512526876470588,0.5529378264705882,0.5551353264705883,0.5560003735294118,0.5564023088235294,0.5557855752941175,0.5521697682352942,0.5502695352941176,0.551141684117647,0.5534599135294117,0.5556018276470588,0.5585115864705883,0.561634121764706,0.5647454535294117,0.5679165029411765,0.5711749341176471,0.5749296005882353,0.5788848,0.5835963688235294,0.5879366305882353,0.5924943011764705,0.5974449247058823,0.6031888041176471,0.611590344117647,0.6184076911764705,0.6228232452941176,0.6256642276470588,0.6278536335294118,0.6295413629411765,0.6309752300000001,0.632345035882353,0.6330665376470588,0.6337759476470588,0.6343846811764705,0.634756915882353,0.6349759417647058,0.6376635388235293,0.6397407505882353,0.6415097305882353,0.6428995705882353,0.6441736705882354,0.645355523529412,0.6464094458823529,0.6472858458823529,0.6478679788235295,0.649550998235294,0.6512926635294116,0.6531238517647059,0.6548789176470587,0.6564491411764707,0.6580923252941177,0.6599631958823529,0.6619217199999999,0.6620555999999999,0.6629453529411764,0.6637742394117645,0.6647594341176469,0.6657214911764706,0.6668716088235294,0.6681920517647059,0.6695024247058823,0.6707928829411763,0.670895334117647,0.6708099547058822,0.6706452817647057,0.670793711764706,0.6709548411764705,0.6709890823529412,0.6697661682352942,0.6702865241176471,0.6709093088235294,0.6714017182352942,0.6726442929411766,0.6740163729411767,0.6752786135294119,0.6766942311764708,0.6781472394117648,0.6798727900000001,0.6818218929411765,0.6839417282352942,0.6862083711764705,0.6885069770588234,0.6906058852941177,0.6927430364705882,0.6949210952941177,0.698106965882353,0.6995021188235293,0.7005947717647057,0.7017901182352941,0.7023530064705883,0.7027778947058824,0.7032228970588236,0.7034264382352942,0.7033892970588236,0.7031368052941175,0.7028799229411764,0.7025377494117646,0.7021917888235293,0.7016913211764705,0.7013795947058823,0.700854614117647,0.7005918023529412,0.7002951494117647,0.6996414611764706,0.6990137141176471,0.6980985794117647,0.6967852911764706,0.6949190264705883,0.692896561764706,0.6904007911764706,0.6876637147058823,0.6850947335294116,0.6825657199999999,0.6799614052941176,0.6774642523529412,0.6748822082352941,0.6719248347058824,0.6692441699999999,0.6660225699999999,0.6627548699999998,0.659744358235294,0.6568004347058823,0.6542067211764706,0.6520431976470589,0.650455264117647,0.6489566582352942,0.648035555882353,0.6475013005882354,0.6468607500000001,0.6461935635294118,0.6456878023529412,0.6451521182352941,0.6445783568750001,0.6443503006666667,0.6439753864285714,0.6438824930769229,0.6439533341666667,0.6441996372727272,0.6443851309999999,0.6444684422222221
pNuLoCDScore	-0.08699624392156857,-0.09619539450980386,-0.10010389274509796,-0.10499112627450974,-0.12457372156862734,-0.14318474980392148,-0.16094621098039208,-0.17225459627450967,-0.18157116392156858,-0.17105199058823523,-0.16088782556149728,-0.1515255883333333,-0.1409402342986425,-0.130324619789916,-0.11886427215686285,-0.10728994514705892,-0.0959957635294118,-0.08345768058823533,-0.07724502588235299,-0.06806505941176477,-0.044061841764705956,-0.02266661058823538,-0.0008978270588235748,0.014777695882352837,0.02804998999999997,0.03733949529411762,0.043067200588235266,0.04989550235294121,0.054079773529411734,0.05721383117647061,0.06010318529411779,0.06155608058823542,0.061803430588235286,0.061770198235294116,0.06323314294117649,0.06295767294117649,0.06111347352941171,0.06093331529411766,0.06096604999999994,0.060132706470588215,0.05878493529411766,0.0564825423529412,0.0544630988235294,0.052067459999999954,0.050721090000000024,0.048149711764706005,0.04693831058823533,0.045540195882352974,0.04643849705882358,0.04653973941176476,0.046814345294117654,0.047725385294117684,0.050620521764705995,0.05352435058823535,0.05439402764705886,0.05662493705882354,0.059567675294117606,0.06432440235294112,0.06876851588235294,0.07305724705882355,0.07691859764705883,0.08222936352941168,0.0879162758823529,0.09230026823529408,0.09427014352941177,0.09503809294117643,0.09553467882352928,0.09419681000000008,0.09086559352941181,0.08676651529411772,0.08230524882352946,0.07769855823529426,0.07283427882352944,0.06672183705882356,0.05883645470588239,0.05125335764705896,0.042714637647058795,0.03343315764705884,0.022503106470588286,0.01340908764705867,0.011916917058823584,0.011289775294117566,0.005687855294117861,0.0038009388235293873,0.004203986470588172,0.0056344899999999365,0.007976661764705906,0.010633622352941186,0.013048511764706006,0.015677632352941173,0.019126773529411834,0.023477723529411687,0.026816855294117703,0.030961189411764845,0.03648256058823529,0.041332875882353126,0.03883867764705884,0.030885853529411866,0.029146663529411754,0.029321992941176322,0.02717716117647051,0.024506704705882232,0.02134652235294099,0.017367503529411632,0.013961423529411654,0.011900052941176464,0.009882629411764654,0.007177459999999969,0.006040427058823461,0.006519120588235117,0.005732016470588186,0.0038855729411764184,0.0014257770588234076,0.0052141176470587025,0.0044011276470588,0.0006220476470588654,0.001095637647058778,0.0032450247058823933,0.005756481764706001,0.008830285882353017,0.012257597647058915,0.014692111764705862,0.017156996470588215,0.019936123529411764,0.023676912941176464,0.025946973529411776,0.028461042352941113,0.031936257058823525,0.03609199235294114,0.041659349411764746,0.0510190358823529,0.061320808823529416,0.06726600705882357,0.06936333176470588,0.07006239999999997,0.06934204705882352,0.06790724117647051,0.06622977647058836,0.06442853294117656,0.0618916035294117,0.05884634705882352,0.055499881176470534,0.05116054705882356,0.04703931117647053,0.045169237647058824,0.04229582588235303,0.03832092647058827,0.031309226470588314,0.02576597941176484,0.022532278235294356,0.020745218235294183,0.019432212352941125,0.01832661588235307,0.018575768235293943,0.018947627647058596,0.020057314117647107,0.021102969999999943,0.022064460000000174,0.023335409411764707,0.024987254117647018,0.024258181176470606,0.022314849411764537,0.021435622352941053,0.020874668823529174,0.02058576352941155,0.02036596764705867,0.02046216294117642,0.020906205882352924,0.02163444588235275,0.021241884705882286,0.019602670588235394,0.01768610294117634,0.01576636411764698,0.01434457058823535,0.012862515882352876,0.01102588647058833,0.007844448235294288,0.008230924117647254,0.007963955882352991,0.007627478823529654,0.007884858823529628,0.008294881764706052,0.008407004705882515,0.008502179411764899,0.00864481470588252,0.009079907058823777,0.010926558823529442,0.013131773529411972,0.015563089411764763,0.01771326529411732,0.019651044117647176,0.021753954117647023,0.025154927058823495,0.027820441764705883,0.028592809999999913,0.029193053529411594,0.029145825294117578,0.028336633529411626,0.02749928117647049,0.02652866588235281,0.02527919882352936,0.023516507058823466,0.02131491235294103,0.018938194705882205,0.016329378235294123,0.013684811764705929,0.011085435882352779,0.008636558235294078,0.005933518823529327,0.00248483647058817,0.0007930305882354327,-0.0009533105882351123,-0.0027764041176470133,-0.004254427058823618,-0.005992603529411777,-0.00830387058823523,-0.010529876470588118,-0.012988505882353008,-0.015473090588235205,-0.017785189411764768,-0.01997202941176468,-0.022230383529411646,-0.02422706882352932,-0.02649738647058819,-0.028929779411764667,-0.031347632352941246,-0.03427257941176487,-0.03688659117647086,-0.03926935588235314,-0.041298144705882334,-0.04257856999999998,-0.04287582882352947,-0.04244129764705906,-0.041444132941176326,-0.039628158823529325,-0.03759343294117623,-0.035704969999999836,-0.03376784176470582,-0.031776449999999956,-0.029730090000000042,-0.027346477830882288,-0.024893869333333263,-0.02204718357142843,-0.01887237692307686,-0.015791024068627313,-0.01260079743315512,-0.009821590176470663,-0.0075747554248367654,-0.005986821895424876,-0.004488216013072144,-0.0035671136601308495,-0.0030328583660133024,-0.002392307777777991,-0.0017251213071897142,-0.0012193601307191049,-0.0006836760130719544
pNuLoCRank	Medium
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
