UniprotID	Q9UHC1-2
Accession	Q9UHC1;P49751;Q56DK9;Q9P292;Q9UHC0
EntryName	MLH3_HUMAN
ProteinName	DNA mismatch repair protein Mlh3 (MutL protein homolog 3)
GeneName	MLH3
Length	1429
Function	Probably involved in the repair of mismatches in DNA.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7053613
pNuLoCRegion	54...66
