UniprotID	Q9UBN4-2
Accession	Q9UBN4;B1ALE0;B1ALE1;B1ALE2;Q15721;Q3SWS6;Q96P03;Q96P04;Q96P05;Q9UIB0;Q9UIB1;Q9UIB2
EntryName	TRPC4_HUMAN
ProteinName	Short transient receptor potential channel 4 (TrpC4) (Trp-related protein 4) (hTrp-4) (hTrp4)
GeneName	TRPC4
Length	893
Function	Forms a receptor-activated non-selective calcium permeant cation channel. Acts as a cell-cell contact-dependent endothelial calcium entry channel. Probably operated by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases or G-protein coupled receptors (PubMed:11042129, PubMed:11713258, PubMed:16144838, PubMed:19996314). May also be activated by intracellular calcium store depletion (By similarity).
Subcellular Location	Cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.031424116
pNuLoCRegion	89...99
