UniprotID	Q9UHX3-4
Accession	Q9UHX3;B4DQ96;E7ESD7;E9PBR1;E9PEL6;E9PFQ5;E9PG91;Q8NG96;Q9Y4B1
EntryName	AGRE2_HUMAN
ProteinName	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)
GeneName	ADGRE2 EMR2
Length	730
Function	Cell surface receptor that binds to the chondroitin sulfate moiety of glycosaminoglycan chains and promotes cell attachment. Promotes granulocyte chemotaxis, degranulation and adhesion. In macrophages, promotes the release of inflammatory cytokines, including IL8 and TNF. Signals probably through G-proteins. Is a regulator of mast cell degranulation (PubMed:26841242).
Subcellular Location	Cell membrane; Cell projection; Ruffle membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.025667416
pNuLoCRegion	
