UniprotID	Q9UKE5-7
Accession	Q9UKE5;A7E2A3;A8K4U1;D3DNQ6;O60298;Q8WUY7;Q9UKD8;Q9UKD9;Q9UKE0;Q9UKE1;Q9UKE2;Q9UKE3;Q9UKE4
EntryName	TNIK_HUMAN
ProteinName	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)
GeneName	TNIK KIAA0551
Length	1297
Function	Serine/threonine kinase that acts as an essential activator of the Wnt signaling pathway. Recruited to promoters of Wnt target genes and required to activate their expression. May act by phosphorylating TCF4/TCF7L2. Appears to act upstream of the JUN N-terminal pathway. May play a role in the response to environmental stress. Part of a signaling complex composed of NEDD4, RAP2A and TNIK which regulates neuronal dendrite extension and arborization during development. More generally, it may play a role in cytoskeletal rearrangements and regulate cell spreading. Phosphorylates SMAD1 on Thr-322. Activator of the Hippo signaling pathway which plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. MAP4Ks act in parallel to and are partially redundant with STK3/MST2 and STK4/MST2 in the phosphorylation and activation of LATS1/2, and establish MAP4Ks as components of the expanded Hippo pathway (PubMed:26437443).
Subcellular Location	Nucleus; Cytoplasm; Recycling endosome; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.60489845
pNuLoCRegion	55...69;96...100
