UniprotID	Q8WX93-8
Accession	Q8WX93;B3KTG2;B5MD56;B7ZMM5;Q7L3E0;Q7Z3W0;Q86WE8;Q8N1M2;Q9UGA0;Q9UQF5;Q9Y2J6;Q9Y3E9
EntryName	PALLD_HUMAN
ProteinName	Palladin (SIH002) (Sarcoma antigen NY-SAR-77)
GeneName	PALLD KIAA0992 CGI-151
Length	777
Function	Cytoskeletal protein required for organization of normal actin cytoskeleton. Roles in establishing cell morphology, motility, cell adhesion and cell-extracellular matrix interactions in a variety of cell types. May function as a scaffolding molecule with the potential to influence both actin polymerization and the assembly of existing actin filaments into higher-order arrays. Binds to proteins that bind to either monomeric or filamentous actin. Localizes at sites where active actin remodeling takes place, such as lamellipodia and membrane ruffles. Different isoforms may have functional differences. Involved in the control of morphological and cytoskeletal changes associated with dendritic cell maturation. Involved in targeting ACTN to specific subcellular foci.
Subcellular Location	Cytoplasm; Cytoskeleton; Cell junction; Focal adhesion; Cytoplasm; Myofibril; Sarcomere; Z line; Cell projection; Ruffle; Cell projection; Podosome; Cell projection; Lamellipodium; Cell projection; Axon; Cell projection; Growth cone
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.88641274
pNuLoCRegion	26...45;174...181
