UniprotID	Q96JA1-2
Accession	Q96JA1;Q6IQ51;Q96CF9;Q9BYB8;Q9UFI4
EntryName	LRIG1_HUMAN
ProteinName	Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1)
GeneName	LRIG1 LIG1
Length	1070
Function	Acts as a feedback negative regulator of signaling by receptor tyrosine kinases, through a mechanism that involves enhancement of receptor ubiquitination and accelerated intracellular degradation.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0031051848
pNuLoCRegion	
