UniprotID	Q86TI2-2
Accession	Q86TI2;O75273;O75868;Q1ZZB8;Q6AI37;Q6UAL0;Q6ZMT2;Q6ZNJ5;Q8N2J7;Q8N3F5;Q8WXD8;Q96NT8;Q9BVR3
EntryName	DPP9_HUMAN
ProteinName	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)
GeneName	DPP9 DPRP2
Length	892
Function	Dipeptidyl peptidase that cleaves off N-terminal dipeptides from proteins having a Pro or Ala residue at position 2 (PubMed:12662155, PubMed:16475979, PubMed:19667070, PubMed:29382749, PubMed:30291141, PubMed:33731929, PubMed:36112693). Acts as a key inhibitor of caspase-1-dependent monocyte and macrophage pyroptosis in resting cells by preventing activation of NLRP1 and CARD8 (PubMed:27820798, PubMed:29967349, PubMed:30291141, PubMed:31525884, PubMed:32796818, PubMed:36112693, PubMed:36357533). Sequesters the cleaved C-terminal part of NLRP1 and CARD8, which respectively constitute the active part of the NLRP1 and CARD8 inflammasomes, in a ternary complex, thereby preventing their oligomerization and activation (PubMed:33731929, PubMed:33731932, PubMed:34019797). The dipeptidyl peptidase activity is required to suppress NLRP1 and CARD8; however, neither NLRP1 nor CARD8 are bona fide substrates of DPP9, suggesting the existence of substrate(s) required for NLRP1 and CARD8 inhibition (PubMed:33731929).
Subcellular Location	Cytoplasm; Cytosol; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8564406
pNuLoCRegion	1...23
