UniprotID	Q8NFY4-4
Accession	Q8NFY4;A6NF10;A6NM95;A6NNK1;A7E2A0;Q8NFY3;Q8NFY5;Q8NFY6;Q8NFY7;Q9P249
EntryName	SEM6D_HUMAN
ProteinName	Semaphorin-6D
GeneName	SEMA6D KIAA1479
Length	1017
Function	Shows growth cone collapsing activity on dorsal root ganglion (DRG) neurons in vitro. May be a stop signal for the DRG neurons in their target areas, and possibly also for other neurons. May also be involved in the maintenance and remodeling of neuronal connections. Ligand of TREM2 with PLXNA1 as coreceptor in dendritic cells, plays a role in the generation of immune responses and skeletal homeostasis (By similarity).
Subcellular Location	Cell membrane; Cell membrane; Cell membrane; Cell membrane; Cell membrane; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.031508025
pNuLoCRegion	
