UniprotID	Q6P2P2-2
Accession	Q6P2P2;A8KA39;B3KU92;Q6ZR58;Q8N383;Q9BT55;Q9NT98
EntryName	ANM9_HUMAN
ProteinName	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)
GeneName	PRMT9 PRMT10
Length	732
Function	Arginine methyltransferase that can both catalyze the formation of omega-N monomethylarginine (MMA) and symmetrical dimethylarginine (sDMA). Specifically mediates the symmetrical dimethylation of SF3B2. Involved in the regulation of alternative splicing of pre-mRNA (PubMed:25737013, PubMed:25979344).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.41303995
pNuLoCRegion	52...64;301...325
