UniprotID	Q9H3U1-2
Accession	Q9H3U1;A8K6F7;Q7L3Y6;Q9H3U8;Q9NSE8;Q9NSE9
EntryName	UN45A_HUMAN
ProteinName	Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)
GeneName	UNC45A SMAP1
Length	929
Function	Acts as a co-chaperone for HSP90. Prevents the stimulation of HSP90AB1 ATPase activity by AHSA1. Positive factor in promoting PGR function in the cell. May be necessary for proper folding of myosin (Potential). Necessary for normal cell proliferation. Necessary for normal myotube formation and myosin accumulation during muscle cell development. May play a role in erythropoiesis in stroma cells in the spleen (By similarity).
Subcellular Location	Cytoplasm; Cytoplasm; Perinuclear region; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8073798
pNuLoCRegion	6...15;35...39;145...163;189...203;389...398
