UniprotID	Q9C0A6-2
Accession	Q9C0A6;Q6AI17;Q8WUB6;Q9H3X4;Q9H6V7;Q9H7S3;Q9NVI9
EntryName	SETD5_HUMAN
ProteinName	Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.359) (EC 2.1.1.367) (SET domain-containing protein 5)
GeneName	SETD5 KIAA1757
Length	1331
Function	Chromatin regulator required for brain development: acts as a regulator of RNA elongation rate, thereby regulating neural stem cell (NSC) proliferation and synaptic transmission. May act by mediating trimethylation of 'Lys-36' of histone H3 (H3K36me3), which is essential to allow on-time RNA elongation dynamics. Also monomethylates 'Lys-9' of histone H3 (H3K9me1) in vitro. The relevance of histone methyltransferase activity is however subject to discussion.
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.65589505
pNuLoCRegion	52...76;326...349;653...668;680...706
