UniprotID	Q9Y2Q0-3
Accession	Q9Y2Q0;Q32M35;Q32M36;Q4W5J7;Q4W5P2
EntryName	AT8A1_HUMAN
ProteinName	Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)
GeneName	ATP8A1 ATPIA
Length	1149
Function	Catalytic component of a P4-ATPase flippase complex which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids from the outer to the inner leaflet of various membranes and ensures the maintenance of asymmetric distribution of phospholipids (PubMed:31416931). Phospholipid translocation also seems to be implicated in vesicle formation and in uptake of lipid signaling molecules. In vitro, its ATPase activity is selectively and stereospecifically stimulated by phosphatidylserine (PS) (PubMed:31416931). The flippase complex ATP8A1:TMEM30A seems to play a role in regulation of cell migration probably involving flippase-mediated translocation of phosphatidylethanolamine (PE) at the cell membrane (By similarity). Acts as aminophospholipid translocase at the cell membrane in neuronal cells (By similarity).
Subcellular Location	Cytoplasmic vesicle; Secretory vesicle; Chromaffin granule membrane; Cytoplasmic granule; Cell membrane; Endoplasmic reticulum; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.029697143
pNuLoCRegion	17...31;86...96
