UniprotID	Q14644-2
Accession	Q14644;A6NL15;F8W6X8;Q8IUY2
EntryName	RASA3_HUMAN
ProteinName	Ras GTPase-activating protein 3 (GAP1(IP4BP)) (Ins P4-binding protein)
GeneName	RASA3
Length	802
Function	Inhibitory regulator of the Ras-cyclic AMP pathway. Binds inositol tetrakisphosphate (IP4) with high affinity. Might be a specific IP4 receptor.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7373642
pNuLoCRegion	3...26;86...98
