UniprotID	Q9UPQ9-1
Accession	Q9UPQ9;B0QY73;B0QY78;B4DGC0;Q5TH52;Q8TBX2
EntryName	TNR6B_HUMAN
ProteinName	Trinucleotide repeat-containing gene 6B protein
GeneName	TNRC6B KIAA1093
Length	1723
Function	Plays a role in RNA-mediated gene silencing by both micro-RNAs (miRNAs) and short interfering RNAs (siRNAs) (PubMed:16289642, PubMed:19167051, PubMed:19304925, PubMed:32354837). Required for miRNA-dependent translational repression and siRNA-dependent endonucleolytic cleavage of complementary mRNAs by argonaute family proteins (PubMed:16289642, PubMed:19167051, PubMed:19304925, PubMed:32354837). As scaffolding protein associates with argonaute proteins bound to partially complementary mRNAs and simultaneously can recruit CCR4-NOT and PAN deadenylase complexes (PubMed:21981923).
Subcellular Location	Cytoplasm; P-body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.88550395
pNuLoCRegion	8...37
