UniprotID	Q8WYQ9-2
Accession	Q8WYQ9;D3DUN1;O60324;Q3MJD8;Q9UFP0
EntryName	ZCH14_HUMAN
ProteinName	Zinc finger CCHC domain-containing protein 14 (BDG-29)
GeneName	ZCCHC14 KIAA0579
Length	962
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84812695
pNuLoCRegion	18...36;62...67
