UniprotID	Q9Y5H3-2
Accession	Q9Y5H3;Q9Y5E0
EntryName	PCDGA_HUMAN
ProteinName	Protocadherin gamma-A10 (PCDH-gamma-A10)
GeneName	PCDHGA10
Length	850
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.054912217
pNuLoCRegion	1...10;224...224;269...279
