UniprotID	Q5JRA6-2
Accession	Q5JRA6;A8K2S0;A8MT05;A8MT13;B7Z430;Q14083;Q3S4X3;Q5JRA5;Q5JRB0;Q5JRB1;Q5JRB2;Q6UVY8;Q86Y60;Q8N8M5;Q92580
EntryName	TGO1_HUMAN
ProteinName	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)
GeneName	MIA3 KIAA0268 TANGO UNQ6077/PRO20088
Length	1848
Function	Plays a role in the transport of cargos that are too large to fit into COPII-coated vesicles and require specific mechanisms to be incorporated into membrane-bound carriers and exported from the endoplasmic reticulum. This protein is required for collagen VII (COL7A1) secretion by loading COL7A1 into transport carriers. It may participate in cargo loading of COL7A1 at endoplasmic reticulum exit sites by binding to COPII coat subunits Sec23/24 and guiding SH3-bound COL7A1 into a growing carrier. Does not play a role in global protein secretion and is apparently specific to COL7A1 cargo loading. However, it may participate in secretion of other proteins in cells that do not secrete COL7A1. It is also specifically required for the secretion of lipoproteins by participating in their export from the endoplasmic reticulum (PubMed:19269366, PubMed:27138255). Required for correct assembly of COPII coat components at endoplasmic reticulum exit sites (ERES) and for the localization of SEC16A and membrane-bound ER-resident complexes consisting of MIA2 and PREB/SEC12 to ERES (PubMed:28442536).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.035768382
pNuLoCRegion	
