UniprotID	A1L390-3
Accession	A1L390;A1L389;B5MEC9;O60339;Q6GMS3;Q6P4B1;Q7L3S3;Q86SW7;Q8TEF5;Q96EW6;Q9BT82
EntryName	PKHG3_HUMAN
ProteinName	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)
GeneName	PLEKHG3 KIAA0599
Length	1163
Function	Plays a role in controlling cell polarity and cell motility by selectively binding newly polymerized actin and activating RAC1 and CDC42 to enhance local actin polymerization.
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6554173
pNuLoCRegion	32...40;156...163
