UniprotID	Q8IVT5-2
Accession	Q8IVT5;F8WEA9;H7BYU0;Q13476
EntryName	KSR1_HUMAN
ProteinName	Kinase suppressor of Ras 1 (EC 2.7.11.1)
GeneName	KSR1 KSR
Length	877
Function	Part of a multiprotein signaling complex which promotes phosphorylation of Raf family members and activation of downstream MAP kinases (By similarity). Independently of its kinase activity, acts as MAP2K1/MEK1 and MAP2K2/MEK2-dependent allosteric activator of BRAF; upon binding to MAP2K1/MEK1 or MAP2K2/MEK2, dimerizes with BRAF and promotes BRAF-mediated phosphorylation of MAP2K1/MEK1 and/or MAP2K2/MEK2 (PubMed:29433126). Promotes activation of MAPK1 and/or MAPK3, both in response to EGF and to cAMP (By similarity). Its kinase activity is unsure (By similarity). Some protein kinase activity has been detected in vitro, however the physiological relevance of this activity is unknown (By similarity).
Subcellular Location	Cytoplasm; Membrane; Cell membrane; Cell projection; Ruffle membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7116217
pNuLoCRegion	181...193;304...309;373...390;501...509
