UniprotID	Q9UBK2-3
Accession	Q9UBK2;B7Z406;G8DM16;I3RTT5;I3RTT6;I3RTT7;I3RTT8;I3RTT9;Q3LIG1;Q4W5M7;Q9UN32
EntryName	PRGC1_HUMAN
ProteinName	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6)
GeneName	PPARGC1A LEM6 PGC1 PGC1A PPARGC1
Length	803
Function	Transcriptional coactivator for steroid receptors and nuclear receptors (PubMed:10713165, PubMed:20005308, PubMed:21376232, PubMed:28363985, PubMed:32433991). Greatly increases the transcriptional activity of PPARG and thyroid hormone receptor on the uncoupling protein promoter (PubMed:10713165, PubMed:20005308, PubMed:21376232). Can regulate key mitochondrial genes that contribute to the program of adaptive thermogenesis (PubMed:10713165, PubMed:20005308, PubMed:21376232). Plays an essential role in metabolic reprogramming in response to dietary availability through coordination of the expression of a wide array of genes involved in glucose and fatty acid metabolism (PubMed:10713165, PubMed:20005308, PubMed:21376232). Acts as a key regulator of gluconeogenesis: stimulates hepatic gluconeogenesis by increasing the expression of gluconeogenic enzymes, and acting together with FOXO1 to promote the fasting gluconeogenic program (PubMed:16753578, PubMed:23142079). Induces the expression of PERM1 in the skeletal muscle in an ESRRA-dependent manner (PubMed:23836911). Also involved in the integration of the circadian rhythms and energy metabolism (By similarity). Required for oscillatory expression of clock genes, such as BMAL1 and NR1D1, through the coactivation of RORA and RORC, and metabolic genes, such as PDK4 and PEPCK (By similarity).
Subcellular Location	Nucleus; Nucleus; PML body; Nucleus; Cytoplasm; Nucleus; Nucleus; Nucleus; PML body; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8997209
pNuLoCRegion	30...40;327...351
