UniprotID	Q9Y5H9-2
Accession	Q9Y5H9;O75287;Q9BTV3
EntryName	PCDA2_HUMAN
ProteinName	Protocadherin alpha-2 (PCDH-alpha-2)
GeneName	PCDHA2
Length	824
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.008685703
pNuLoCRegion	
