UniprotID	Q8TBZ2-2
Accession	Q8TBZ2;A0A140VK87;A6NHJ3;B4DZQ1;Q8TDV8;Q9H0K0
EntryName	MYBPP_HUMAN
ProteinName	MYCBP-associated protein (AMAM-1) (AMY-1-binding protein 1) (AMAP-1)
GeneName	MYCBPAP AMAP1
Length	941
Function	May play a role in spermatogenesis. May be involved in synaptic processes (By similarity).
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7142339
pNuLoCRegion	23...41;859...870
