UniprotID	Q8TDW5-2
Accession	Q8TDW5;A2RRF2
EntryName	SYTL5_HUMAN
ProteinName	Synaptotagmin-like protein 5
GeneName	SYTL5 SLP5
Length	752
Function	May act as Rab effector protein and play a role in vesicle trafficking. Binds phospholipids.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.51216817
pNuLoCRegion	119...130
