UniprotID	Q6ZRI0-2
Accession	Q6ZRI0;A8MTX6;A8MUJ0;B7WPC4
EntryName	OTOG_HUMAN
ProteinName	Otogelin
GeneName	OTOG OTGN
Length	1508
Function	Glycoprotein specific to acellular membranes of the inner ear. May be required for the anchoring of the otoconial membranes and cupulae to the underlying neuroepithelia in the vestibule. May be involved in the organization and/or stabilization of the fibrillar network that compose the tectorial membrane in the cochlea. May play a role in mechanotransduction processes (By similarity).
Subcellular Location	Apical cell membrane; Secreted; Extracellular space
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4287315
pNuLoCRegion	
