UniprotID	Q6ZMZ0-4
Accession	Q6ZMZ0;B7ZLB2;E9PAW6;G3XA82;Q0VG77;Q5TH44;Q5TH45;Q6P6A4;Q8N2S8;Q8WUF3
EntryName	RN19B_HUMAN
ProteinName	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)
GeneName	RNF19B IBRDC3 NKLAM
Length	731
Function	E3 ubiquitin-protein ligase which accepts ubiquitin from E2 ubiquitin-conjugating enzymes UBE2L3 and UBE2L6 in the form of a thioester and then directly transfers the ubiquitin to targeted substrates, such as UCKL1 (PubMed:16709802, PubMed:27485036). Involved in the cytolytic activity of natural killer cells and cytotoxic T-cells (PubMed:10438909). Protects against staurosporin-induced cell death (PubMed:27485036).
Subcellular Location	Cytoplasmic granule membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.06874342
pNuLoCRegion	5...8;27...37;247...259
