UniprotID	Q9NYF8-3
Accession	Q9NYF8;A2RU75;B7ZM58;E1P586;Q14673;Q86WU6;Q86WY0
EntryName	BCLF1_HUMAN
ProteinName	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)
GeneName	BCLAF1 BTF KIAA0164
Length	869
Function	Death-promoting transcriptional repressor. May be involved in cyclin-D1/CCND1 mRNA stability through the SNARP complex which associates with both the 3'end of the CCND1 gene and its mRNA.
Subcellular Location	Cytoplasm; Nucleus; Nucleus speckle; Nucleus; Nucleoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8882892
pNuLoCRegion	21...52;71...84;98...126;691...709;745...755;817...821;851...857
