UniprotID	Q96CW5-2
Accession	Q96CW5;O43631;O60852;O60853;Q5T8L2;Q7Z4K1;Q96I79
EntryName	GCP3_HUMAN
ProteinName	Gamma-tubulin complex component 3 (GCP-3) (hGCP3) (Gamma-ring complex protein 104 kDa) (h104p) (hGrip104) (Spindle pole body protein Spc98 homolog) (hSpc98)
GeneName	TUBGCP3 GCP3
Length	824
Function	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.22662893
pNuLoCRegion	29...41
