UniprotID	Q8IWA5-3
Accession	Q8IWA5;B2RBB1;B3KNH3;B4DFJ0;F2Q9D7;Q658V1;Q658Z2;Q6PJV7;Q8N2F0;Q9NY68
EntryName	CTL2_HUMAN
ProteinName	Choline transporter-like protein 2 (Solute carrier family 44 member 2)
GeneName	SLC44A2 CTL2 PSEC0210
Length	704
Function	Choline/H+ antiporter, mainly in mitochodria (PubMed:10677542, PubMed:20665236, PubMed:23651124, PubMed:33789160). Also acts as a low-affinity ethanolamine/H+ antiporter, regulating the supply of extracellular ethanolamine (Etn) for the CDP-Etn pathway, redistribute intracellular Etn and balance the CDP-Cho and CDP-Etn arms of the Kennedy pathway (PubMed:33789160).
Subcellular Location	Cell membrane; Mitochondrion outer membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0147724785
pNuLoCRegion	
