UniprotID	Q7Z2Y5-2
Accession	Q7Z2Y5;Q32ND6;Q5H9K2;Q6ZMP2
EntryName	NRK_HUMAN
ProteinName	Nik-related protein kinase (EC 2.7.11.1)
GeneName	NRK
Length	1250
Function	May phosphorylate cofilin-1 and induce actin polymerization through this process, during the late stages of embryogenesis. Involved in the TNF-alpha-induced signaling pathway (By similarity).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7434544
pNuLoCRegion	60...70;372...398;1089...1104
