UniprotID	Q9UPQ7-3
Accession	Q9UPQ7;A7MCZ6;Q8N2N7;Q96CC2;Q9NSQ2
EntryName	PZRN3_HUMAN
ProteinName	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)
GeneName	PDZRN3 KIAA1095 LNX3 SEMCAP3
Length	729
Function	E3 ubiquitin-protein ligase. Plays an important role in regulating the surface level of MUSK on myotubes. Mediates the ubiquitination of MUSK, promoting its endocytosis and lysosomal degradation. Might contribute to terminal myogenic differentiation.
Subcellular Location	Synapse; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7003971
pNuLoCRegion	52...68;90...100;173...178
