UniprotID	Q96D71-4
Accession	Q96D71;B7ZBZ8;B7ZBZ9;B7ZC00;J3KP76;Q5JWJ5;Q5JWJ6;Q5JWJ7;Q8NDR7;Q8WU62;Q9BXY9
EntryName	REPS1_HUMAN
ProteinName	RalBP1-associated Eps domain-containing protein 1 (RalBP1-interacting protein 1)
GeneName	REPS1
Length	769
Function	May coordinate the cellular actions of activated EGF receptors and Ral-GTPases.
Subcellular Location	Membrane; Clathrin-coated pit
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6947674
pNuLoCRegion	244...264;680...692
