UniprotID	Q96NW7-2
Accession	Q96NW7;Q5VXC2;Q5VXC3;Q68D07;Q86VE8;Q8WX20;Q9P2I2
EntryName	LRRC7_HUMAN
ProteinName	Leucine-rich repeat-containing protein 7 (Densin-180) (Densin) (Protein LAP1)
GeneName	LRRC7 KIAA1365 LAP1
Length	1490
Function	Required for normal synaptic spine architecture and function. Necessary for DISC1 and GRM5 localization to postsynaptic density complexes and for both N-methyl D-aspartate receptor-dependent and metabotropic glutamate receptor-dependent long term depression.
Subcellular Location	Cytoplasm; Postsynaptic density
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7058037
pNuLoCRegion	23...44;140...150
