UniprotID	Q7Z7G0-4
Accession	Q7Z7G0;B3KSL4;Q6ZW20;Q6ZW22;Q9C082;Q9UFI6
EntryName	TARSH_HUMAN
ProteinName	Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP)
GeneName	ABI3BP NESHBP TARSH
Length	784
Function	
Subcellular Location	Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9447743
pNuLoCRegion	25...44;66...88;115...132;195...214
