UniprotID	Q9ULG6-5
Accession	Q9ULG6;A0PJH3;A8K9T0;O14712;Q05DG4;Q5U5S7;Q8IYV8;Q9BY53;Q9HA17
EntryName	CCPG1_HUMAN
ProteinName	Cell cycle progression protein 1 (Cell cycle progression restoration protein 8)
GeneName	CCPG1 CCP8 CPR8 KIAA1254
Length	807
Function	Acts as an assembly platform for Rho protein signaling complexes. Limits guanine nucleotide exchange activity of MCF2L toward RHOA, which results in an inhibition of both its transcriptional activation ability and its transforming activity. Does not inhibit activity of MCF2L toward CDC42, or activity of MCF2 toward either RHOA or CDC42 (By similarity). May be involved in cell cycle regulation.
Subcellular Location	Cytoplasmic granule membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.645163
pNuLoCRegion	18...37;171...195
