UniprotID	Q9Y2I9-2
Accession	Q9Y2I9;B3KP01;B9A6M9;E7EMW4;F5GYJ9
EntryName	TBC30_HUMAN
ProteinName	TBC1 domain family member 30
GeneName	TBC1D30 KIAA0984
Length	761
Function	May act as a GTPase-activating protein for Rab family protein(s).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.22889565
pNuLoCRegion	114...128
